frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,994.6,340.4,centroid,0.30,946.5,540.0,617.8,0.0,657.5,1168.9,1,255.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,985.1,340.9,centroid,0.30,939.9,540.0,611.2,0.0,657.5,1168.9,1,258.8,0,0,flight_commit=1.00|person_ctx=4|edge_zoom=0.924|bounds
2,973.9,341.6,centroid,0.30,931.5,540.0,602.7,0.0,657.5,1168.9,1,261.6,0,0,flight_commit=1.00|person_ctx=4|edge_zoom=0.924|bounds
3,960.9,342.4,centroid,0.30,921.5,540.0,592.7,0.0,657.4,1168.8,1,264.6,0,0,flight_commit=1.00|person_ctx=4|edge_zoom=0.924|bounds
4,946.5,343.3,centroid,0.30,910.3,540.0,581.7,0.0,657.4,1168.7,1,267.8,0,0,shot_pb=0.40|flight_commit=1.00|person_ctx=4|edge_zoom=0.925|bounds
5,931.1,344.4,centroid,0.30,898.7,540.0,570.0,0.0,657.3,1168.5,1,271.6,0,0,shot_pb=0.60|flight_commit=1.00|person_ctx=4|edge_zoom=0.925|bounds
6,915.0,345.6,centroid,0.30,887.0,540.0,558.4,0.0,657.1,1168.2,1,276.0,0,0,shot_pb=0.80|flight_commit=1.00|person_ctx=4|edge_zoom=0.926|bounds
7,898.8,346.9,centroid,0.30,875.7,540.0,547.2,0.0,656.9,1167.9,1,280.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.927|bounds
8,882.9,348.4,centroid,0.30,865.2,540.0,536.9,0.0,656.6,1167.4,1,286.3,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.928|bounds
9,867.7,350.0,centroid,0.30,856.0,540.0,527.9,0.0,656.3,1166.7,1,292.3,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.926|bounds
10,853.6,351.7,centroid,0.30,848.4,540.0,520.5,0.0,655.8,1165.9,1,298.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.931|bounds
11,841.0,353.7,centroid,0.30,842.6,540.0,515.0,0.0,655.3,1164.9,1,302.4,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.925|bounds
12,830.2,355.9,centroid,0.30,839.1,540.0,511.8,0.0,654.7,1163.8,1,295.1,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.935|bounds
13,821.5,358.4,centroid,0.30,837.9,540.0,510.9,0.0,654.0,1162.7,1,287.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.924|bounds
14,815.1,361.1,centroid,0.30,839.2,540.0,512.5,0.0,653.3,1161.4,1,279.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.931|bounds
15,810.9,364.1,centroid,0.30,843.0,540.0,516.7,0.0,652.7,1160.3,1,271.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.952|bounds
16,808.8,367.4,centroid,0.30,849.2,540.0,523.2,0.0,652.1,1159.2,1,263.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.977|bounds
17,808.7,371.1,centroid,0.30,857.8,540.0,532.0,0.0,651.6,1158.3,1,254.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.978|bounds
18,810.3,375.2,centroid,0.30,868.4,540.0,542.8,0.0,651.2,1157.7,1,245.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.968|bounds
19,813.8,379.6,centroid,0.30,880.7,540.0,555.2,0.0,651.0,1157.3,1,237.1,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.965|bounds
20,819.0,384.4,centroid,0.30,894.6,540.0,569.1,0.0,650.9,1157.2,1,228.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.963|bounds
21,825.8,389.7,centroid,0.30,909.6,540.0,584.1,0.0,651.0,1157.3,1,220.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.962|bounds
22,834.2,395.4,centroid,0.30,925.6,540.0,600.0,0.0,651.2,1157.7,1,212.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.943|bounds
23,844.2,401.5,centroid,0.30,942.2,540.0,616.5,0.0,651.5,1158.2,1,206.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.963|bounds
