frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,978.6,344.8,centroid,0.30,947.2,540.0,618.5,0.0,657.5,1168.9,1,272.6,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,971.2,345.7,centroid,0.30,942.4,540.0,613.6,0.0,657.5,1168.9,1,275.2,0,0,conf_zoom=0.82|person_ctx=4|edge_zoom=0.939|bounds
2,962.9,346.7,centroid,0.30,935.9,540.0,607.1,0.0,657.5,1168.9,1,277.0,0,0,conf_zoom=0.82|person_ctx=4|edge_zoom=0.940|bounds
3,953.7,347.8,centroid,0.30,928.0,540.0,599.2,0.0,657.5,1168.9,1,278.3,0,0,conf_zoom=0.82|person_ctx=4|edge_zoom=0.940|bounds
4,943.9,349.1,centroid,0.30,919.1,540.0,590.4,0.0,657.5,1168.9,1,279.2,0,0,conf_zoom=0.82|person_ctx=4|edge_zoom=0.941|bounds
5,933.7,350.6,centroid,0.30,909.8,540.0,581.0,0.0,657.5,1168.9,1,280.1,0,0,shot_pb=0.60|conf_zoom=0.82|person_ctx=4|edge_zoom=0.941|bounds
6,923.3,352.2,centroid,0.30,900.2,540.0,571.5,0.0,657.5,1168.9,1,280.9,0,0,shot_pb=0.80|conf_zoom=0.82|person_ctx=4|edge_zoom=0.942|bounds
7,913.0,353.9,centroid,0.30,890.9,540.0,562.1,0.0,657.5,1168.9,1,281.9,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.943|bounds
8,903.0,355.8,centroid,0.30,882.2,540.0,553.4,0.0,657.5,1168.9,1,283.2,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.944|bounds
9,893.6,357.8,centroid,0.30,874.4,540.0,545.7,0.0,657.5,1168.9,1,284.8,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.945|bounds
10,885.0,360.1,centroid,0.30,868.1,540.0,539.3,0.0,657.5,1168.9,1,287.1,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.947|bounds
11,877.5,362.5,centroid,0.30,863.5,540.0,534.7,0.0,657.5,1168.9,1,290.0,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.949|bounds
12,871.3,365.2,centroid,0.30,861.0,540.0,532.2,0.0,657.5,1168.9,1,293.7,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.952|bounds
13,866.5,368.1,centroid,0.30,860.8,540.0,532.1,0.0,657.5,1168.9,1,298.3,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.959|bounds
