frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,960.0,540.0,hold,0.10,960.0,540.0,639.4,0.0,641.1,1139.7,1,304.0,0,0,accel_zoom=0.856|conf_zoom=0.54|conf_speed=0.75|edge_zoom=0.989|bounds
1,960.0,540.0,hold,0.10,960.0,540.0,638.3,0.0,643.5,1144.0,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
2,960.0,540.0,hold,0.10,960.0,540.0,637.1,0.0,645.8,1148.1,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
3,960.0,540.0,hold,0.10,960.0,540.0,636.0,0.0,648.1,1152.1,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
4,960.0,540.0,hold,0.10,960.0,540.0,634.9,0.0,650.1,1155.7,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
5,960.0,540.0,hold,0.10,960.0,540.0,634.1,0.0,651.9,1158.9,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
6,960.0,540.0,hold,0.10,960.0,540.0,633.3,0.0,653.4,1161.5,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
7,960.0,540.0,hold,0.10,960.0,540.0,632.7,0.0,654.6,1163.7,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
8,960.0,540.0,hold,0.10,960.0,540.0,632.3,0.0,655.5,1165.3,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
9,960.0,539.9,hold,0.10,960.0,540.0,631.9,0.0,656.2,1166.5,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
10,960.0,539.9,hold,0.10,960.0,540.0,631.7,0.0,656.7,1167.4,1,304.0,0,0,conf_zoom=0.54|conf_speed=0.75|bounds
