frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,674.9,253.5,centroid,0.30,675.1,584.5,346.3,0.0,657.5,1168.9,1,253.5,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,674.9,253.3,centroid,0.30,675.1,584.5,346.4,0.0,657.5,1168.9,1,253.3,0,0,flight_commit=0.83|edge_zoom=0.902|bounds
2,674.9,253.2,centroid,0.30,675.1,584.5,346.4,0.0,657.5,1168.9,1,253.2,0,1,flight_commit=0.29|conf_zoom=0.99|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.99|edge_zoom=0.946|bounds
3,675.0,252.9,centroid,0.30,675.2,584.5,346.4,0.0,657.5,1168.9,1,252.9,0,1,conf_zoom=0.73|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.968|bounds
4,675.0,252.7,centroid,0.30,675.2,584.5,346.5,0.0,657.5,1168.9,1,252.7,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.977|bounds
5,675.1,252.4,centroid,0.30,675.3,584.5,346.5,0.0,657.5,1168.9,1,252.4,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.977|bounds
6,675.2,252.2,centroid,0.30,675.4,584.5,346.6,0.0,657.5,1168.9,1,252.2,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.976|bounds
7,675.4,252.0,centroid,0.30,675.5,584.5,346.7,0.0,657.5,1168.9,1,252.0,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.976|bounds
8,675.6,251.7,centroid,0.30,675.6,584.5,346.8,0.0,657.5,1168.9,1,251.7,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.976|bounds
9,676.0,251.5,centroid,0.30,675.7,584.5,347.0,0.0,657.5,1168.9,1,251.5,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.976|bounds
10,676.4,251.3,centroid,0.30,675.9,584.5,347.2,0.0,657.5,1168.9,1,251.3,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.976|bounds
11,677.1,251.1,centroid,0.30,676.1,584.5,347.4,0.0,657.5,1168.9,1,251.1,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.975|bounds
12,677.9,250.9,centroid,0.30,676.4,584.5,347.6,0.0,657.5,1168.9,1,250.9,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.975|bounds
13,678.9,250.7,centroid,0.30,676.7,584.5,348.0,0.0,657.5,1168.9,1,250.7,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.975|bounds
14,680.1,250.5,centroid,0.30,677.1,584.5,348.4,0.0,657.5,1168.9,1,250.5,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.975|bounds
15,681.5,250.2,centroid,0.30,677.6,584.5,348.8,0.0,657.5,1168.9,1,250.2,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.974|bounds
16,683.1,249.9,centroid,0.30,678.1,584.5,349.4,0.0,657.5,1168.9,1,249.9,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.974|bounds
17,684.7,249.7,centroid,0.30,678.8,584.5,350.0,0.0,657.5,1168.9,1,249.7,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.974|bounds
18,686.5,249.4,centroid,0.30,679.5,584.5,350.8,0.0,657.5,1168.9,1,249.4,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.973|bounds
19,688.3,249.3,centroid,0.30,680.4,584.5,351.7,0.0,657.5,1168.9,1,249.3,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.973|bounds
20,690.3,249.1,centroid,0.30,681.5,584.5,352.7,0.0,657.5,1168.9,1,249.1,0,1,conf_zoom=0.73|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.973|bounds
21,692.3,249.1,centroid,0.30,682.7,584.5,354.0,0.0,657.5,1168.9,1,249.1,0,1,conf_zoom=0.73|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.973|bounds
22,694.4,249.1,centroid,0.30,684.2,584.5,355.4,0.0,657.5,1168.9,1,249.1,0,1,conf_zoom=0.73|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.973|bounds
23,696.6,249.2,centroid,0.30,685.9,584.5,357.1,0.0,657.5,1168.9,1,249.2,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.973|bounds
24,698.9,249.4,centroid,0.30,687.9,584.5,359.1,0.0,657.5,1168.9,1,249.4,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.973|bounds
25,701.2,249.6,centroid,0.30,690.2,584.5,361.4,0.0,657.5,1168.9,1,249.6,0,1,conf_zoom=0.73|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.967|bounds
26,703.6,249.9,centroid,0.30,692.9,584.5,364.1,0.0,657.5,1168.9,1,249.9,0,1,conf_zoom=0.73|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.963|bounds
27,706.0,250.3,centroid,0.30,695.9,584.5,367.2,0.0,657.5,1168.9,1,250.3,0,1,conf_zoom=0.73|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.959|bounds
28,708.5,250.7,centroid,0.30,699.4,584.5,370.6,0.0,657.5,1168.9,1,250.7,0,1,conf_zoom=0.73|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.954|bounds
29,711.1,251.1,centroid,0.30,703.2,584.5,374.5,0.0,657.5,1168.9,1,251.1,0,1,conf_zoom=0.73|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.946|bounds
30,713.9,251.5,centroid,0.30,707.6,584.5,378.8,0.0,657.5,1168.9,1,251.5,0,1,conf_zoom=0.73|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.936|bounds
31,716.8,252.0,centroid,0.30,712.3,584.5,383.5,0.0,657.5,1168.9,1,252.0,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.921|bounds
32,719.9,252.5,centroid,0.30,717.5,584.5,388.7,0.0,657.5,1168.9,1,252.5,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.900|bounds
33,723.3,253.0,centroid,0.30,723.0,584.5,394.3,0.0,657.5,1168.9,1,253.0,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
34,727.0,253.4,centroid,0.30,729.0,584.5,400.3,0.0,657.5,1168.9,1,253.4,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
35,731.0,253.9,centroid,0.30,735.4,584.5,406.6,0.0,657.5,1168.9,1,253.9,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
36,735.4,254.4,centroid,0.30,742.1,584.5,413.4,0.0,657.5,1168.9,1,254.4,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
37,740.2,254.9,centroid,0.30,749.2,584.5,420.4,0.0,657.5,1168.9,1,254.9,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
38,745.3,255.5,centroid,0.30,756.6,584.5,427.8,0.0,657.5,1168.9,1,255.5,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
39,751.0,256.0,centroid,0.30,764.3,584.5,435.5,0.0,657.5,1168.9,1,256.0,1,0,conf_zoom=0.73|conf_speed=0.85|speed|edge_zoom=0.896|bounds
40,757.0,256.6,centroid,0.30,772.2,584.5,443.5,0.0,657.5,1168.9,1,256.6,1,0,flight_commit=0.04|conf_zoom=0.92|conf_speed=0.96|speed|edge_zoom=0.884|bounds
41,763.6,257.1,centroid,0.30,780.5,584.5,451.7,0.0,657.5,1168.9,1,257.1,1,0,flight_commit=0.12|conf_zoom=0.94|conf_speed=0.97|speed|edge_zoom=0.882|bounds
42,770.6,257.6,centroid,0.30,789.1,584.5,460.3,0.0,657.5,1168.9,1,257.6,0,0,flight_commit=0.21|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.882|bounds
43,778.1,258.1,centroid,0.30,797.9,584.5,469.1,0.0,657.5,1168.9,1,258.1,0,0,flight_commit=0.30|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.882|bounds
44,786.0,258.5,centroid,0.30,807.0,584.5,478.2,0.0,657.5,1168.9,1,258.5,0,0,flight_commit=0.38|edge_zoom=0.883|bounds
45,794.2,258.8,centroid,0.30,816.4,584.5,487.6,0.0,657.5,1168.9,1,258.8,0,0,flight_commit=0.46|edge_zoom=0.883|bounds
46,802.6,259.1,centroid,0.30,826.1,584.5,497.3,0.0,657.5,1168.9,1,259.1,0,0,flight_commit=0.53|edge_zoom=0.883|bounds
47,811.2,259.3,centroid,0.30,836.0,584.5,507.2,0.0,657.5,1168.9,1,259.3,0,0,flight_commit=0.59|edge_zoom=0.883|bounds
48,819.9,259.4,centroid,0.30,846.2,584.5,517.4,0.0,657.5,1168.9,1,259.4,0,0,flight_commit=0.63|edge_zoom=0.883|bounds
49,828.6,259.5,centroid,0.30,856.6,584.5,527.8,0.0,657.5,1168.9,1,259.5,0,0,flight_commit=0.67|edge_zoom=0.883|bounds
50,837.4,259.6,centroid,0.30,867.2,584.5,538.4,0.0,657.5,1168.9,1,259.6,0,0,flight_commit=0.69|edge_zoom=0.883|bounds
51,846.2,259.7,centroid,0.30,877.9,584.5,549.1,0.0,657.5,1168.9,1,259.7,0,0,shot_pb=0.60|flight_commit=0.71|edge_zoom=0.883|bounds
52,854.9,259.7,centroid,0.30,888.6,584.5,559.9,0.0,657.5,1168.9,1,259.7,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.883|bounds
