frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1361.4,323.1,centroid,0.30,1434.8,584.5,1106.1,0.0,657.5,1168.9,1,230.6,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1374.9,323.2,centroid,0.30,1441.5,584.5,1112.7,0.0,657.5,1168.9,1,237.4,0,0,flight_commit=1.00|edge_zoom=0.914|bounds
2,1391.0,323.3,centroid,0.30,1450.2,584.5,1121.5,0.0,657.5,1168.9,1,244.8,0,0,flight_commit=1.00|edge_zoom=0.914|bounds
3,1409.6,323.4,centroid,0.30,1460.8,584.5,1132.1,0.0,657.5,1168.9,1,252.8,0,0,shot_pb=0.20|flight_commit=1.00|person_ctx=4|edge_zoom=0.914|bounds
4,1430.6,323.5,centroid,0.30,1472.8,584.5,1144.0,0.0,657.5,1168.9,1,261.8,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.914|bounds
5,1453.3,323.6,centroid,0.30,1485.6,584.5,1156.8,0.0,657.5,1168.9,1,271.7,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.914|bounds
6,1477.2,323.7,centroid,0.30,1498.7,584.5,1169.9,0.0,657.5,1168.9,1,282.5,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.914|bounds
7,1501.5,323.9,centroid,0.30,1511.5,584.5,1182.8,0.0,657.5,1168.9,1,294.0,0,0,accel_zoom=0.923|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.914|bounds
8,1525.2,324.0,centroid,0.30,1523.8,584.5,1195.1,0.0,657.5,1168.9,1,302.6,0,0,accel_zoom=0.921|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.915|bounds
9,1547.7,324.1,centroid,0.30,1535.2,584.5,1206.5,0.0,657.5,1168.9,1,291.5,0,1,accel_zoom=0.921|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.914|bounds
10,1568.1,324.3,centroid,0.30,1545.6,584.5,1216.8,0.0,657.5,1168.9,1,281.5,0,0,accel_zoom=0.921|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.915|bounds
11,1586.3,324.5,centroid,0.30,1554.7,584.5,1225.9,0.0,657.5,1168.9,1,272.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.863|bounds
12,1602.0,324.7,centroid,0.30,1562.5,584.5,1233.7,0.0,657.5,1168.9,1,264.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.859|bounds
13,1615.3,324.9,centroid,0.30,1569.1,584.5,1240.3,0.0,657.5,1168.9,1,257.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.857|bounds
14,1626.5,325.2,centroid,0.30,1574.5,584.5,1245.7,0.0,657.5,1168.9,1,252.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.854|bounds
15,1635.8,325.5,centroid,0.30,1578.8,584.5,1250.1,0.0,657.5,1168.9,1,247.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.853|bounds
16,1643.5,325.8,centroid,0.30,1582.3,584.5,1253.5,0.0,657.5,1168.9,1,242.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.852|bounds
17,1649.9,326.2,centroid,0.30,1584.9,584.5,1256.1,0.0,657.5,1168.9,1,239.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.852|bounds
18,1655.2,326.6,centroid,0.30,1586.8,584.5,1258.1,0.0,657.5,1168.9,1,235.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.852|bounds
19,1659.7,326.9,centroid,0.30,1588.3,584.5,1259.5,0.0,657.5,1168.9,1,232.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.852|bounds
20,1663.6,327.3,centroid,0.30,1589.3,584.5,1260.5,0.0,657.5,1168.9,1,229.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.852|bounds
21,1667.0,327.7,centroid,0.30,1590.0,584.5,1261.2,0.0,657.5,1168.9,1,227.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.853|bounds
22,1669.9,328.0,centroid,0.30,1590.4,584.5,1261.7,0.0,657.5,1168.9,1,224.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.853|bounds
23,1672.5,328.4,centroid,0.30,1590.8,584.5,1262.0,0.0,657.5,1168.9,1,222.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.854|bounds
24,1674.9,328.7,centroid,0.30,1591.0,584.5,1262.2,0.0,657.5,1168.9,1,220.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.854|bounds
25,1677.1,329.0,centroid,0.30,1591.1,584.5,1262.3,0.0,657.5,1168.9,1,218.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.854|bounds
26,1679.1,329.3,centroid,0.30,1591.1,584.5,1262.4,0.0,657.5,1168.9,1,216.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.854|bounds
27,1681.0,329.5,centroid,0.30,1591.2,584.5,1262.4,0.0,657.5,1168.9,1,214.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.855|bounds
28,1682.7,329.8,centroid,0.30,1591.2,584.5,1262.4,0.0,657.5,1168.9,1,212.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.855|bounds
29,1684.3,330.1,centroid,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,210.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.855|bounds
30,1685.8,330.3,centroid,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,209.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.855|bounds
