frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1541.4,496.0,yolo,0.58,1541.4,540.0,1238.2,0.9,606.5,1078.2,1,304.0,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.929|bounds
1,1541.5,495.7,yolo,0.55,1541.4,540.0,1243.3,9.9,596.3,1060.1,1,303.9,0,0,flight_commit=0.84|bounds
2,1541.6,495.3,yolo,0.49,1541.4,540.0,1248.4,19.2,585.9,1041.6,1,303.8,0,0,flight_commit=0.31|conf_zoom=0.99|conf_speed=1.00|bounds
3,1541.7,494.9,yolo,0.42,1541.4,540.0,1253.6,28.3,575.7,1023.4,1,303.7,0,0,conf_zoom=0.94|conf_speed=0.97|bounds
4,1541.7,494.5,yolo,0.45,1541.4,540.0,1258.4,37.0,565.9,1006.1,1,303.7,0,0,conf_zoom=0.93|person_ctx=4|conf_speed=0.96|bounds
5,1541.8,494.4,yolo,0.42,1541.4,540.0,1263.0,45.0,556.9,990.0,1,303.6,0,0,conf_zoom=0.91|person_ctx=4|conf_speed=0.95|bounds
6,1541.9,494.8,yolo,0.37,1541.4,540.0,1267.0,52.2,548.8,975.6,1,303.5,0,0,conf_zoom=0.89|person_ctx=4|conf_speed=0.94|bounds
7,1542.1,495.6,yolo,0.33,1541.4,540.0,1270.6,58.6,541.6,962.9,1,303.3,0,0,conf_zoom=0.86|person_ctx=4|conf_speed=0.92|bounds
8,1542.3,496.4,yolo,0.39,1541.4,540.0,1273.7,64.0,535.4,951.9,1,303.1,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
9,1542.5,497.1,yolo,0.42,1541.4,540.0,1276.3,68.7,530.2,942.6,1,302.9,0,0,conf_zoom=0.85|person_ctx=4|conf_speed=0.92|bounds
10,1542.6,497.4,interp,0.38,1541.4,540.0,1278.5,72.6,525.8,934.7,1,302.8,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
11,1542.8,497.5,yolo,0.40,1541.4,540.0,1280.4,76.0,522.0,928.1,1,302.6,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
12,1543.0,497.2,yolo,0.45,1541.4,540.0,1282.0,78.9,518.8,922.3,1,302.4,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
13,1543.2,496.5,yolo,0.42,1541.4,540.0,1283.5,81.5,515.8,917.1,1,302.2,0,0,conf_zoom=0.84|person_ctx=4|conf_speed=0.91|bounds
14,1543.4,495.6,yolo,0.49,1541.4,540.0,1284.9,83.9,513.1,912.2,1,302.0,0,0,conf_zoom=0.85|person_ctx=4|conf_speed=0.92|bounds
15,1543.5,494.7,yolo,0.53,1541.4,540.0,1286.2,86.3,510.4,907.4,1,301.9,0,0,conf_zoom=0.87|person_ctx=4|conf_speed=0.93|bounds
16,1543.7,493.9,yolo,0.57,1541.4,540.0,1287.5,88.6,507.8,902.7,1,301.7,0,0,conf_zoom=0.89|person_ctx=4|conf_speed=0.94|bounds
17,1543.7,493.5,yolo,0.55,1541.4,540.0,1288.8,91.0,505.1,898.0,1,301.7,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.95|bounds
18,1543.8,493.4,yolo,0.48,1541.4,540.0,1290.2,93.4,502.5,893.2,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.94|bounds
19,1543.8,493.7,yolo,0.49,1541.4,540.0,1291.5,95.7,499.8,888.5,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.94|bounds
20,1543.8,494.2,yolo,0.51,1541.4,540.0,1292.8,98.0,497.2,884.0,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.95|bounds
21,1543.8,494.9,yolo,0.49,1541.4,540.0,1294.0,100.2,494.8,879.7,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.95|bounds
22,1543.8,495.6,yolo,0.49,1541.4,540.0,1295.1,102.1,492.7,875.8,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.95|bounds
23,1543.8,496.3,yolo,0.49,1541.4,540.0,1296.0,103.7,490.8,872.6,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.95|bounds
24,1543.8,496.9,yolo,0.46,1541.4,540.0,1296.7,105.0,489.4,870.1,1,301.6,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.94|bounds
25,1543.8,497.3,yolo,0.46,1541.4,540.0,1297.2,105.8,488.4,868.3,1,301.6,0,0,conf_zoom=0.89|person_ctx=4|conf_speed=0.94|bounds
26,1543.9,497.3,yolo,0.45,1541.4,540.0,1297.4,106.2,488.0,867.5,1,301.5,0,0,conf_zoom=0.89|person_ctx=4|conf_speed=0.94|bounds
27,1544.0,497.2,yolo,0.51,1541.4,540.0,1297.4,106.2,488.1,867.7,1,301.4,0,0,conf_zoom=0.89|person_ctx=4|conf_speed=0.94|bounds
28,1544.0,496.9,yolo,0.44,1541.4,540.0,1297.1,105.6,488.7,868.8,1,301.4,0,0,conf_zoom=0.88|conf_speed=0.94|bounds
29,1544.0,496.5,yolo,0.41,1541.4,540.0,1296.5,104.6,489.8,870.8,1,301.4,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
30,1544.0,496.2,yolo,0.38,1541.4,540.0,1295.7,103.2,491.4,873.5,1,301.4,0,0,conf_zoom=0.86|conf_speed=0.92|bounds
31,1544.0,496.0,interp,0.38,1541.4,540.0,1294.8,101.5,493.3,877.0,1,301.4,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
32,1544.0,496.0,yolo,0.34,1541.4,540.0,1293.7,99.6,495.5,880.9,1,301.4,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
33,1544.0,496.0,yolo,0.40,1541.4,540.0,1292.5,97.5,497.9,885.1,1,301.4,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
34,1544.1,496.2,yolo,0.40,1541.4,540.0,1291.3,95.3,500.3,889.3,1,301.3,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
35,1544.1,496.5,interp,0.38,1541.4,540.0,1290.1,93.3,502.5,893.4,1,301.3,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
36,1544.1,496.8,yolo,0.37,1541.4,540.0,1289.1,91.5,504.6,897.0,1,301.3,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
37,1544.0,497.2,yolo,0.36,1541.4,540.0,1288.3,90.0,506.2,900.0,1,301.4,0,0,conf_zoom=0.81|conf_speed=0.90|bounds
38,1544.0,497.6,yolo,0.36,1541.4,540.0,1287.7,88.9,507.5,902.2,1,301.4,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
39,1544.0,497.8,yolo,0.37,1541.4,540.0,1287.3,88.3,508.2,903.4,1,301.4,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
40,1543.9,497.9,yolo,0.35,1541.4,540.0,1287.3,88.2,508.3,903.6,1,301.5,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
41,1543.9,497.8,yolo,0.38,1541.4,540.0,1287.5,88.7,507.8,902.7,1,301.5,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
42,1544.0,497.6,yolo,0.44,1541.4,540.0,1288.1,89.6,506.7,900.7,1,301.4,0,0,conf_zoom=0.81|conf_speed=0.89|bounds
43,1543.9,497.3,yolo,0.44,1541.4,540.0,1288.9,91.1,505.0,897.8,1,301.5,0,0,conf_zoom=0.81|conf_speed=0.90|bounds
44,1543.8,497.0,yolo,0.40,1541.4,540.0,1289.9,93.0,502.9,894.0,1,301.6,0,0,conf_zoom=0.81|conf_speed=0.90|bounds
45,1543.6,496.8,yolo,0.40,1541.3,540.0,1291.2,95.3,500.3,889.5,1,301.7,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
46,1543.4,496.6,yolo,0.44,1541.3,540.0,1292.5,97.7,497.5,884.5,1,301.9,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
