frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,208.2,923.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,183.4,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,208.4,923.7,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,183.6,1,1,flight_commit=0.84|keepin_prop=0.35|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,208.7,923.8,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,183.9,1,1,flight_commit=0.30|conf_zoom=0.99|keepin_prop=0.36|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,209.1,924.0,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,184.3,1,1,conf_zoom=0.73|keepin_prop=0.37|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,209.5,924.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,184.7,1,1,conf_zoom=0.73|keepin_prop=0.52|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,209.8,924.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,185.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,210.0,924.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,185.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,210.1,925.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,185.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,209.8,926.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,185.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,209.3,927.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,184.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,208.7,928.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,183.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,208.1,929.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,183.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,207.5,930.1,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,182.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,207.2,930.7,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,182.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,206.9,931.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,182.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,207.0,931.4,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,182.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,207.4,931.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,182.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,208.3,930.9,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,183.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,209.8,930.2,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,185.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,211.7,929.3,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,186.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,214.3,928.0,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,189.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
21,217.3,926.5,centroid,0.30,328.8,584.5,0.0,0.0,657.5,1168.9,1,192.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
22,220.8,924.6,centroid,0.30,328.8,584.5,0.1,0.0,657.5,1168.9,1,196.0,1,1,conf_zoom=0.73|keepin_prop=0.59|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
23,224.8,922.3,centroid,0.30,328.9,584.5,0.1,0.0,657.5,1168.9,1,199.9,1,1,conf_zoom=0.73|keepin_prop=0.37|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
24,229.3,919.5,centroid,0.30,329.0,584.5,0.2,0.0,657.5,1168.9,1,204.3,1,1,conf_zoom=0.73|keepin_prop=0.36|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
25,234.3,916.2,centroid,0.30,329.1,584.5,0.3,0.0,657.5,1168.9,1,209.2,1,1,conf_zoom=0.73|keepin_prop=0.35|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
26,239.9,912.3,centroid,0.30,329.3,584.5,0.5,0.0,657.5,1168.9,1,214.6,1,1,flight_commit=0.05|conf_zoom=0.92|keepin_prop=0.33|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
27,246.1,907.8,centroid,0.30,329.6,584.5,0.8,0.0,657.5,1168.9,1,220.5,1,1,flight_commit=0.20|conf_zoom=0.96|keepin_prop=0.31|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
28,253.0,902.6,centroid,0.30,330.1,584.5,1.3,0.0,657.5,1168.9,1,226.9,1,1,flight_commit=0.36|keepin_prop=0.29|keepin_zoom=1.350|speed|edge_zoom=0.754|bounds
29,260.7,896.8,centroid,0.30,330.7,584.5,1.9,0.0,657.5,1168.9,1,234.0,1,1,flight_commit=0.53|keepin_prop=0.27|keepin_zoom=1.350|speed|edge_zoom=0.764|bounds
