frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1191.1,389.9,hold,0.30,1202.8,575.2,879.2,0.0,647.1,1150.5,1,292.3,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1191.1,389.9,hold,0.30,1203.4,572.6,881.3,0.0,644.2,1145.2,1,291.7,0,0,flight_commit=0.82|edge_zoom=0.947|bounds
2,1191.1,389.9,hold,0.30,1204.1,569.6,883.7,0.0,640.8,1139.2,1,291.0,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.954|bounds
3,1191.1,389.9,hold,0.30,1205.1,566.2,886.6,0.0,637.0,1132.4,1,290.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.960|bounds
4,1191.1,389.9,hold,0.30,1206.0,562.5,889.6,0.0,632.9,1125.1,1,289.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.960|bounds
5,1191.1,389.9,hold,0.30,1207.0,558.7,892.8,0.0,628.5,1117.3,1,288.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,1191.2,389.9,hold,0.30,1207.9,554.6,895.9,0.0,624.0,1109.3,1,287.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,1191.2,389.9,hold,0.30,1208.8,550.6,899.0,0.0,619.4,1101.2,1,286.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,1191.2,389.9,hold,0.30,1209.5,546.7,902.0,0.0,615.0,1093.3,1,285.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,1191.3,389.9,hold,0.30,1210.1,542.9,904.7,0.0,610.7,1085.8,1,285.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,1191.3,389.9,hold,0.30,1210.6,540.0,907.2,0.7,606.7,1078.7,1,284.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,1191.4,389.9,hold,0.30,1211.0,540.0,909.5,4.0,603.0,1072.1,1,284.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,1191.4,389.9,hold,0.30,1211.3,540.0,911.4,7.0,599.7,1066.1,1,284.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,1191.5,389.9,hold,0.30,1211.5,540.0,913.2,9.7,596.6,1060.6,1,284.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,1191.6,389.9,hold,0.30,1211.7,540.0,914.8,12.1,593.9,1055.8,1,283.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,1191.8,389.9,hold,0.30,1211.9,540.0,916.1,14.3,591.5,1051.5,1,283.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,1192.0,389.9,hold,0.30,1212.0,540.0,917.3,16.2,589.3,1047.7,1,284.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,1192.2,389.9,hold,0.30,1212.2,540.0,918.4,17.8,587.4,1044.4,1,284.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,1192.5,389.9,hold,0.30,1212.4,540.0,919.5,19.3,585.8,1041.5,1,284.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,1192.8,389.9,hold,0.30,1212.6,540.0,920.4,20.5,584.5,1039.1,1,284.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,1193.3,390.0,hold,0.30,1213.0,540.0,921.3,21.4,583.4,1037.1,1,284.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,1193.8,390.0,hold,0.30,1213.5,540.0,922.2,22.1,582.6,1035.7,1,284.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,1194.5,390.0,hold,0.30,1214.2,540.0,923.1,22.5,582.1,1034.9,1,284.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,1195.4,390.0,hold,0.30,1215.0,540.0,924.0,22.6,582.1,1034.8,1,284.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
24,1196.5,390.0,hold,0.30,1216.2,540.0,925.0,22.3,582.4,1035.4,1,284.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
25,1197.9,390.1,hold,0.30,1217.6,540.0,926.0,21.6,583.2,1036.8,1,284.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
26,1199.5,390.1,hold,0.30,1219.4,540.0,927.2,20.5,584.4,1039.0,1,284.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
27,1201.7,390.1,yolo,0.36,1221.6,540.0,928.5,19.0,586.1,1042.0,1,284.1,0,0,conf_zoom=0.73|conf_speed=0.86|bounds
28,1204.6,390.2,yolo,0.33,1224.2,540.0,930.1,17.1,588.2,1045.7,1,284.4,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
29,1208.3,390.3,yolo,0.33,1227.2,540.0,931.9,15.0,590.6,1049.9,1,285.1,0,0,conf_zoom=0.74|conf_speed=0.86|edge_zoom=0.972|bounds
30,1212.4,390.3,interp,0.38,1230.6,540.0,934.1,12.8,593.1,1054.4,1,285.8,0,0,conf_zoom=0.75|conf_speed=0.86|edge_zoom=0.955|bounds
31,1217.0,390.4,interp,0.38,1234.4,540.0,936.6,10.5,595.7,1058.9,1,286.6,0,0,conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.954|bounds
32,1222.0,390.5,interp,0.38,1238.5,540.0,939.4,8.4,598.1,1063.2,1,287.5,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.954|bounds
