frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1826.0,1017.2,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,69.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1824.2,1016.8,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,71.0,1,1,flight_commit=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1822.2,1016.5,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,73.0,1,1,flight_commit=0.47|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1819.9,1016.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,75.3,1,1,flight_commit=0.17|conf_zoom=0.95|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1817.3,1015.6,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,77.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1814.3,1015.0,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,80.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1811.0,1014.4,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,84.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1807.1,1013.7,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,88.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1802.8,1012.9,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,92.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1797.9,1012.0,hold,0.30,1591.2,584.5,1262.4,0.0,657.5,1168.9,1,97.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1792.3,1011.0,hold,0.30,1591.2,584.5,1262.4,0.0,657.5,1168.9,1,102.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1785.9,1009.8,hold,0.30,1591.1,584.5,1262.4,0.0,657.5,1168.9,1,109.2,1,1,flight_commit=0.06|conf_zoom=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1778.6,1008.5,hold,0.30,1591.1,584.5,1262.3,0.0,657.5,1168.9,1,116.5,1,1,flight_commit=0.18|conf_zoom=0.96|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1770.4,1007.0,hold,0.30,1591.0,584.5,1262.2,0.0,657.5,1168.9,1,124.6,1,1,flight_commit=0.33|conf_zoom=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1761.1,1005.2,hold,0.30,1590.8,584.5,1262.0,0.0,657.5,1168.9,1,133.7,1,1,flight_commit=0.50|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1750.4,1003.3,hold,0.30,1590.5,584.5,1261.8,0.0,657.5,1168.9,1,144.1,1,1,flight_commit=0.70|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1738.3,1001.1,hold,0.30,1590.2,584.5,1261.4,0.0,657.5,1168.9,1,155.9,1,1,flight_commit=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,1724.6,998.5,hold,0.30,1589.6,584.5,1260.8,0.0,657.5,1168.9,1,169.0,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,1709.0,995.7,hold,0.30,1588.8,584.5,1260.1,0.0,657.5,1168.9,1,173.2,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,1691.3,992.4,yolo,0.29,1587.8,584.5,1259.0,0.0,657.5,1168.9,1,176.5,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,1655.6,987.5,centroid,0.35,1586.3,584.5,1257.6,0.0,657.5,1168.9,1,181.4,1,1,accel_zoom=0.900|shot_pb=0.80|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
21,1636.4,983.5,centroid,0.35,1584.4,584.5,1255.7,0.0,657.5,1168.9,1,185.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
22,1618.2,979.1,centroid,0.35,1582.0,584.5,1253.3,0.0,657.5,1168.9,1,189.8,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
23,1600.8,974.5,centroid,0.34,1579.0,584.5,1250.3,0.0,657.5,1168.9,1,194.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
24,1583.9,969.7,centroid,0.34,1575.3,584.5,1246.5,0.0,657.5,1168.9,1,199.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
25,1567.4,964.5,centroid,0.34,1570.8,584.5,1242.1,0.0,657.5,1168.9,1,204.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
26,1551.0,959.0,centroid,0.34,1565.5,584.5,1236.8,0.0,657.5,1168.9,1,209.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
27,1534.7,953.2,centroid,0.34,1559.4,584.5,1230.6,0.0,657.5,1168.9,1,215.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
28,1518.2,947.0,centroid,0.34,1552.3,584.5,1223.6,0.0,657.5,1168.9,1,221.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
29,1501.6,940.6,centroid,0.34,1544.4,584.5,1215.7,0.0,657.5,1168.9,1,228.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
30,1484.7,933.8,centroid,0.33,1535.7,584.5,1206.9,0.0,657.5,1168.9,1,235.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
31,1467.5,926.7,centroid,0.33,1526.1,584.5,1197.3,0.0,657.5,1168.9,1,242.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
32,1450.0,919.4,centroid,0.33,1515.8,584.5,1187.0,0.0,657.5,1168.9,1,238.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
33,1432.1,911.8,centroid,0.33,1504.8,584.5,1176.1,0.0,657.5,1168.9,1,231.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
34,1413.8,904.0,centroid,0.33,1493.3,584.5,1164.6,0.0,657.5,1168.9,1,224.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.98|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
35,1395.3,896.1,centroid,0.33,1481.3,584.5,1152.5,0.0,657.5,1168.9,1,218.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.93|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
36,1376.5,888.0,centroid,0.33,1468.9,584.5,1140.1,0.0,657.5,1168.9,1,211.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.87|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
37,1357.5,879.9,centroid,0.32,1456.2,584.5,1127.5,0.0,657.5,1168.9,1,205.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.82|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
38,1338.3,871.9,centroid,0.32,1443.3,584.5,1114.5,0.0,657.5,1168.9,1,199.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.77|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
39,1319.1,863.9,centroid,0.32,1430.3,584.5,1101.5,0.0,657.5,1168.9,1,192.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.72|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
40,1300.0,856.0,centroid,0.32,1417.2,584.5,1088.4,0.0,657.5,1168.9,1,186.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.67|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
