frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1836.4,1017.5,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,58.8,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1836.2,1017.3,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,59.0,1,1,flight_commit=0.84|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1835.8,1017.1,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,59.4,1,1,flight_commit=0.31|conf_zoom=0.99|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1835.5,1016.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,59.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1835.1,1016.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,60.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1834.6,1016.3,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,60.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1834.1,1016.0,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,61.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1833.5,1015.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,61.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1832.8,1015.2,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1832.0,1014.7,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,63.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1831.1,1014.1,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,64.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
