frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1780.1,989.1,blended,0.72,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,115.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1774.7,985.8,centroid,0.35,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,120.5,1,1,flight_commit=1.00|keepin_prop=0.74|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1769.8,982.5,centroid,0.35,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,125.4,1,1,flight_commit=0.90|keepin_prop=0.71|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1764.5,978.8,centroid,0.35,1591.2,540.0,1262.4,0.0,657.5,1168.9,1,130.7,1,1,flight_commit=0.72|keepin_prop=0.69|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1758.7,974.6,centroid,0.34,1591.2,540.0,1262.4,0.0,657.5,1168.9,1,136.5,1,1,flight_commit=0.63|keepin_prop=0.66|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1752.4,970.1,centroid,0.34,1591.1,540.0,1262.3,0.0,657.5,1168.9,1,142.7,1,1,flight_commit=0.61|keepin_prop=0.63|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1745.4,965.0,centroid,0.34,1590.9,540.0,1262.2,0.0,657.5,1168.9,1,149.5,1,1,shot_pb=0.80|flight_commit=0.64|keepin_prop=0.63|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1737.7,959.3,centroid,0.34,1590.7,540.0,1262.0,0.0,657.5,1168.9,1,157.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.62|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1729.3,953.0,centroid,0.34,1590.4,540.0,1261.6,0.0,657.5,1168.9,1,165.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.60|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1719.8,945.9,centroid,0.34,1589.8,540.0,1261.0,0.0,657.5,1168.9,1,174.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.57|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1709.3,938.0,centroid,0.35,1589.0,540.0,1260.2,0.0,657.5,1168.9,1,183.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.55|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1697.4,929.1,centroid,0.35,1587.7,540.0,1259.0,0.0,657.5,1168.9,1,194.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.52|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1684.0,919.1,centroid,0.35,1586.0,540.0,1257.2,0.0,657.5,1168.9,1,206.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.48|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1671.7,909.2,yolo,0.48,1583.5,540.0,1254.8,0.0,657.5,1168.9,1,215.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.46|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1651.8,894.8,interp,0.38,1580.3,540.0,1251.5,0.0,657.5,1168.9,1,232.5,1,1,accel_zoom=0.929|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.40|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1629.3,878.7,interp,0.38,1576.0,540.0,1247.2,0.0,657.5,1168.9,1,250.7,1,1,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.35|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
