frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1651.1,894.9,hold,0.30,1591.1,540.0,1262.4,0.0,657.5,1168.9,1,244.0,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.750|bounds|final_speed
1,1648.8,893.3,hold,0.30,1591.1,540.0,1262.3,0.0,657.5,1168.9,1,246.3,1,1,conf_zoom=0.82|keepin_prop=0.85|keepin_zoom=1.300|speed|edge_zoom=0.850|bounds
2,1646.2,891.4,hold,0.30,1590.9,540.0,1262.2,0.0,657.5,1168.9,1,248.7,1,1,conf_zoom=0.82|keepin_prop=0.83|keepin_zoom=1.300|speed|edge_zoom=0.852|bounds
3,1643.2,889.3,hold,0.30,1590.7,540.0,1262.0,0.0,657.5,1168.9,1,251.5,1,1,conf_zoom=0.82|keepin_prop=0.81|keepin_zoom=1.300|speed|edge_zoom=0.855|bounds
4,1639.8,886.9,hold,0.30,1590.4,540.0,1261.6,0.0,657.5,1168.9,1,254.6,1,1,conf_zoom=0.82|keepin_prop=0.79|keepin_zoom=1.300|speed|edge_zoom=0.857|bounds
5,1636.0,884.1,hold,0.30,1589.9,540.0,1261.1,0.0,657.5,1168.9,1,257.9,1,1,conf_zoom=0.82|keepin_prop=0.76|keepin_zoom=1.300|speed|edge_zoom=0.860|bounds
6,1631.7,881.0,hold,0.30,1589.2,540.0,1260.4,0.0,657.5,1168.9,1,261.5,1,1,conf_zoom=0.82|keepin_prop=0.74|keepin_zoom=1.300|speed|edge_zoom=0.863|bounds
7,1626.7,877.4,hold,0.30,1588.2,540.0,1259.4,0.0,657.5,1168.9,1,265.5,1,1,conf_zoom=0.82|keepin_prop=0.71|keepin_zoom=1.300|speed|edge_zoom=0.866|bounds
8,1621.1,873.4,hold,0.30,1586.8,540.0,1258.0,0.0,657.5,1168.9,1,269.7,1,1,conf_zoom=0.82|keepin_prop=0.68|keepin_zoom=1.300|speed|edge_zoom=0.869|bounds
9,1614.7,868.8,hold,0.30,1584.9,540.0,1256.1,0.0,657.5,1168.9,1,274.2,1,1,conf_zoom=0.82|keepin_prop=0.64|keepin_zoom=1.300|speed|edge_zoom=0.873|bounds
10,1607.5,863.6,hold,0.30,1582.4,540.0,1253.7,0.0,657.5,1168.9,1,278.9,1,1,conf_zoom=0.82|keepin_prop=0.60|keepin_zoom=1.300|speed|edge_zoom=0.878|bounds
11,1599.3,857.7,hold,0.30,1579.3,540.0,1250.5,0.0,657.5,1168.9,1,284.0,1,1,conf_zoom=0.82|keepin_prop=0.56|keepin_zoom=1.300|speed|edge_zoom=0.882|bounds
12,1589.9,850.9,hold,0.30,1575.4,540.0,1246.6,0.0,657.5,1168.9,1,289.5,1,1,conf_zoom=0.82|keepin_prop=0.52|keepin_zoom=1.300|speed|edge_zoom=0.887|bounds
13,1579.3,843.3,hold,0.30,1570.6,540.0,1241.8,0.0,657.5,1168.9,1,295.3,1,1,shot_pb=0.40|conf_zoom=0.82|keepin_prop=0.48|keepin_zoom=1.300|speed|edge_zoom=0.891|bounds
14,1567.2,834.6,hold,0.30,1564.8,540.0,1236.0,0.0,657.5,1168.9,1,301.6,1,1,shot_pb=0.60|conf_zoom=0.82|keepin_prop=0.44|keepin_zoom=1.300|speed|edge_zoom=0.895|bounds
15,1553.5,824.7,hold,0.30,1558.0,540.0,1229.2,0.0,657.5,1168.9,1,299.5,1,1,shot_pb=0.80|conf_zoom=0.82|keepin_prop=0.41|keepin_zoom=1.300|speed|edge_zoom=0.899|bounds
16,1537.9,813.5,hold,0.30,1550.1,540.0,1221.3,0.0,657.5,1168.9,1,291.8,1,1,accel_zoom=0.940|shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.38|keepin_zoom=1.300|speed|edge_zoom=0.903|bounds
17,1520.1,800.8,hold,0.30,1541.0,540.0,1212.3,0.0,657.5,1168.9,1,283.1,1,1,accel_zoom=0.919|shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.33|keepin_zoom=1.300|speed|edge_zoom=0.908|bounds
18,1500.0,786.3,yolo,0.42,1530.8,540.0,1202.1,0.0,657.5,1168.9,1,273.2,1,1,accel_zoom=0.912|shot_pb=1.00|conf_zoom=0.83|keepin_prop=0.28|keepin_zoom=1.300|speed|edge_zoom=0.913|bounds
