frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,910.4,380.9,hold,0.22,921.2,540.0,593.0,0.0,656.4,1167.0,1,293.2,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.750|bounds|final_speed
1,911.3,380.8,hold,0.22,922.4,540.0,594.5,0.0,655.9,1166.0,1,292.9,0,0,conf_zoom=0.76|edge_zoom=0.952|bounds
2,912.4,380.6,yolo,0.26,924.0,540.0,596.4,0.0,655.2,1164.9,1,292.4,0,0,conf_zoom=0.76|edge_zoom=0.956|bounds
3,913.7,380.5,interp,0.28,925.8,540.0,598.6,0.0,654.4,1163.4,1,291.9,0,0,conf_zoom=0.77|edge_zoom=0.957|bounds
4,915.1,380.3,interp,0.28,927.8,540.0,601.1,0.0,653.5,1161.7,1,291.3,0,0,conf_zoom=0.77|edge_zoom=0.958|bounds
5,916.7,380.0,yolo,0.27,929.8,540.0,603.6,0.0,652.4,1159.8,1,290.9,0,0,conf_zoom=0.78|edge_zoom=0.958|bounds
6,918.5,379.8,interp,0.28,931.9,540.0,606.3,0.0,651.2,1157.8,1,290.6,0,0,conf_zoom=0.78|edge_zoom=0.957|bounds
7,920.5,379.5,interp,0.28,934.0,540.0,609.0,0.0,650.1,1155.8,1,290.5,0,0,conf_zoom=0.78|edge_zoom=0.962|bounds
8,922.7,379.2,interp,0.28,936.3,540.0,611.7,0.0,649.1,1153.9,1,290.4,0,0,conf_zoom=0.79|edge_zoom=0.970|bounds
9,925.1,378.9,yolo,0.26,938.6,540.0,614.5,0.0,648.2,1152.4,1,290.5,0,0,conf_zoom=0.79|edge_zoom=0.972|bounds
10,927.7,378.5,interp,0.28,941.2,540.0,617.4,0.0,647.6,1151.3,1,290.5,0,0,conf_zoom=0.79|edge_zoom=0.970|bounds
11,930.6,378.2,interp,0.28,944.1,540.0,620.4,0.0,647.3,1150.8,1,290.5,0,0,conf_zoom=0.79|edge_zoom=0.965|bounds
12,933.8,377.7,interp,0.28,947.3,540.0,623.6,0.0,647.3,1150.8,1,290.5,0,0,conf_zoom=0.79|edge_zoom=0.957|bounds
13,937.3,377.3,interp,0.28,950.8,540.0,627.0,0.0,647.7,1151.4,1,290.5,0,0,conf_zoom=0.80|edge_zoom=0.951|bounds
14,941.2,376.8,interp,0.28,954.9,540.0,630.7,0.0,648.3,1152.6,1,290.3,0,0,conf_zoom=0.80|edge_zoom=0.951|bounds
15,945.4,376.3,interp,0.28,959.4,540.0,634.8,0.0,649.2,1154.1,1,290.0,0,0,conf_zoom=0.80|edge_zoom=0.951|bounds
16,950.1,375.7,yolo,0.26,964.4,540.0,639.3,0.0,650.2,1156.0,1,289.7,0,0,shot_pb=0.00|conf_zoom=0.80|edge_zoom=0.950|bounds
17,955.7,375.0,yolo,0.24,969.9,540.0,644.2,0.0,651.3,1158.0,1,289.8,0,0,shot_pb=0.00|conf_zoom=0.79|edge_zoom=0.950|bounds
18,961.9,374.3,interp,0.28,976.0,540.0,649.8,0.0,652.5,1159.9,1,289.9,0,0,shot_pb=0.00|conf_zoom=0.79|edge_zoom=0.950|bounds
19,968.6,373.5,interp,0.28,982.6,540.0,655.9,0.0,653.5,1161.8,1,290.0,0,0,shot_pb=0.00|conf_zoom=0.80|edge_zoom=0.949|bounds
20,975.7,372.7,interp,0.28,989.8,540.0,662.6,0.0,654.4,1163.5,1,289.9,0,0,shot_pb=0.00|conf_zoom=0.80|edge_zoom=0.949|bounds
21,983.0,371.9,interp,0.28,997.6,540.0,670.0,0.0,655.2,1164.9,1,289.4,0,0,conf_zoom=0.80|edge_zoom=0.949|bounds
22,990.7,371.1,interp,0.28,1005.9,540.0,678.0,0.0,655.9,1166.0,1,288.8,0,0,conf_zoom=0.80|edge_zoom=0.948|bounds
23,998.5,370.3,interp,0.28,1014.8,540.0,686.6,0.0,656.4,1166.9,1,287.7,0,0,conf_zoom=0.80|edge_zoom=0.948|bounds
24,1006.6,369.5,interp,0.28,1024.3,540.0,695.9,0.0,656.8,1167.6,1,286.3,0,0,conf_zoom=0.80|edge_zoom=0.948|bounds
25,1014.8,368.7,interp,0.28,1034.3,540.0,705.8,0.0,657.0,1168.1,1,284.5,0,0,conf_zoom=0.80|edge_zoom=0.947|bounds
26,1023.1,367.9,interp,0.28,1044.8,540.0,716.2,0.0,657.2,1168.4,1,282.3,0,0,shot_pb=0.60|conf_zoom=0.80|person_ctx=4|edge_zoom=0.947|bounds
27,1031.5,367.2,interp,0.28,1055.9,540.0,727.2,0.0,657.4,1168.6,1,279.6,0,0,shot_pb=0.80|conf_zoom=0.80|person_ctx=4|edge_zoom=0.947|bounds
28,1040.0,366.5,interp,0.28,1067.4,540.0,738.7,0.0,657.4,1168.8,1,276.6,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.947|bounds
29,1048.6,365.8,interp,0.28,1079.2,540.0,750.5,0.0,657.5,1168.9,1,273.4,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.946|bounds
30,1057.1,365.2,interp,0.28,1091.2,540.0,762.5,0.0,657.5,1168.9,1,269.9,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.946|bounds
31,1065.6,364.7,interp,0.28,1103.4,540.0,774.6,0.0,657.5,1168.9,1,266.2,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.946|bounds
32,1074.1,364.3,interp,0.28,1115.4,540.0,786.6,0.0,657.5,1168.9,1,262.7,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.946|bounds
33,1082.4,364.0,interp,0.28,1127.1,540.0,798.4,0.0,657.5,1168.9,1,259.3,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.946|bounds
34,1090.7,363.7,interp,0.28,1138.4,540.0,809.7,0.0,657.5,1168.9,1,256.3,0,0,shot_pb=1.00|conf_zoom=0.80|person_ctx=4|edge_zoom=0.946|bounds
35,1098.9,363.6,yolo,0.43,1149.1,540.0,820.3,0.0,657.5,1168.8,1,253.8,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.946|bounds
36,1106.4,363.8,interp,0.28,1159.0,540.0,830.3,0.0,657.4,1168.7,1,251.4,0,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=4|edge_zoom=0.947|bounds
37,1113.9,364.2,yolo,0.40,1167.9,540.0,839.3,0.0,657.4,1168.6,1,250.0,0,0,shot_pb=1.00|conf_zoom=0.83|person_ctx=4|edge_zoom=0.948|bounds
38,1121.7,364.8,yolo,0.45,1175.9,540.0,847.3,0.0,657.3,1168.5,1,249.8,0,1,shot_pb=1.00|conf_zoom=0.84|person_ctx=4|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.946|bounds
39,1129.7,365.5,yolo,0.40,1182.7,540.0,854.2,0.0,657.2,1168.3,1,251.0,0,0,shot_pb=1.00|conf_zoom=0.85|person_ctx=4|edge_zoom=0.950|bounds
40,1137.7,366.4,yolo,0.41,1188.3,540.0,859.8,0.0,657.0,1168.1,1,253.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.947|bounds
41,1145.0,367.0,interp,0.28,1192.5,540.0,864.1,0.0,656.9,1167.8,1,256.5,0,0,shot_pb=1.00|conf_zoom=0.85|person_ctx=4|edge_zoom=0.950|bounds
42,1152.1,367.6,yolo,0.43,1195.2,540.0,866.9,0.0,656.7,1167.5,1,260.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.947|bounds
43,1159.4,368.2,yolo,0.43,1196.3,540.0,868.0,0.0,656.5,1167.2,1,267.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.950|bounds
