frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1036.6,944.4,centroid,0.30,1048.8,540.0,720.0,0.0,657.5,1168.9,1,224.5,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1041.4,945.1,centroid,0.30,1050.6,540.0,721.8,0.0,657.5,1168.9,1,223.8,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1046.6,945.9,centroid,0.30,1053.0,540.0,724.2,0.0,657.5,1168.9,1,223.0,1,1,flight_commit=0.80|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1052.1,946.8,centroid,0.30,1055.8,540.0,727.0,0.0,657.5,1168.9,1,222.1,1,1,flight_commit=0.59|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1057.9,947.7,centroid,0.30,1059.0,540.0,730.2,0.0,657.5,1168.9,1,221.2,1,1,flight_commit=0.46|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1063.7,948.6,centroid,0.30,1062.4,540.0,733.6,0.0,657.5,1168.9,1,220.3,1,1,flight_commit=0.37|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1069.4,949.6,centroid,0.30,1065.9,540.0,737.2,0.0,657.5,1168.9,1,219.3,1,1,flight_commit=0.31|conf_zoom=0.99|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1075.1,950.5,centroid,0.30,1069.4,540.0,740.6,0.0,657.5,1168.9,1,218.4,1,1,flight_commit=0.26|conf_zoom=0.98|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1080.5,951.4,centroid,0.30,1072.7,540.0,744.0,0.0,657.5,1168.9,1,217.5,1,1,shot_pb=0.00|flight_commit=0.21|conf_zoom=0.97|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1085.5,952.3,centroid,0.30,1075.8,540.0,747.0,0.0,657.5,1168.9,1,216.6,1,1,shot_pb=0.00|flight_commit=0.15|conf_zoom=0.95|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1090.0,953.2,centroid,0.30,1078.5,540.0,749.7,0.0,657.5,1168.9,1,215.7,1,1,shot_pb=0.00|flight_commit=0.08|conf_zoom=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1093.9,953.9,centroid,0.30,1080.7,540.0,751.9,0.0,657.5,1168.9,1,215.0,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1097.0,954.6,centroid,0.30,1082.2,540.0,753.5,0.0,657.5,1168.9,1,214.3,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1099.3,955.2,centroid,0.30,1083.1,540.0,754.4,0.0,657.5,1168.9,1,213.7,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1100.5,955.6,centroid,0.30,1083.2,540.0,754.5,0.0,657.5,1168.9,1,213.3,1,1,shot_pb=0.94|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1100.5,955.8,centroid,0.30,1082.5,540.0,753.7,0.0,657.5,1168.9,1,213.1,1,1,shot_pb=0.00|flight_commit=0.26|conf_zoom=0.98|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1099.4,955.8,centroid,0.30,1080.8,540.0,752.1,0.0,657.5,1168.9,1,213.1,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,1096.8,955.6,centroid,0.30,1078.2,540.0,749.4,0.0,657.5,1168.9,1,213.3,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,1092.9,955.1,centroid,0.30,1074.5,540.0,745.7,0.0,657.5,1168.9,1,213.8,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,1087.4,954.3,centroid,0.30,1069.8,540.0,741.0,0.0,657.5,1168.9,1,214.6,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,1080.4,953.2,centroid,0.30,1064.0,540.0,735.3,0.0,657.5,1168.9,1,215.7,1,1,shot_pb=0.00|flight_commit=0.05|conf_zoom=0.92|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
21,1071.9,951.8,centroid,0.30,1057.3,540.0,728.5,0.0,657.5,1168.9,1,217.1,1,1,flight_commit=0.26|conf_zoom=0.98|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
22,1061.8,950.0,centroid,0.30,1049.5,540.0,720.8,0.0,657.5,1168.9,1,218.9,1,1,flight_commit=0.50|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
23,1050.2,947.7,centroid,0.30,1040.9,540.0,712.1,0.0,657.5,1168.9,1,221.2,1,1,flight_commit=0.76|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
24,1037.1,945.1,centroid,0.30,1031.4,540.0,702.7,0.0,657.5,1168.9,1,223.8,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
25,1022.7,942.1,centroid,0.30,1021.2,540.0,692.4,0.0,657.5,1168.9,1,226.8,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
26,1007.0,938.6,centroid,0.30,1010.3,540.0,681.5,0.0,657.5,1168.9,1,230.3,1,1,shot_pb=0.20|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
27,990.1,934.6,centroid,0.30,998.8,540.0,670.0,0.0,657.5,1168.9,1,234.3,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=0.99|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
28,972.3,930.2,centroid,0.30,986.8,540.0,658.1,0.0,657.5,1168.9,1,238.7,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.97|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
