frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,669.9,337.5,hold,0.22,696.3,540.0,367.5,0.0,657.5,1168.9,1,277.6,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.750|bounds|final_speed
1,674.7,339.9,hold,0.22,701.0,540.0,372.2,0.0,657.5,1168.9,1,277.7,0,0,conf_zoom=0.76|edge_zoom=0.939|bounds
2,680.2,342.5,hold,0.22,707.5,540.0,378.8,0.0,657.5,1168.9,1,276.7,0,0,conf_zoom=0.76|edge_zoom=0.940|bounds
3,686.5,345.6,hold,0.22,715.9,540.0,387.1,0.0,657.5,1168.9,1,274.6,0,0,conf_zoom=0.76|edge_zoom=0.941|bounds
4,693.6,349.0,yolo,0.26,725.9,540.0,397.1,0.0,657.5,1168.9,1,271.7,0,0,conf_zoom=0.76|edge_zoom=0.942|bounds
5,701.8,352.9,yolo,0.30,737.5,540.0,408.7,0.0,657.5,1168.9,1,268.3,0,0,conf_zoom=0.77|edge_zoom=0.944|bounds
6,711.1,357.4,interp,0.28,750.5,540.0,421.8,0.0,657.5,1168.9,1,264.6,0,0,shot_pb=0.80|conf_zoom=0.78|edge_zoom=0.945|bounds
7,721.6,362.5,interp,0.28,765.1,540.0,436.4,0.0,657.5,1168.9,1,260.5,0,0,shot_pb=1.00|conf_zoom=0.78|edge_zoom=0.947|bounds
8,733.4,368.3,interp,0.28,781.2,540.0,452.4,0.0,657.5,1168.9,1,256.2,0,0,shot_pb=1.00|conf_zoom=0.78|edge_zoom=0.950|bounds
9,746.7,374.9,interp,0.28,798.6,540.0,469.9,0.0,657.5,1168.9,1,252.1,0,0,shot_pb=1.00|conf_zoom=0.79|edge_zoom=0.953|bounds
10,761.7,382.4,interp,0.28,817.3,540.0,488.6,0.0,657.5,1168.9,1,248.4,0,0,accel_zoom=0.930|shot_pb=1.00|conf_zoom=0.79|edge_zoom=0.957|bounds
11,778.6,390.9,yolo,0.28,837.1,540.0,508.4,0.0,657.5,1168.9,1,245.5,0,0,accel_zoom=0.930|shot_pb=1.00|conf_zoom=0.79|edge_zoom=0.961|bounds
12,800.4,402.3,interp,0.28,857.8,540.0,529.0,0.0,657.5,1168.9,1,246.6,0,0,accel_zoom=0.918|shot_pb=1.00|conf_zoom=0.79|edge_zoom=0.967|bounds
13,824.0,414.5,interp,0.28,879.0,540.0,550.3,0.0,657.5,1168.9,1,249.0,0,0,accel_zoom=0.913|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.972|bounds
14,848.7,427.5,interp,0.28,900.6,540.0,571.8,0.0,657.5,1168.9,1,252.1,0,0,accel_zoom=0.909|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.977|bounds
15,874.4,440.7,yolo,0.27,922.2,540.0,593.5,0.0,657.5,1168.9,1,256.2,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.981|bounds
16,899.6,453.7,interp,0.28,943.7,540.0,614.9,0.0,657.5,1168.9,1,259.9,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.985|bounds
17,925.1,466.6,interp,0.28,964.7,540.0,635.9,0.0,657.5,1168.9,1,264.4,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.990|bounds
18,950.6,479.5,interp,0.28,985.1,540.0,656.4,0.0,657.5,1168.9,1,269.5,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.994|bounds
19,976.1,492.0,interp,0.28,1004.8,540.0,676.0,0.0,657.5,1168.9,1,275.3,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.997|bounds
20,1001.4,504.1,interp,0.28,1023.6,540.0,694.8,0.0,657.5,1168.9,1,281.8,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|bounds
21,1026.2,515.6,interp,0.28,1041.5,540.0,712.7,0.0,657.5,1168.9,1,288.7,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.997|bounds
22,1050.4,526.3,interp,0.28,1058.5,540.0,729.7,0.0,657.5,1168.9,1,295.9,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.995|bounds
23,1073.7,536.2,interp,0.28,1074.6,540.0,745.8,0.0,657.5,1168.9,1,303.1,0,1,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.998|bounds
24,1096.1,545.0,interp,0.28,1089.8,540.0,761.0,0.0,657.5,1168.9,1,297.7,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.989|bounds
25,1117.3,552.4,interp,0.28,1104.2,540.0,775.4,0.0,657.5,1168.9,1,290.9,0,0,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.988|bounds
26,1137.0,558.4,yolo,0.29,1117.8,540.0,789.0,0.0,657.5,1168.9,1,284.8,0,1,accel_zoom=0.907|shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.995|bounds
27,1152.9,560.6,interp,0.28,1130.6,540.0,801.8,0.0,657.5,1168.9,1,281.7,0,0,shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.991|bounds
28,1167.4,561.3,interp,0.28,1142.7,540.0,814.0,0.0,657.5,1168.9,1,279.3,0,0,shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.993|bounds
29,1180.5,560.6,interp,0.28,1154.2,540.0,825.4,0.0,657.5,1168.9,1,277.7,0,1,shot_pb=1.00|conf_zoom=0.80|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.995|bounds
30,1192.4,558.7,interp,0.28,1165.0,540.0,836.2,0.0,657.5,1168.9,1,276.6,0,0,shot_pb=1.00|conf_zoom=0.80|bounds
31,1203.3,555.8,interp,0.28,1175.2,540.0,846.4,0.0,657.5,1168.9,1,275.9,0,1,shot_pb=1.00|conf_zoom=0.80|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.996|bounds
32,1213.2,552.0,interp,0.28,1184.7,540.0,856.0,0.0,657.5,1168.9,1,275.5,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.993|bounds
33,1222.4,547.4,interp,0.28,1193.7,540.0,865.0,0.0,657.5,1168.9,1,275.3,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.991|bounds
34,1230.9,542.1,interp,0.28,1202.2,540.0,873.4,0.0,657.5,1168.9,1,275.3,0,1,shot_pb=1.00|conf_zoom=0.80|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|bounds
35,1238.8,536.3,interp,0.28,1210.1,540.0,881.3,0.0,657.5,1168.9,1,275.3,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.986|bounds
36,1246.2,529.9,interp,0.28,1217.4,540.0,888.7,0.0,657.5,1168.9,1,275.2,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.987|bounds
37,1253.1,523.2,interp,0.28,1224.3,540.0,895.5,0.0,657.5,1168.9,1,275.2,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.986|bounds
38,1259.6,516.1,interp,0.28,1230.7,540.0,902.0,0.0,657.5,1168.9,1,275.1,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.985|bounds
39,1265.7,508.7,interp,0.28,1236.7,540.0,907.9,0.0,657.5,1168.9,1,275.0,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.982|bounds
40,1271.6,501.1,interp,0.28,1242.3,540.0,913.5,0.0,657.5,1168.9,1,274.7,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.979|bounds
41,1277.3,493.4,interp,0.28,1247.5,540.0,918.7,0.0,657.5,1168.9,1,274.2,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.975|bounds
42,1282.7,485.5,interp,0.28,1252.3,540.0,923.5,0.0,657.5,1168.9,1,273.6,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.970|bounds
43,1288.0,477.6,interp,0.28,1256.8,540.0,928.0,0.0,657.5,1168.9,1,272.8,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.965|bounds
44,1293.2,469.7,interp,0.28,1261.0,540.0,932.2,0.0,657.5,1168.9,1,271.8,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.960|bounds
45,1298.2,461.9,interp,0.28,1264.9,540.0,936.2,0.0,657.5,1168.9,1,270.7,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.954|bounds
46,1303.2,454.2,interp,0.28,1268.7,540.0,939.9,0.0,657.5,1168.9,1,269.5,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.948|bounds
47,1308.2,446.6,interp,0.28,1272.2,540.0,943.4,0.0,657.5,1168.9,1,268.0,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.946|bounds
48,1313.2,439.3,interp,0.28,1275.5,540.0,946.8,0.0,657.5,1168.9,1,266.3,0,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.944|bounds
49,1318.3,432.3,interp,0.28,1278.8,540.0,950.1,0.0,657.5,1168.9,1,264.5,1,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|speed|edge_zoom=0.944|bounds
50,1323.4,425.6,interp,0.28,1282.1,540.0,953.3,0.0,657.5,1168.9,1,262.7,1,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|speed|edge_zoom=0.944|bounds
51,1328.6,419.4,interp,0.28,1285.3,540.0,956.6,0.0,657.5,1168.9,1,260.7,0,1,shot_pb=1.00|conf_zoom=0.80|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.961|bounds
52,1333.9,413.7,interp,0.28,1288.7,540.0,960.0,0.0,657.5,1168.9,1,258.8,1,0,shot_pb=1.00|conf_zoom=0.80|pb_zfit|speed|edge_zoom=0.944|bounds
