frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1837.3,1018.2,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,57.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1837.1,1018.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,58.1,1,1,flight_commit=0.84|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1836.9,1018.0,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,58.3,1,1,flight_commit=0.30|conf_zoom=0.99|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1836.6,1017.9,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,58.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1836.3,1017.8,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,58.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1835.9,1017.7,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,59.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1835.5,1017.5,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,59.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1835.0,1017.3,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,60.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1834.5,1017.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,60.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1833.9,1016.9,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,61.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1833.2,1016.6,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,62.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1832.4,1016.3,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1831.6,1016.0,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,63.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1830.6,1015.6,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,64.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
