frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1390.9,376.9,yolo,0.49,1377.5,540.0,1056.3,0.0,642.4,1142.1,1,290.6,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1389.2,377.1,yolo,0.43,1376.4,540.0,1057.7,0.0,637.4,1133.1,1,291.2,0,0,flight_commit=0.92|person_ctx=4|edge_zoom=0.941|bounds
2,1387.2,377.2,yolo,0.53,1375.1,540.0,1059.3,0.0,631.4,1122.5,1,291.9,0,0,flight_commit=0.47|edge_zoom=0.941|bounds
3,1384.9,377.3,yolo,0.58,1373.6,540.0,1061.3,0.0,624.7,1110.6,1,292.7,0,0,flight_commit=0.16|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.941|bounds
4,1382.6,377.6,yolo,0.49,1372.2,540.0,1063.5,0.0,617.4,1097.6,1,293.6,0,0,conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.948|bounds
5,1380.5,377.9,yolo,0.58,1370.9,540.0,1066.0,0.0,609.8,1084.0,1,294.4,0,0,conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.986|bounds
6,1378.9,378.3,interp,0.38,1369.9,540.0,1068.8,4.8,602.1,1070.5,1,295.0,0,0,conf_zoom=0.90|conf_speed=0.95|bounds
7,1377.7,378.8,yolo,0.50,1369.3,540.0,1071.9,11.3,594.8,1057.5,1,295.6,0,0,conf_zoom=0.90|conf_speed=0.95|bounds
8,1377.3,379.3,interp,0.38,1369.1,540.0,1075.0,17.2,588.1,1045.6,1,295.8,0,0,conf_zoom=0.88|conf_speed=0.94|bounds
9,1377.3,380.0,interp,0.38,1369.5,540.0,1078.3,22.4,582.3,1035.2,1,296.2,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
10,1377.8,380.8,interp,0.38,1370.4,540.0,1081.7,26.7,577.5,1026.6,1,296.6,0,0,conf_zoom=0.86|person_ctx=4|conf_speed=0.92|bounds
11,1378.8,381.7,interp,0.38,1372.1,540.0,1085.2,30.1,573.7,1019.9,1,297.3,0,0,conf_zoom=0.84|conf_speed=0.92|bounds
12,1380.3,382.7,interp,0.38,1374.5,540.0,1089.0,32.5,571.0,1015.1,1,298.2,0,0,conf_zoom=0.84|person_ctx=3|conf_speed=0.91|bounds
13,1382.5,383.8,interp,0.38,1377.9,540.0,1093.2,34.0,569.3,1012.1,1,299.4,0,0,conf_zoom=0.83|person_ctx=3|conf_speed=0.91|bounds
14,1385.3,385.0,interp,0.38,1382.2,540.0,1097.9,34.6,568.6,1010.8,1,300.9,0,0,conf_zoom=0.82|person_ctx=4|conf_speed=0.90|bounds
15,1388.8,386.5,yolo,0.54,1387.5,540.0,1103.2,34.5,568.7,1011.1,1,302.7,0,0,conf_zoom=0.85|person_ctx=4|conf_speed=0.92|bounds
16,1393.2,388.2,yolo,0.49,1394.0,540.0,1109.2,33.6,569.7,1012.7,1,303.2,0,0,conf_zoom=0.86|person_ctx=4|conf_speed=0.92|bounds
17,1398.8,389.9,yolo,0.56,1401.6,540.0,1115.9,32.2,571.3,1015.7,1,301.2,0,0,conf_zoom=0.88|person_ctx=4|conf_speed=0.93|edge_zoom=0.970|bounds
18,1405.5,391.9,yolo,0.61,1410.4,540.0,1123.5,30.1,573.7,1019.9,1,299.1,0,0,conf_zoom=0.90|person_ctx=4|conf_speed=0.95|edge_zoom=0.951|bounds
19,1413.1,394.1,interp,0.38,1420.2,540.0,1131.8,27.4,576.7,1025.3,1,296.9,0,0,flight_commit=0.17|conf_zoom=0.96|person_ctx=4|conf_speed=0.98|edge_zoom=0.952|bounds
20,1421.7,396.6,yolo,0.63,1431.0,540.0,1140.8,24.1,580.4,1031.8,1,294.7,0,0,flight_commit=0.36|person_ctx=4|edge_zoom=0.955|bounds
21,1431.7,399.4,yolo,0.66,1442.7,540.0,1150.4,20.2,584.7,1039.5,1,293.0,0,0,flight_commit=0.58|person_ctx=4|edge_zoom=0.958|bounds
22,1442.7,402.6,yolo,0.68,1455.2,540.0,1160.3,15.9,589.6,1048.3,1,291.5,0,0,flight_commit=0.79|edge_zoom=0.960|bounds
23,1454.7,406.1,yolo,0.59,1468.0,540.0,1170.5,11.1,595.1,1057.9,1,290.7,0,0,flight_commit=1.00|edge_zoom=0.963|bounds
24,1467.4,409.8,yolo,0.66,1481.2,540.0,1180.8,5.9,600.8,1068.2,1,290.2,0,0,flight_commit=1.00|edge_zoom=0.966|bounds
25,1480.8,413.7,yolo,0.62,1494.3,540.0,1190.9,0.6,606.9,1078.9,1,290.5,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.969|bounds
