frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1390.7,376.9,yolo,0.49,1378.2,540.0,1053.5,0.0,649.5,1154.6,1,291.5,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1389.0,377.0,yolo,0.43,1376.9,540.0,1053.4,0.0,647.1,1150.5,1,291.9,0,0,flight_commit=0.70|person_ctx=4|edge_zoom=0.952|bounds
2,1387.0,377.2,yolo,0.53,1375.3,540.0,1053.1,0.0,644.4,1145.6,1,292.3,0,0,flight_commit=0.38|edge_zoom=0.952|bounds
3,1384.7,377.3,yolo,0.58,1373.5,540.0,1052.9,0.0,641.3,1140.1,1,292.8,0,0,flight_commit=0.15|conf_zoom=1.00|edge_zoom=0.952|bounds
4,1382.4,377.6,yolo,0.49,1371.8,540.0,1052.9,0.0,637.8,1133.8,1,293.4,0,0,conf_zoom=0.97|edge_zoom=0.952|bounds
5,1380.2,377.9,yolo,0.58,1370.2,540.0,1053.3,0.0,633.8,1126.8,1,294.0,0,0,conf_zoom=0.97|edge_zoom=0.953|bounds
6,1378.6,378.3,interp,0.28,1369.0,540.0,1054.2,0.0,629.5,1119.2,1,294.4,0,0,conf_zoom=0.95|edge_zoom=0.954|bounds
7,1377.4,378.7,yolo,0.50,1368.1,540.0,1055.7,0.0,625.0,1111.0,1,294.7,0,0,conf_zoom=0.95|edge_zoom=0.959|bounds
8,1376.9,379.3,interp,0.28,1367.8,540.0,1057.7,0.0,620.2,1102.5,1,294.9,0,0,conf_zoom=0.93|edge_zoom=0.996|bounds
9,1376.8,380.0,interp,0.28,1368.1,540.0,1060.5,0.0,615.3,1093.8,1,295.3,0,0,conf_zoom=0.91|bounds
10,1377.2,380.8,interp,0.28,1369.0,540.0,1063.8,0.0,610.4,1085.2,1,295.8,0,0,conf_zoom=0.89|person_ctx=4|bounds
11,1378.1,381.6,interp,0.28,1370.7,540.0,1067.8,1.6,605.7,1076.8,1,296.6,0,0,conf_zoom=0.88|person_ctx=3|bounds
12,1379.6,382.6,interp,0.28,1373.1,540.0,1072.5,5.6,601.2,1068.8,1,297.5,0,0,conf_zoom=0.87|person_ctx=3|bounds
13,1381.7,383.7,interp,0.28,1376.4,540.0,1077.8,9.2,597.2,1061.6,1,298.7,0,0,conf_zoom=0.86|person_ctx=3|bounds
14,1384.4,385.0,interp,0.28,1380.6,540.0,1083.8,12.3,593.7,1055.5,1,300.2,0,0,conf_zoom=0.85|person_ctx=4|edge_zoom=0.994|bounds
15,1387.8,386.4,yolo,0.54,1385.8,540.0,1090.3,14.7,590.9,1050.6,1,302.0,0,0,conf_zoom=0.87|person_ctx=4|edge_zoom=0.977|bounds
16,1392.1,388.1,yolo,0.49,1391.9,540.0,1097.4,16.4,589.0,1047.1,1,303.8,0,0,conf_zoom=0.89|person_ctx=4|edge_zoom=0.958|bounds
17,1397.4,389.9,yolo,0.56,1399.0,540.0,1105.0,17.3,588.1,1045.5,1,302.4,0,0,conf_zoom=0.90|person_ctx=4|edge_zoom=0.960|bounds
18,1404.0,391.8,yolo,0.61,1407.2,540.0,1113.0,17.1,588.2,1045.7,1,300.8,0,0,conf_zoom=0.93|person_ctx=4|edge_zoom=0.961|bounds
19,1411.4,394.0,interp,0.28,1416.2,540.0,1121.5,16.0,589.5,1048.0,1,299.2,0,0,flight_commit=0.06|conf_zoom=0.98|person_ctx=4|edge_zoom=0.963|bounds
20,1419.8,396.4,yolo,0.63,1426.2,540.0,1130.2,13.8,592.0,1052.4,1,297.6,0,0,flight_commit=0.23|person_ctx=4|edge_zoom=0.964|bounds
21,1429.5,399.3,yolo,0.66,1437.1,540.0,1139.3,10.6,595.6,1058.8,1,296.4,0,0,flight_commit=0.43|edge_zoom=0.966|bounds
22,1440.2,402.5,yolo,0.68,1448.6,540.0,1148.5,6.5,600.2,1067.0,1,295.6,0,0,flight_commit=0.63|edge_zoom=0.967|bounds
23,1451.8,405.9,yolo,0.59,1460.8,540.0,1158.0,1.7,605.6,1076.7,1,295.0,0,0,flight_commit=0.83|edge_zoom=0.969|bounds
24,1464.1,409.6,yolo,0.66,1473.4,540.0,1167.5,0.0,611.7,1087.5,1,294.7,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.971|bounds
25,1477.2,413.5,yolo,0.62,1486.2,540.0,1177.1,0.0,618.2,1099.0,1,295.0,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.973|bounds
26,1490.8,417.7,yolo,0.63,1499.0,540.0,1186.7,0.0,624.6,1110.4,1,295.8,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.973|bounds
