frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,755.1,313.1,hold,0.22,763.8,540.0,435.1,0.0,657.5,1168.9,1,295.3,1,0,accel_zoom=0.852|conf_zoom=0.76|person_ctx=4|edge_zoom=0.750|bounds|final_speed
1,755.2,313.1,hold,0.22,764.6,540.0,435.9,0.0,657.5,1168.9,1,294.6,1,0,conf_zoom=0.76|speed|edge_zoom=0.939|bounds
2,755.3,313.1,hold,0.22,765.6,540.0,436.9,0.0,657.5,1168.9,1,293.7,1,0,conf_zoom=0.76|speed|edge_zoom=0.939|bounds
3,755.4,313.1,hold,0.22,766.7,540.0,438.0,0.0,657.5,1168.9,1,292.7,1,0,conf_zoom=0.76|speed|edge_zoom=0.939|bounds
4,755.5,313.1,hold,0.22,767.8,540.0,439.0,0.0,657.5,1168.9,1,291.7,1,0,conf_zoom=0.76|speed|edge_zoom=0.940|bounds
5,755.6,313.1,hold,0.22,768.8,540.0,440.0,0.0,657.5,1168.9,1,290.8,0,1,conf_zoom=0.76|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.971|bounds
6,755.8,313.1,hold,0.22,769.6,540.0,440.9,0.0,657.5,1168.9,1,290.2,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
7,755.9,313.1,hold,0.22,770.3,540.0,441.5,0.0,657.5,1168.9,1,289.6,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
8,756.1,313.1,hold,0.22,770.8,540.0,442.1,0.0,657.5,1168.9,1,289.3,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
9,756.3,313.1,hold,0.22,771.2,540.0,442.4,0.0,657.5,1168.9,1,289.1,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
10,756.6,313.1,hold,0.22,771.5,540.0,442.7,0.0,657.5,1168.9,1,289.1,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
11,756.9,313.1,hold,0.22,771.6,540.0,442.8,0.0,657.5,1168.9,1,289.3,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
12,757.2,313.1,hold,0.22,771.7,540.0,442.9,0.0,657.5,1168.9,1,289.5,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
13,757.5,313.1,hold,0.22,771.7,540.0,442.9,0.0,657.5,1168.9,1,289.8,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
14,757.9,313.1,hold,0.22,771.7,540.0,442.9,0.0,657.5,1168.9,1,290.2,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
15,758.4,313.1,hold,0.22,771.6,540.0,442.8,0.0,657.5,1168.9,1,290.8,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
16,758.9,313.1,hold,0.22,771.6,540.0,442.8,0.0,657.5,1168.9,1,291.3,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
17,759.5,313.1,hold,0.22,771.5,540.0,442.7,0.0,657.5,1168.9,1,292.0,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
18,760.2,313.1,hold,0.22,771.5,540.0,442.7,0.0,657.5,1168.9,1,292.7,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
19,761.0,313.1,hold,0.22,771.5,540.0,442.7,0.0,657.5,1168.9,1,293.5,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
20,761.8,313.1,hold,0.22,771.6,540.0,442.8,0.0,657.5,1168.9,1,294.2,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
21,762.8,313.1,hold,0.22,771.7,540.0,443.0,0.0,657.5,1168.9,1,295.1,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
22,763.9,313.1,hold,0.22,772.0,540.0,443.3,0.0,657.5,1168.9,1,295.9,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
23,765.2,313.1,hold,0.22,772.5,540.0,443.8,0.0,657.5,1168.9,1,296.7,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
24,766.7,313.1,hold,0.22,773.2,540.0,444.5,0.0,657.5,1168.9,1,297.5,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
25,768.3,313.1,hold,0.22,774.2,540.0,445.4,0.0,657.5,1168.9,1,298.1,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
26,770.2,313.1,hold,0.22,775.5,540.0,446.8,0.0,657.5,1168.9,1,298.7,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
27,772.3,313.1,hold,0.22,777.3,540.0,448.5,0.0,657.5,1168.9,1,299.0,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
28,774.8,313.1,hold,0.22,779.6,540.0,450.8,0.0,657.5,1168.9,1,299.2,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.300|edge_zoom=0.997|bounds
29,777.5,313.1,yolo,0.22,782.4,540.0,453.6,0.0,657.5,1168.9,1,299.1,0,1,conf_zoom=0.76|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.993|bounds
30,780.7,313.2,yolo,0.22,785.9,540.0,457.1,0.0,657.5,1168.9,1,298.8,0,1,conf_zoom=0.76|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.975|bounds
31,784.4,313.2,interp,0.28,790.0,540.0,461.2,0.0,657.5,1168.9,1,298.4,0,0,conf_zoom=0.77|edge_zoom=0.949|bounds
32,788.4,313.2,interp,0.28,794.9,540.0,466.1,0.0,657.5,1168.9,1,297.5,1,0,conf_zoom=0.77|speed|edge_zoom=0.944|bounds
33,793.0,313.1,interp,0.28,800.5,540.0,471.7,0.0,657.5,1168.9,1,296.5,1,0,conf_zoom=0.78|speed|edge_zoom=0.944|bounds
34,798.1,313.1,yolo,0.23,806.9,540.0,478.1,0.0,657.5,1168.9,1,295.2,1,0,conf_zoom=0.78|speed|edge_zoom=0.944|bounds
35,804.1,313.0,yolo,0.25,814.0,540.0,485.3,0.0,657.5,1168.9,1,294.1,1,0,conf_zoom=0.78|speed|edge_zoom=0.944|bounds
36,810.4,312.8,interp,0.28,822.0,540.0,493.2,0.0,657.5,1168.9,1,292.4,1,0,conf_zoom=0.78|speed|edge_zoom=0.944|bounds
37,817.3,312.6,interp,0.28,830.6,540.0,501.9,0.0,657.5,1168.9,1,290.7,1,0,conf_zoom=0.78|speed|edge_zoom=0.944|bounds
38,825.0,312.4,interp,0.28,840.0,540.0,511.2,0.0,657.5,1168.9,1,289.0,1,0,conf_zoom=0.79|speed|edge_zoom=0.944|bounds
39,833.5,312.1,interp,0.28,850.0,540.0,521.3,0.0,657.5,1168.9,1,287.5,1,0,conf_zoom=0.79|speed|edge_zoom=0.944|bounds
40,842.8,311.7,yolo,0.24,860.6,540.0,531.8,0.0,657.5,1168.9,1,286.2,1,0,conf_zoom=0.79|speed|edge_zoom=0.944|bounds
41,853.7,311.3,yolo,0.29,871.7,540.0,542.9,0.0,657.5,1168.9,1,286.0,1,0,conf_zoom=0.79|speed|edge_zoom=0.944|bounds
42,874.9,310.3,interp,0.28,883.1,540.0,554.4,0.0,657.5,1168.9,1,295.8,1,0,shot_pb=0.20|conf_zoom=0.79|speed|edge_zoom=0.944|bounds
43,884.8,309.8,interp,0.28,894.8,540.0,566.1,0.0,657.5,1168.9,1,294.0,1,0,shot_pb=0.40|conf_zoom=0.79|speed|edge_zoom=0.944|bounds
44,893.5,309.5,interp,0.28,906.7,540.0,577.9,0.0,657.5,1168.9,1,290.8,1,0,shot_pb=0.60|conf_zoom=0.80|speed|edge_zoom=0.944|bounds
