frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,501.4,486.6,hold,0.30,499.8,540.0,181.1,0.0,637.4,1133.2,1,302.4,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.912|bounds
1,501.3,486.6,hold,0.30,499.7,540.0,182.8,0.0,633.9,1127.0,1,302.4,0,0,flight_commit=0.83|bounds
2,501.3,486.6,hold,0.30,499.6,540.0,184.4,0.0,630.4,1120.7,1,302.3,0,0,flight_commit=0.28|conf_zoom=0.98|person_ctx=4|conf_speed=0.99|bounds
3,501.2,486.6,hold,0.30,499.4,540.0,186.0,0.0,626.8,1114.3,1,302.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
4,501.1,486.6,hold,0.30,499.3,540.0,187.6,0.0,623.3,1108.1,1,302.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,501.0,486.6,hold,0.30,499.1,540.0,189.2,0.0,619.9,1102.0,1,302.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,500.9,486.6,hold,0.30,499.0,540.0,190.7,0.0,616.5,1096.0,1,302.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,500.8,486.6,hold,0.30,498.9,540.0,192.3,0.0,613.2,1090.1,1,302.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,500.7,486.6,hold,0.30,498.8,540.0,193.8,0.0,610.0,1084.4,1,302.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,500.6,486.6,hold,0.30,498.7,540.0,195.3,0.6,606.8,1078.8,1,302.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,500.4,486.6,hold,0.30,498.6,540.0,196.7,3.3,603.8,1073.5,1,302.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,500.3,486.6,hold,0.30,498.6,540.0,198.1,5.8,601.0,1068.4,1,302.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,500.1,486.6,hold,0.30,498.6,540.0,199.5,8.2,598.2,1063.5,1,302.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,499.8,486.6,hold,0.30,498.6,540.0,200.7,10.5,595.7,1058.9,1,302.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,499.6,486.7,hold,0.30,498.5,540.0,201.9,12.6,593.3,1054.7,1,302.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,499.3,486.7,hold,0.30,498.5,540.0,203.0,14.6,591.1,1050.8,1,303.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,499.0,486.7,hold,0.30,498.5,540.0,204.0,16.4,589.1,1047.3,1,303.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,498.6,486.7,hold,0.30,498.5,540.0,204.9,18.0,587.3,1044.0,1,303.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,498.2,486.7,hold,0.30,498.5,540.0,205.7,19.4,585.7,1041.2,1,303.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,497.7,486.8,hold,0.30,498.5,540.0,206.4,20.8,584.2,1038.5,1,303.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,497.1,486.8,hold,0.30,498.5,540.0,207.1,22.0,582.8,1036.1,1,302.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,496.5,486.8,hold,0.30,498.5,540.0,207.7,23.0,581.6,1033.9,1,302.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,495.8,486.8,hold,0.30,498.5,540.0,208.2,24.0,580.4,1031.9,1,301.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,495.0,486.9,hold,0.30,498.4,540.0,208.7,25.0,579.4,1030.0,1,300.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
