frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,501.3,486.5,hold,0.22,500.9,540.0,173.5,0.0,654.8,1164.1,1,303.6,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.908|bounds|final_speed
1,501.3,486.5,hold,0.22,500.8,540.0,174.0,0.0,653.6,1162.0,1,303.5,0,0,conf_zoom=0.76|bounds
2,501.2,486.5,hold,0.22,500.8,540.0,174.7,0.0,652.2,1159.5,1,303.6,0,0,conf_zoom=0.76|bounds
3,501.1,486.5,hold,0.22,500.7,540.0,175.5,0.0,650.4,1156.3,1,303.6,0,0,conf_zoom=0.76|bounds
4,501.0,486.5,hold,0.22,500.7,540.0,176.5,0.0,648.3,1152.6,1,303.7,0,0,conf_zoom=0.76|bounds
5,501.0,486.5,hold,0.22,500.6,540.0,177.6,0.0,645.9,1148.3,1,303.6,0,0,conf_zoom=0.76|bounds
6,500.9,486.5,hold,0.22,500.6,540.0,178.9,0.0,643.2,1143.5,1,303.7,0,0,conf_zoom=0.76|bounds
7,500.7,486.4,hold,0.22,500.5,540.0,180.4,0.0,640.3,1138.4,1,303.8,0,0,conf_zoom=0.76|bounds
8,500.6,486.4,hold,0.22,500.5,540.0,181.9,0.0,637.3,1133.0,1,303.9,0,0,conf_zoom=0.76|bounds
9,500.5,486.4,hold,0.22,500.5,540.0,183.4,0.0,634.2,1127.4,1,304.0,0,0,conf_zoom=0.76|bounds
10,500.3,486.4,hold,0.22,500.5,540.0,185.0,0.0,631.0,1121.8,1,303.8,0,0,conf_zoom=0.76|bounds
11,500.1,486.4,hold,0.22,500.5,540.0,186.5,0.0,627.9,1116.3,1,303.6,0,0,conf_zoom=0.76|bounds
12,499.9,486.3,hold,0.22,500.4,540.0,188.0,0.0,624.9,1111.0,1,303.5,0,0,conf_zoom=0.76|bounds
13,499.6,486.3,hold,0.22,500.4,540.0,189.4,0.0,622.1,1105.9,1,303.2,0,0,conf_zoom=0.76|bounds
14,499.3,486.3,hold,0.22,500.4,540.0,190.8,0.0,619.4,1101.1,1,302.9,0,0,conf_zoom=0.76|bounds
15,499.0,486.2,hold,0.22,500.4,540.0,192.0,0.0,616.8,1096.6,1,302.6,0,0,conf_zoom=0.76|bounds
16,498.6,486.2,hold,0.22,500.4,540.0,193.2,0.0,614.5,1092.5,1,302.2,0,0,conf_zoom=0.76|bounds
