frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1744.6,432.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,150.6,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1744.2,432.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,151.0,0,1,flight_commit=0.85|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.860|bounds
2,1743.6,432.8,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,151.6,0,1,flight_commit=0.32|conf_zoom=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.863|bounds
3,1743.0,432.8,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,152.2,0,1,conf_zoom=0.73|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.892|bounds
4,1742.4,432.7,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,152.8,0,1,conf_zoom=0.73|keepin_prop=0.28|keepin_zoom=1.350|edge_zoom=0.915|bounds
5,1741.6,432.7,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,153.6,0,1,conf_zoom=0.73|keepin_prop=0.32|keepin_zoom=1.350|edge_zoom=0.905|bounds
6,1740.7,432.6,hold,0.30,1591.3,540.0,1262.5,0.0,657.5,1168.9,1,154.6,0,1,conf_zoom=0.73|keepin_prop=0.31|keepin_zoom=1.350|edge_zoom=0.908|bounds
7,1739.7,432.5,hold,0.30,1591.3,540.0,1262.5,0.0,657.5,1168.9,1,155.6,0,1,conf_zoom=0.73|keepin_prop=0.30|keepin_zoom=1.350|edge_zoom=0.912|bounds
8,1738.6,432.5,hold,0.30,1591.3,540.0,1262.5,0.0,657.5,1168.8,1,156.7,0,1,conf_zoom=0.73|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.917|bounds
9,1737.3,432.4,hold,0.30,1591.4,540.0,1262.7,0.0,657.3,1168.6,1,158.1,0,1,conf_zoom=0.73|keepin_prop=0.27|keepin_zoom=1.350|edge_zoom=0.921|bounds
10,1735.9,432.3,hold,0.30,1591.5,540.0,1262.9,0.0,657.1,1168.1,1,159.6,0,1,conf_zoom=0.73|keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.927|bounds
11,1734.2,432.1,hold,0.30,1591.7,540.0,1263.4,0.0,656.6,1167.3,1,161.5,0,1,conf_zoom=0.73|keepin_prop=0.24|keepin_zoom=1.350|edge_zoom=0.932|bounds
12,1732.3,432.0,hold,0.30,1591.9,540.0,1263.9,0.0,655.9,1166.1,1,163.6,0,1,conf_zoom=0.73|keepin_prop=0.22|keepin_zoom=1.350|edge_zoom=0.938|bounds
13,1730.2,431.9,hold,0.30,1592.1,540.0,1264.7,0.0,654.9,1164.3,1,165.9,0,1,conf_zoom=0.73|keepin_prop=0.20|keepin_zoom=1.350|edge_zoom=0.945|bounds
14,1727.7,431.7,hold,0.30,1592.4,540.0,1265.7,0.0,653.5,1161.7,1,168.7,0,1,conf_zoom=0.73|keepin_prop=0.18|keepin_zoom=1.350|edge_zoom=0.952|bounds
15,1725.0,431.5,hold,0.30,1592.8,540.0,1267.1,0.0,651.5,1158.2,1,171.8,0,1,conf_zoom=0.73|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.959|bounds
16,1721.8,431.3,hold,0.30,1593.2,540.0,1268.8,0.0,648.8,1153.5,1,175.4,0,1,conf_zoom=0.73|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.966|bounds
17,1718.3,431.0,hold,0.30,1593.5,540.0,1270.8,0.0,645.5,1147.6,1,179.2,0,1,conf_zoom=0.73|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.974|bounds
18,1714.2,430.7,hold,0.30,1593.7,540.0,1273.0,0.0,641.5,1140.5,1,183.5,0,1,conf_zoom=0.73|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.981|bounds
19,1709.6,430.4,hold,0.30,1593.8,540.0,1275.3,0.0,636.9,1132.3,1,188.2,0,1,conf_zoom=0.73|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.974|bounds
20,1704.4,430.0,hold,0.30,1593.4,540.0,1277.4,0.0,632.0,1123.5,1,193.0,0,1,conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.85|edge_zoom=0.946|bounds
21,1698.4,429.6,hold,0.30,1592.6,540.0,1279.1,0.0,626.9,1114.6,1,198.2,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.969|bounds
22,1691.7,429.1,yolo,0.49,1591.0,540.0,1279.9,0.0,622.2,1106.1,1,203.3,0,0,flight_commit=0.06|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.975|bounds
23,1683.8,428.5,interp,0.38,1588.5,540.0,1279.5,0.0,618.0,1098.6,1,208.7,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.981|bounds
24,1674.9,427.9,interp,0.38,1584.9,540.0,1277.6,0.0,614.8,1092.9,1,214.0,0,0,flight_commit=0.39|edge_zoom=0.985|bounds
25,1664.9,427.2,interp,0.38,1580.1,540.0,1273.7,0.0,612.7,1089.3,1,219.2,0,0,flight_commit=0.57|edge_zoom=0.986|bounds
26,1653.8,426.4,interp,0.38,1573.8,540.0,1267.7,0.0,612.1,1088.2,1,224.0,0,0,flight_commit=0.77|edge_zoom=0.985|bounds
27,1641.3,425.5,interp,0.38,1566.0,540.0,1259.5,0.0,612.9,1089.6,1,228.7,0,0,flight_commit=0.99|edge_zoom=0.983|bounds
28,1627.4,424.5,yolo,0.43,1556.6,540.0,1249.1,0.0,615.1,1093.5,1,233.2,0,0,flight_commit=1.00|edge_zoom=0.978|bounds
29,1610.3,423.3,yolo,0.49,1545.7,540.0,1236.4,0.0,618.4,1099.4,1,239.4,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.973|bounds
30,1591.7,422.0,yolo,0.46,1533.2,540.0,1221.9,0.0,622.6,1106.9,1,245.5,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.966|bounds
