frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1666.1,426.2,hold,0.22,1591.5,540.0,1263.9,0.0,655.1,1164.6,1,229.4,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.796|bounds|final_speed
1,1665.8,426.2,hold,0.22,1591.5,540.0,1264.5,0.0,654.0,1162.8,1,229.7,0,0,conf_zoom=0.76|edge_zoom=0.989|bounds
2,1665.5,426.2,hold,0.22,1591.6,540.0,1265.3,0.0,652.7,1160.3,1,230.1,0,0,conf_zoom=0.76|edge_zoom=0.987|bounds
3,1665.1,426.1,hold,0.22,1591.7,540.0,1266.2,0.0,651.0,1157.3,1,230.6,0,0,conf_zoom=0.76|edge_zoom=0.985|bounds
4,1664.6,426.1,hold,0.22,1591.8,540.0,1267.3,0.0,649.0,1153.7,1,231.2,0,0,conf_zoom=0.76|edge_zoom=0.982|bounds
5,1664.1,426.1,hold,0.22,1591.9,540.0,1268.6,0.0,646.6,1149.5,1,231.8,0,0,conf_zoom=0.76|edge_zoom=0.979|bounds
6,1663.5,426.0,hold,0.22,1592.0,540.0,1270.0,0.0,644.0,1144.9,1,232.5,0,0,conf_zoom=0.76|edge_zoom=0.996|bounds
7,1662.8,426.0,hold,0.22,1592.2,540.0,1271.6,0.0,641.2,1139.9,1,233.4,0,0,conf_zoom=0.76|bounds
8,1662.1,425.9,hold,0.22,1592.3,540.0,1273.2,0.0,638.3,1134.7,1,234.2,0,0,conf_zoom=0.76|bounds
9,1661.2,425.9,hold,0.22,1592.5,540.0,1274.8,0.0,635.4,1129.5,1,235.3,0,0,conf_zoom=0.76|bounds
10,1660.2,425.8,hold,0.22,1592.7,540.0,1276.4,0.0,632.6,1124.6,1,236.5,0,0,conf_zoom=0.76|bounds
11,1659.1,425.7,hold,0.22,1592.9,540.0,1277.9,0.0,630.0,1120.0,1,237.8,0,0,conf_zoom=0.76|bounds
12,1657.8,425.7,hold,0.22,1593.2,540.0,1279.3,0.0,627.8,1116.1,1,239.4,0,0,conf_zoom=0.76|bounds
13,1656.4,425.6,hold,0.22,1593.4,540.0,1280.4,0.0,626.0,1112.9,1,241.0,0,0,conf_zoom=0.76|bounds
14,1654.7,425.5,hold,0.22,1593.6,540.0,1281.2,0.0,624.8,1110.7,1,242.9,0,0,conf_zoom=0.76|bounds
15,1652.9,425.3,hold,0.22,1593.8,540.0,1281.8,0.0,624.1,1109.6,1,244.9,0,0,conf_zoom=0.76|bounds
16,1650.7,425.2,hold,0.22,1594.0,540.0,1281.9,0.0,624.1,1109.6,1,247.3,0,0,conf_zoom=0.76|bounds
17,1648.3,425.0,hold,0.22,1593.9,540.0,1281.5,0.0,624.8,1110.8,1,249.6,0,0,conf_zoom=0.76|bounds
18,1645.6,424.9,hold,0.22,1593.7,540.0,1280.7,0.0,626.1,1113.0,1,252.1,0,0,conf_zoom=0.76|edge_zoom=0.997|bounds
19,1642.5,424.7,hold,0.22,1593.2,540.0,1279.2,0.0,627.9,1116.3,1,254.7,0,0,conf_zoom=0.76|edge_zoom=0.989|bounds
20,1638.9,424.4,hold,0.22,1592.2,540.0,1277.0,0.0,630.3,1120.5,1,257.3,0,0,conf_zoom=0.76|edge_zoom=0.986|bounds
21,1634.9,424.2,hold,0.22,1590.6,540.0,1274.1,0.0,633.0,1125.3,1,259.7,0,0,conf_zoom=0.76|edge_zoom=0.987|bounds
22,1630.4,423.9,hold,0.22,1588.4,540.0,1270.4,0.0,636.0,1130.6,1,262.0,0,0,conf_zoom=0.76|edge_zoom=0.988|bounds
23,1625.2,423.5,hold,0.22,1585.2,540.0,1265.7,0.0,639.0,1136.1,1,264.0,0,0,conf_zoom=0.76|edge_zoom=0.988|bounds
24,1619.3,423.1,hold,0.22,1581.0,540.0,1259.9,0.0,642.1,1141.5,1,265.7,0,0,conf_zoom=0.76|edge_zoom=0.988|bounds
25,1612.6,422.7,hold,0.22,1575.5,540.0,1253.0,0.0,645.0,1146.6,1,266.9,0,0,conf_zoom=0.76|edge_zoom=0.988|bounds
26,1604.9,422.2,hold,0.22,1568.6,540.0,1244.8,0.0,647.6,1151.3,1,267.7,0,0,conf_zoom=0.76|edge_zoom=0.987|bounds
27,1596.3,421.6,hold,0.22,1560.2,540.0,1235.2,0.0,649.9,1155.4,1,267.9,0,0,conf_zoom=0.76|edge_zoom=0.986|bounds
28,1586.4,421.0,hold,0.22,1550.0,540.0,1224.1,0.0,651.8,1158.8,1,267.6,0,0,conf_zoom=0.76|edge_zoom=0.983|bounds
29,1575.3,420.2,hold,0.22,1538.1,540.0,1211.3,0.0,653.4,1161.6,1,266.8,0,0,conf_zoom=0.76|edge_zoom=0.981|bounds
30,1562.5,419.4,yolo,0.46,1524.2,540.0,1196.9,0.0,654.7,1163.8,1,265.7,0,0,conf_zoom=0.79|edge_zoom=0.977|bounds
31,1546.2,418.3,yolo,0.53,1508.6,540.0,1180.9,0.0,655.6,1165.5,1,266.4,0,0,shot_pb=0.40|conf_zoom=0.82|edge_zoom=0.974|bounds
32,1529.0,417.1,interp,0.28,1491.3,540.0,1163.2,0.0,656.3,1166.7,1,266.3,0,0,shot_pb=0.60|conf_zoom=0.81|edge_zoom=0.969|bounds
33,1510.4,415.9,yolo,0.49,1472.5,540.0,1144.2,0.0,656.7,1167.5,1,266.1,0,0,shot_pb=0.80|conf_zoom=0.84|edge_zoom=0.967|bounds
34,1490.2,414.6,interp,0.28,1452.4,540.0,1123.9,0.0,657.1,1168.1,1,266.2,0,0,accel_zoom=0.937|shot_pb=1.00|conf_zoom=0.83|edge_zoom=0.966|bounds
35,1468.7,413.3,yolo,0.50,1431.4,540.0,1102.8,0.0,657.3,1168.5,1,266.7,0,0,accel_zoom=0.919|shot_pb=1.00|conf_zoom=0.85|edge_zoom=0.965|bounds
36,1444.6,411.8,yolo,0.44,1409.7,540.0,1081.1,0.0,657.4,1168.7,1,269.1,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.965|bounds
37,1419.8,410.3,yolo,0.47,1387.8,540.0,1059.1,0.0,657.5,1168.8,1,272.0,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.964|bounds
38,1394.8,408.9,yolo,0.42,1365.9,540.0,1037.1,0.0,657.5,1168.9,1,275.1,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.964|bounds
39,1369.8,407.4,yolo,0.53,1344.2,540.0,1015.5,0.0,657.5,1168.9,1,278.4,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.963|bounds
40,1345.2,406.0,yolo,0.57,1323.2,540.0,994.4,0.0,657.5,1168.9,1,282.0,0,1,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.964|bounds
41,1321.9,404.7,interp,0.28,1302.8,540.0,974.0,0.0,657.5,1168.9,1,284.9,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.962|bounds
42,1299.0,403.4,yolo,0.56,1283.2,540.0,954.5,0.0,657.5,1168.9,1,288.2,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.962|bounds
43,1275.5,402.1,yolo,0.62,1264.5,540.0,935.8,0.0,657.5,1168.9,1,293.0,0,1,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.963|bounds
44,1252.7,400.9,yolo,0.67,1246.7,540.0,917.9,0.0,657.5,1168.9,1,298.0,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.961|bounds
45,1230.9,399.6,yolo,0.70,1229.8,540.0,901.0,0.0,657.5,1168.9,1,302.9,0,0,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.961|bounds
46,1210.0,398.4,yolo,0.75,1213.6,540.0,884.9,0.0,657.5,1168.9,1,300.4,0,1,accel_zoom=0.914|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.962|bounds
