frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1577.4,914.5,hold,0.30,1576.7,540.0,1247.9,0.0,657.5,1168.9,1,254.4,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1577.2,914.4,hold,0.30,1576.5,540.0,1247.8,0.0,657.5,1168.9,1,254.5,1,1,flight_commit=0.84|keepin_prop=0.81|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1577.0,914.3,hold,0.30,1576.3,540.0,1247.5,0.0,657.5,1168.9,1,254.6,1,1,flight_commit=0.30|conf_zoom=0.99|keepin_prop=0.80|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1576.7,914.2,hold,0.30,1576.0,540.0,1247.3,0.0,657.5,1168.9,1,254.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1576.4,914.1,hold,0.30,1575.7,540.0,1247.0,0.0,657.5,1168.9,1,254.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1576.0,914.0,hold,0.30,1575.3,540.0,1246.6,0.0,657.5,1168.9,1,254.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1575.6,913.8,hold,0.30,1574.9,540.0,1246.1,0.0,657.5,1168.9,1,255.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1575.2,913.6,hold,0.30,1574.3,540.0,1245.6,0.0,657.5,1168.9,1,255.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1574.6,913.4,hold,0.30,1573.7,540.0,1245.0,0.0,657.5,1168.9,1,255.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1574.1,913.2,hold,0.30,1573.0,540.0,1244.2,0.0,657.5,1168.9,1,255.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1573.4,912.9,hold,0.30,1572.2,540.0,1243.4,0.0,657.5,1168.9,1,256.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1572.6,912.6,hold,0.30,1571.3,540.0,1242.5,0.0,657.5,1168.9,1,256.3,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1571.7,912.3,hold,0.30,1570.2,540.0,1241.5,0.0,657.5,1168.9,1,256.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1570.7,911.9,hold,0.30,1569.1,540.0,1240.3,0.0,657.5,1168.9,1,257.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1569.6,911.4,hold,0.30,1567.7,540.0,1238.9,0.0,657.5,1168.9,1,257.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1568.3,910.9,hold,0.30,1566.2,540.0,1237.4,0.0,657.5,1168.9,1,258.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1566.9,910.3,hold,0.30,1564.5,540.0,1235.7,0.0,657.5,1168.9,1,258.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,1565.2,909.7,hold,0.30,1562.5,540.0,1233.7,0.0,657.5,1168.9,1,259.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,1563.3,908.9,hold,0.30,1560.3,540.0,1231.5,0.0,657.5,1168.9,1,260.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,1561.2,908.1,hold,0.30,1557.8,540.0,1229.0,0.0,657.5,1168.9,1,260.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,1558.8,907.1,hold,0.30,1555.0,540.0,1226.3,0.0,657.5,1168.9,1,261.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
21,1556.0,906.1,hold,0.30,1551.9,540.0,1223.1,0.0,657.5,1168.9,1,262.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
22,1552.9,904.8,hold,0.30,1548.3,540.0,1219.6,0.0,657.5,1168.9,1,264.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
23,1549.3,903.4,hold,0.30,1544.4,540.0,1215.6,0.0,657.5,1168.9,1,265.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
24,1545.3,901.8,hold,0.30,1540.0,540.0,1211.2,0.0,657.5,1168.9,1,267.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
25,1540.7,900.0,hold,0.30,1535.0,540.0,1206.3,0.0,657.5,1168.9,1,268.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
26,1535.5,897.9,hold,0.30,1529.5,540.0,1200.8,0.0,657.5,1168.9,1,271.0,1,1,conf_zoom=0.73|keepin_prop=0.95|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
27,1529.5,895.6,hold,0.30,1523.4,540.0,1194.6,0.0,657.5,1168.9,1,273.3,1,1,flight_commit=0.00|conf_zoom=0.91|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
