frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1577.7,914.6,hold,0.22,1577.2,540.0,1248.4,0.0,657.5,1168.9,1,254.3,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.750|bounds|final_speed
1,1577.6,914.5,hold,0.22,1577.1,540.0,1248.3,0.0,657.5,1168.9,1,254.4,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
2,1577.4,914.4,hold,0.22,1576.9,540.0,1248.2,0.0,657.5,1168.9,1,254.5,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
3,1577.1,914.3,hold,0.22,1576.7,540.0,1248.0,0.0,657.5,1168.9,1,254.6,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
4,1576.9,914.2,hold,0.22,1576.5,540.0,1247.7,0.0,657.5,1168.9,1,254.7,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
5,1576.6,914.1,hold,0.22,1576.2,540.0,1247.4,0.0,657.5,1168.9,1,254.8,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
6,1576.3,914.0,hold,0.22,1575.9,540.0,1247.1,0.0,657.5,1168.9,1,254.9,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
7,1575.9,913.8,hold,0.22,1575.4,540.0,1246.7,0.0,657.5,1168.9,1,255.1,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
8,1575.5,913.6,hold,0.22,1575.0,540.0,1246.2,0.0,657.5,1168.9,1,255.3,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
9,1575.0,913.4,hold,0.22,1574.4,540.0,1245.7,0.0,657.5,1168.9,1,255.5,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
10,1574.4,913.2,hold,0.22,1573.8,540.0,1245.1,0.0,657.5,1168.9,1,255.7,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
11,1573.8,912.9,hold,0.22,1573.1,540.0,1244.4,0.0,657.5,1168.9,1,256.0,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
12,1573.1,912.6,hold,0.22,1572.3,540.0,1243.6,0.0,657.5,1168.9,1,256.3,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
13,1572.3,912.3,hold,0.22,1571.4,540.0,1242.7,0.0,657.5,1168.9,1,256.6,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
14,1571.4,911.9,hold,0.22,1570.4,540.0,1241.7,0.0,657.5,1168.9,1,257.0,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
15,1570.3,911.4,hold,0.22,1569.3,540.0,1240.5,0.0,657.5,1168.9,1,257.5,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
16,1569.1,910.9,hold,0.22,1567.9,540.0,1239.2,0.0,657.5,1168.9,1,258.0,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
17,1567.8,910.3,hold,0.22,1566.4,540.0,1237.7,0.0,657.5,1168.9,1,258.6,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
18,1566.3,909.7,hold,0.22,1564.7,540.0,1236.0,0.0,657.5,1168.9,1,259.2,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
19,1564.5,908.9,hold,0.22,1562.8,540.0,1234.1,0.0,657.5,1168.9,1,260.0,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
20,1562.6,908.1,hold,0.22,1560.6,540.0,1231.9,0.0,657.5,1168.9,1,260.8,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
21,1560.3,907.1,hold,0.22,1558.2,540.0,1229.4,0.0,657.5,1168.9,1,261.8,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
22,1557.8,906.0,hold,0.22,1555.4,540.0,1226.7,0.0,657.5,1168.9,1,262.9,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
23,1554.9,904.8,hold,0.22,1552.3,540.0,1223.6,0.0,657.5,1168.9,1,264.1,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
24,1551.6,903.4,hold,0.22,1548.8,540.0,1220.1,0.0,657.5,1168.9,1,265.5,1,1,conf_zoom=0.76|keepin_prop=1.00|keepin_zoom=1.300|speed|edge_zoom=0.833|bounds
25,1547.8,901.8,hold,0.22,1544.9,540.0,1216.2,0.0,657.5,1168.9,1,267.1,1,1,conf_zoom=0.76|keepin_prop=0.91|keepin_zoom=1.300|speed|edge_zoom=0.844|bounds
26,1543.6,899.9,hold,0.22,1540.6,540.0,1211.8,0.0,657.5,1168.9,1,269.0,1,1,conf_zoom=0.76|keepin_prop=0.89|keepin_zoom=1.300|speed|edge_zoom=0.845|bounds
27,1538.7,897.9,hold,0.22,1535.7,540.0,1207.0,0.0,657.5,1168.9,1,271.0,1,1,conf_zoom=0.76|keepin_prop=0.87|keepin_zoom=1.300|speed|edge_zoom=0.847|bounds
28,1533.3,895.5,hold,0.22,1530.3,540.0,1201.6,0.0,657.5,1168.9,1,273.4,1,1,conf_zoom=0.76|keepin_prop=0.85|keepin_zoom=1.300|speed|edge_zoom=0.850|bounds
29,1527.0,892.8,hold,0.22,1524.3,540.0,1195.6,0.0,657.5,1168.9,1,276.1,1,1,conf_zoom=0.76|keepin_prop=0.83|keepin_zoom=1.300|speed|edge_zoom=0.852|bounds
30,1519.9,889.8,hold,0.22,1517.7,540.0,1189.0,0.0,657.5,1168.9,1,279.1,1,1,conf_zoom=0.76|keepin_prop=0.81|keepin_zoom=1.300|speed|edge_zoom=0.855|bounds
31,1511.9,886.3,hold,0.22,1510.4,540.0,1181.7,0.0,657.5,1168.9,1,282.6,1,1,conf_zoom=0.76|keepin_prop=0.78|keepin_zoom=1.300|speed|edge_zoom=0.858|bounds
32,1502.7,882.4,hold,0.22,1502.4,540.0,1173.6,0.0,657.5,1168.9,1,286.5,1,1,conf_zoom=0.76|keepin_prop=0.75|keepin_zoom=1.300|speed|edge_zoom=0.862|bounds
33,1492.3,877.9,hold,0.22,1493.5,540.0,1164.7,0.0,657.5,1168.9,1,291.0,1,1,conf_zoom=0.76|keepin_prop=0.71|keepin_zoom=1.300|speed|edge_zoom=0.865|bounds
34,1480.5,872.9,hold,0.22,1483.7,540.0,1155.0,0.0,657.5,1168.9,1,296.0,1,1,conf_zoom=0.76|keepin_prop=0.67|keepin_zoom=1.300|speed|edge_zoom=0.870|bounds
35,1467.1,867.1,hold,0.22,1473.0,540.0,1144.2,0.0,657.5,1168.9,1,298.1,1,1,shot_pb=0.40|conf_zoom=0.76|keepin_prop=0.64|keepin_zoom=1.300|speed|edge_zoom=0.873|bounds
36,1451.8,860.6,hold,0.22,1461.0,540.0,1132.3,0.0,657.5,1168.9,1,294.8,1,1,shot_pb=0.60|conf_zoom=0.76|keepin_prop=0.61|keepin_zoom=1.300|speed|edge_zoom=0.877|bounds
37,1434.4,853.1,hold,0.22,1447.9,540.0,1119.1,0.0,657.5,1168.9,1,290.5,1,1,shot_pb=0.80|conf_zoom=0.76|keepin_prop=0.58|keepin_zoom=1.300|speed|edge_zoom=0.880|bounds
38,1414.7,844.7,hold,0.22,1433.3,540.0,1104.5,0.0,657.5,1168.9,1,285.4,1,1,accel_zoom=0.932|shot_pb=1.00|conf_zoom=0.76|keepin_prop=0.55|keepin_zoom=1.300|speed|edge_zoom=0.883|bounds
39,1392.3,835.0,hold,0.22,1417.1,540.0,1088.3,0.0,657.5,1168.9,1,279.2,1,1,accel_zoom=0.910|shot_pb=1.00|conf_zoom=0.76|keepin_prop=0.51|keepin_zoom=1.300|speed|edge_zoom=0.888|bounds
40,1366.9,824.1,hold,0.22,1399.1,540.0,1070.3,0.0,657.5,1168.9,1,271.8,1,1,accel_zoom=0.902|shot_pb=1.00|conf_zoom=0.76|keepin_prop=0.46|keepin_zoom=1.300|speed|edge_zoom=0.893|bounds
41,1337.9,811.7,hold,0.22,1379.1,540.0,1050.4,0.0,657.5,1168.9,1,262.8,1,1,accel_zoom=0.892|shot_pb=1.00|conf_zoom=0.76|keepin_prop=0.40|keepin_zoom=1.300|speed|edge_zoom=0.900|bounds
42,1305.1,797.6,yolo,0.26,1357.1,540.0,1028.3,0.0,657.5,1168.9,1,252.0,1,1,accel_zoom=0.880|shot_pb=1.00|conf_zoom=0.76|keepin_prop=0.34|keepin_zoom=1.300|speed|edge_zoom=0.907|bounds
43,1261.6,779.1,interp,0.28,1332.8,540.0,1004.0,0.0,657.5,1168.9,1,232.8,1,1,accel_zoom=0.843|shot_pb=1.00|conf_zoom=0.77|keepin_prop=0.26|keepin_zoom=1.300|speed|edge_zoom=0.915|bounds
44,1214.6,759.0,interp,0.28,1306.1,540.0,977.4,0.0,657.5,1168.9,1,212.5,1,1,accel_zoom=0.832|shot_pb=1.00|conf_zoom=0.78|keepin_prop=0.19|keepin_zoom=1.300|speed|edge_zoom=0.923|bounds
45,1165.0,737.8,yolo,0.29,1277.1,540.0,948.3,0.0,657.5,1168.9,1,191.9,1,1,accel_zoom=0.825|shot_pb=1.00|conf_zoom=0.78|keepin_prop=0.13|keepin_zoom=1.300|speed|edge_zoom=0.924|bounds
46,1105.1,712.1,yolo,0.29,1245.6,540.0,916.8,0.0,657.5,1168.9,1,163.5,1,1,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|keepin_prop=0.07|keepin_zoom=1.300|speed|edge_zoom=0.911|bounds
47,1058.4,691.6,interp,0.28,1211.9,540.0,883.1,0.0,657.5,1168.9,1,150.5,1,1,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|keepin_prop=0.03|keepin_zoom=1.300|speed|edge_zoom=0.928|bounds
48,1012.9,671.4,interp,0.28,1176.0,540.0,847.3,0.0,657.5,1168.9,1,140.9,1,1,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|keepin_prop=0.01|keepin_zoom=1.300|speed|edge_zoom=0.929|bounds
49,968.5,651.6,interp,0.28,1138.4,540.0,809.6,0.0,657.5,1168.9,1,134.1,1,1,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.931|bounds
50,925.3,632.1,interp,0.28,1099.3,540.0,770.5,0.0,657.5,1168.9,1,130.0,1,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|pb_zfit|speed|edge_zoom=0.933|bounds|final_speed
51,883.3,613.1,interp,0.28,1059.1,540.0,730.3,0.0,657.5,1168.9,1,128.2,1,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|pb_zfit|speed|edge_zoom=0.939|bounds|final_speed
52,842.4,594.5,interp,0.28,1018.4,540.0,689.6,0.0,657.5,1168.9,1,128.0,1,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|person_ctx=4|pb_zfit|speed|edge_zoom=0.945|bounds
53,802.7,576.4,interp,0.28,977.7,540.0,648.9,0.0,657.5,1168.9,1,129.0,1,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|person_ctx=3|pb_zfit|speed|edge_zoom=0.951|bounds|final_speed
54,764.3,558.9,interp,0.28,937.5,540.0,608.7,0.0,657.5,1168.9,1,130.8,1,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|person_ctx=3|pb_zfit|speed|edge_zoom=0.956|bounds|final_speed
55,727.3,541.8,interp,0.28,898.3,540.0,569.5,0.0,657.5,1168.9,1,133.0,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|person_ctx=4|pb_zfit|edge_zoom=0.962|bounds
56,691.8,525.5,interp,0.28,860.6,540.0,531.8,0.0,657.5,1168.9,1,135.2,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.967|bounds
57,657.9,509.8,interp,0.28,824.7,540.0,496.0,0.0,657.5,1168.9,1,137.2,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.972|bounds
58,625.8,494.9,interp,0.28,791.2,540.0,462.4,0.0,657.5,1168.9,1,138.6,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.977|bounds
59,595.7,480.9,interp,0.28,760.1,540.0,431.4,0.0,657.5,1168.9,1,139.6,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.981|bounds
60,567.7,467.9,interp,0.28,731.8,540.0,403.0,0.0,657.5,1168.9,1,139.9,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.80|pb_zfit|edge_zoom=0.985|bounds
61,542.2,456.1,yolo,0.20,706.1,540.0,377.4,0.0,657.5,1168.9,1,140.1,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|pb_zfit|edge_zoom=0.989|bounds
62,522.1,446.7,hold,0.25,683.3,540.0,354.5,0.0,657.5,1168.9,1,142.8,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|pb_zfit|edge_zoom=0.993|bounds
63,504.3,438.5,hold,0.25,663.1,540.0,334.3,0.0,657.5,1168.9,1,145.2,0,0,accel_zoom=0.788|shot_pb=1.00|conf_zoom=0.79|pb_zfit|edge_zoom=0.996|bounds
64,488.7,431.3,hold,0.25,645.4,540.0,316.6,0.0,657.5,1168.9,1,147.3,0,1,shot_pb=1.00|conf_zoom=0.79|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.990|bounds
65,475.0,424.9,hold,0.25,630.0,540.0,301.3,0.0,657.5,1168.9,1,149.0,0,0,shot_pb=1.00|conf_zoom=0.79|pb_zfit|edge_zoom=0.999|bounds
66,462.9,419.3,hold,0.25,616.7,540.0,288.0,0.0,657.5,1168.9,1,150.2,0,0,shot_pb=1.00|conf_zoom=0.79|pb_zfit|bounds
67,452.3,414.4,hold,0.25,605.3,540.0,276.5,0.0,657.5,1168.9,1,151.0,0,1,shot_pb=1.00|conf_zoom=0.79|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.994|bounds
68,443.0,410.0,hold,0.25,595.5,540.0,266.7,0.0,657.5,1168.9,1,151.5,0,0,shot_pb=1.00|conf_zoom=0.79|pb_zfit|edge_zoom=0.997|bounds
69,434.7,406.2,hold,0.25,586.9,540.0,258.2,0.0,657.5,1168.9,1,151.8,0,1,shot_pb=1.00|conf_zoom=0.78|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.995|bounds
70,427.5,402.8,hold,0.25,579.6,540.0,250.8,0.0,657.5,1168.9,1,151.9,0,0,shot_pb=1.00|conf_zoom=0.78|pb_zfit|edge_zoom=0.994|bounds
71,421.1,399.9,hold,0.25,573.1,540.0,244.3,0.0,657.5,1168.9,1,152.0,0,1,shot_pb=1.00|conf_zoom=0.78|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.996|bounds
72,415.5,397.3,hold,0.25,567.4,540.0,238.6,0.0,657.5,1168.9,1,152.1,0,0,shot_pb=1.00|conf_zoom=0.78|pb_zfit|edge_zoom=0.993|bounds
73,410.6,395.0,hold,0.25,562.3,540.0,233.6,0.0,657.5,1168.9,1,152.3,0,1,shot_pb=1.00|conf_zoom=0.78|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.997|bounds
74,406.2,393.0,hold,0.25,557.8,540.0,229.1,0.0,657.5,1168.9,1,152.4,0,0,shot_pb=1.00|conf_zoom=0.78|pb_zfit|edge_zoom=0.992|bounds
75,402.4,391.2,hold,0.25,553.8,540.0,225.0,0.0,657.5,1168.9,1,152.6,0,1,shot_pb=1.00|conf_zoom=0.78|pb_zfit|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.998|bounds
