frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,411.0,411.3,hold,0.30,416.1,540.0,95.4,0.0,641.5,1140.4,1,298.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.773|bounds|final_speed
1,411.0,411.4,hold,0.30,416.6,540.0,97.4,0.0,638.2,1134.6,1,298.4,0,0,flight_commit=0.82|person_ctx=2|edge_zoom=0.978|bounds
2,411.0,411.4,hold,0.30,417.1,540.0,99.7,0.0,634.8,1128.5,1,297.9,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.979|bounds
3,411.0,411.4,hold,0.30,417.7,540.0,102.1,0.0,631.1,1122.0,1,297.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.988|bounds
4,411.1,411.4,hold,0.30,418.2,540.0,104.5,0.0,627.4,1115.3,1,296.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,411.1,411.4,hold,0.30,418.8,540.0,107.0,0.0,623.6,1108.5,1,296.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,411.1,411.4,hold,0.30,419.3,540.0,109.4,0.0,619.7,1101.7,1,295.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,411.1,411.4,hold,0.30,419.7,540.0,111.8,0.0,615.9,1094.9,1,295.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,411.1,411.5,hold,0.30,420.1,540.0,114.0,0.0,612.2,1088.3,1,295.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,411.2,411.5,hold,0.30,420.4,540.0,116.1,0.0,608.6,1081.9,1,294.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,411.2,411.5,hold,0.30,420.6,540.0,118.0,2.1,605.1,1075.8,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,411.3,411.6,hold,0.30,420.7,540.0,119.8,5.0,601.9,1070.1,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,411.3,411.6,hold,0.30,420.9,540.0,121.4,7.7,598.9,1064.7,1,294.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,411.4,411.6,hold,0.30,420.9,540.0,122.9,10.1,596.1,1059.8,1,294.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,411.4,411.7,hold,0.30,421.0,540.0,124.2,12.4,593.6,1055.3,1,294.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,411.5,411.7,hold,0.30,421.0,540.0,125.4,14.4,591.3,1051.2,1,294.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,411.6,411.8,hold,0.30,421.0,540.0,126.4,16.3,589.2,1047.5,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,411.7,411.9,hold,0.30,421.1,540.0,127.4,17.9,587.4,1044.2,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,411.8,411.9,hold,0.30,421.1,540.0,128.2,19.4,585.7,1041.2,1,294.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,411.9,412.0,hold,0.30,421.1,540.0,129.0,20.7,584.2,1038.6,1,294.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,412.0,412.1,hold,0.30,421.1,540.0,129.7,21.9,582.8,1036.2,1,294.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,412.2,412.3,hold,0.30,421.1,540.0,130.3,23.0,581.6,1034.0,1,295.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,412.3,412.4,hold,0.30,421.1,540.0,130.8,23.9,580.6,1032.1,1,295.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,412.5,412.5,hold,0.30,421.1,540.0,131.3,24.8,579.6,1030.4,1,295.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
24,412.7,412.7,hold,0.30,421.1,540.0,131.7,25.6,578.7,1028.9,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
25,413.0,412.9,hold,0.30,421.1,540.0,132.1,26.3,578.0,1027.5,1,295.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
26,413.3,413.1,hold,0.30,421.1,540.0,132.5,26.9,577.3,1026.2,1,296.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
27,413.6,413.4,hold,0.30,421.1,540.0,132.8,27.4,576.6,1025.1,1,296.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
