frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,411.0,411.3,hold,0.22,416.2,540.0,88.8,0.0,654.8,1164.1,1,298.8,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.769|bounds|final_speed
1,411.0,411.3,hold,0.22,416.7,540.0,89.9,0.0,653.6,1162.0,1,298.3,0,0,conf_zoom=0.76|edge_zoom=0.982|bounds
2,411.0,411.3,hold,0.22,417.3,540.0,91.2,0.0,652.2,1159.5,1,297.7,0,0,conf_zoom=0.76|edge_zoom=0.983|bounds
3,411.0,411.3,hold,0.22,418.1,540.0,92.8,0.0,650.4,1156.3,1,296.9,0,0,conf_zoom=0.76|edge_zoom=0.984|bounds
4,411.1,411.3,hold,0.22,418.8,540.0,94.6,0.0,648.3,1152.6,1,296.3,0,0,conf_zoom=0.76|edge_zoom=0.984|bounds
5,411.1,411.4,hold,0.22,419.5,540.0,96.5,0.0,645.9,1148.3,1,295.6,0,0,conf_zoom=0.76|edge_zoom=0.991|bounds
6,411.1,411.4,hold,0.22,420.1,540.0,98.5,0.0,643.2,1143.5,1,295.0,0,0,conf_zoom=0.76|bounds
7,411.1,411.4,hold,0.22,420.6,540.0,100.4,0.0,640.3,1138.4,1,294.5,0,0,conf_zoom=0.76|bounds
8,411.2,411.4,hold,0.22,421.0,540.0,102.4,0.0,637.3,1133.0,1,294.2,0,0,conf_zoom=0.76|bounds
9,411.2,411.4,hold,0.22,421.4,540.0,104.3,0.0,634.2,1127.4,1,293.8,0,0,conf_zoom=0.76|bounds
10,411.2,411.4,hold,0.22,421.7,540.0,106.1,0.0,631.0,1121.8,1,293.5,0,0,conf_zoom=0.76|bounds
11,411.3,411.4,hold,0.22,421.9,540.0,107.9,0.0,627.9,1116.3,1,293.4,0,0,conf_zoom=0.76|bounds
12,411.3,411.5,hold,0.22,422.0,540.0,109.5,0.0,624.9,1111.0,1,293.3,0,0,conf_zoom=0.76|bounds
13,411.4,411.5,hold,0.22,422.1,540.0,111.1,0.0,622.1,1105.9,1,293.3,0,0,conf_zoom=0.76|bounds
14,411.5,411.5,hold,0.22,422.2,540.0,112.5,0.0,619.4,1101.1,1,293.3,0,0,conf_zoom=0.76|bounds
15,411.5,411.6,hold,0.22,422.2,540.0,113.8,0.0,616.8,1096.6,1,293.3,0,0,conf_zoom=0.76|bounds
16,411.6,411.6,hold,0.22,422.2,540.0,115.0,0.0,614.5,1092.5,1,293.4,0,0,conf_zoom=0.76|bounds
17,411.7,411.6,hold,0.22,422.3,540.0,116.1,0.0,612.3,1088.6,1,293.4,0,0,conf_zoom=0.76|bounds
18,411.8,411.7,hold,0.22,422.3,540.0,117.1,0.0,610.4,1085.1,1,293.5,0,0,conf_zoom=0.76|bounds
19,412.0,411.7,hold,0.22,422.3,540.0,118.0,0.0,608.5,1081.9,1,293.7,0,0,conf_zoom=0.76|bounds
20,412.1,411.8,hold,0.22,422.3,540.0,118.8,0.6,606.9,1078.9,1,293.8,0,0,conf_zoom=0.76|bounds
21,412.3,411.9,hold,0.22,422.3,540.0,119.6,1.9,605.4,1076.2,1,294.0,0,0,conf_zoom=0.76|bounds
22,412.5,412.0,hold,0.22,422.3,540.0,120.3,3.1,604.0,1073.7,1,294.2,0,0,conf_zoom=0.76|bounds
23,412.7,412.0,hold,0.22,422.3,540.0,120.9,4.3,602.7,1071.4,1,294.4,0,0,conf_zoom=0.76|bounds
24,412.9,412.2,hold,0.22,422.3,540.0,121.5,5.3,601.5,1069.3,1,294.6,0,0,conf_zoom=0.76|bounds
25,413.2,412.3,hold,0.22,422.3,540.0,122.1,6.3,600.4,1067.4,1,294.9,0,0,conf_zoom=0.76|bounds
26,413.5,412.4,hold,0.22,422.3,540.0,122.5,7.2,599.5,1065.7,1,295.2,0,0,conf_zoom=0.76|bounds
27,413.9,412.6,hold,0.22,422.3,540.0,123.0,8.0,598.5,1064.1,1,295.6,0,0,conf_zoom=0.76|bounds
28,414.3,412.7,hold,0.22,422.3,540.0,123.4,8.7,597.7,1062.6,1,296.0,0,0,conf_zoom=0.76|bounds
29,414.7,412.9,hold,0.22,422.3,540.0,123.8,9.4,597.0,1061.3,1,296.4,0,0,conf_zoom=0.76|bounds
30,415.3,413.2,hold,0.22,422.3,540.0,124.2,10.0,596.3,1060.1,1,297.0,0,0,conf_zoom=0.76|bounds
31,415.8,413.4,hold,0.22,422.3,540.0,124.5,10.5,595.6,1058.9,1,297.5,0,0,conf_zoom=0.76|bounds
32,416.5,413.7,hold,0.22,422.4,540.0,124.9,11.1,595.0,1057.9,1,298.1,0,0,conf_zoom=0.76|bounds
