frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,353.4,310.5,yolo,0.28,341.3,584.5,12.5,0.0,657.5,1168.9,1,291.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,352.6,310.6,yolo,0.32,340.7,584.5,11.9,0.0,657.5,1168.9,1,292.1,0,0,flight_commit=0.88|edge_zoom=0.910|bounds
2,351.6,310.8,yolo,0.30,339.9,584.5,11.1,0.0,657.5,1168.9,1,292.3,0,0,flight_commit=0.37|edge_zoom=0.909|bounds
3,350.4,311.1,yolo,0.32,339.0,584.5,10.2,0.0,657.5,1168.9,1,292.6,0,0,flight_commit=0.03|conf_zoom=0.92|conf_speed=0.95|edge_zoom=0.909|bounds
4,349.1,311.3,yolo,0.38,338.0,584.5,9.3,0.0,657.5,1168.9,1,292.9,0,1,conf_zoom=0.74|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.86|edge_zoom=0.981|bounds
5,347.6,311.5,yolo,0.38,337.1,584.5,8.3,0.0,657.5,1168.9,1,293.5,0,1,conf_zoom=0.75|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.995|bounds
6,345.9,311.9,yolo,0.38,336.2,584.4,7.4,0.0,657.5,1168.9,1,294.3,0,1,conf_zoom=0.76|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.996|bounds
7,344.1,312.3,interp,0.38,335.4,584.4,6.6,0.0,657.4,1168.8,1,295.3,0,1,conf_zoom=0.77|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.87|edge_zoom=0.996|bounds
8,342.2,312.8,yolo,0.37,334.7,584.3,6.0,0.0,657.3,1168.5,1,296.5,0,1,conf_zoom=0.77|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.87|edge_zoom=0.996|bounds
9,339.9,313.3,yolo,0.45,334.1,584.1,5.6,0.0,657.1,1168.1,1,298.2,0,1,conf_zoom=0.79|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.88|edge_zoom=0.996|bounds
10,337.2,314.0,interp,0.38,333.8,583.8,5.4,0.0,656.7,1167.5,1,300.6,0,1,conf_zoom=0.79|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.88|edge_zoom=0.996|bounds
11,334.4,314.8,interp,0.38,333.5,583.3,5.5,0.0,656.2,1166.6,1,303.1,0,1,conf_zoom=0.79|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.89|edge_zoom=0.997|bounds
12,331.6,315.8,interp,0.38,333.5,582.6,5.8,0.0,655.4,1165.2,1,302.1,0,1,conf_zoom=0.79|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.89|edge_zoom=0.997|bounds
13,328.8,316.9,interp,0.38,333.7,581.6,6.5,0.0,654.3,1163.2,1,299.1,0,1,conf_zoom=0.79|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.89|edge_zoom=0.997|bounds
14,326.2,318.2,interp,0.38,334.0,580.3,7.6,0.0,652.9,1160.6,1,296.2,0,1,conf_zoom=0.79|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.89|edge_zoom=0.998|bounds
15,323.7,319.8,interp,0.38,334.7,578.6,9.2,0.0,651.0,1157.3,1,293.0,0,1,conf_zoom=0.79|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.89|edge_zoom=0.998|bounds
