frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,365.0,314.2,yolo,0.28,373.1,540.0,44.6,0.0,657.0,1168.1,1,295.9,1,0,accel_zoom=0.852|conf_zoom=0.81|edge_zoom=0.750|bounds|final_speed
1,365.7,314.8,yolo,0.32,374.1,540.0,45.7,0.0,656.9,1167.8,1,295.6,1,0,conf_zoom=0.81|speed|edge_zoom=0.939|bounds
2,366.4,315.6,yolo,0.30,375.4,540.0,47.1,0.0,656.7,1167.4,1,295.0,1,0,conf_zoom=0.81|speed|edge_zoom=0.939|bounds
3,367.3,316.5,yolo,0.32,376.9,540.0,48.7,0.0,656.4,1167.0,1,294.4,1,0,conf_zoom=0.81|speed|edge_zoom=0.939|bounds
4,368.3,317.4,yolo,0.38,378.6,540.0,50.6,0.0,656.2,1166.6,1,293.7,1,0,conf_zoom=0.82|speed|edge_zoom=0.940|bounds
5,369.4,318.6,yolo,0.38,380.5,540.0,52.5,0.0,656.0,1166.2,1,292.9,0,0,conf_zoom=0.83|edge_zoom=0.945|bounds
6,370.7,319.9,yolo,0.38,382.5,540.0,54.6,0.0,655.8,1165.8,1,292.2,0,0,conf_zoom=0.84|edge_zoom=0.953|bounds
7,372.3,321.4,interp,0.28,384.6,540.0,56.8,0.0,655.6,1165.6,1,291.7,0,0,conf_zoom=0.83|edge_zoom=0.960|bounds
8,374.2,323.1,yolo,0.37,387.0,540.0,59.2,0.0,655.6,1165.5,1,291.2,0,0,conf_zoom=0.84|edge_zoom=0.963|bounds
9,376.3,325.0,yolo,0.45,389.6,540.0,61.8,0.0,655.6,1165.5,1,290.7,0,0,conf_zoom=0.85|edge_zoom=0.960|bounds
10,379.3,327.6,interp,0.28,392.5,540.0,64.6,0.0,655.6,1165.6,1,290.8,0,0,conf_zoom=0.84|edge_zoom=0.942|bounds
11,382.6,330.4,interp,0.28,395.7,540.0,67.8,0.0,655.8,1165.9,1,290.9,1,0,conf_zoom=0.84|speed|edge_zoom=0.942|bounds
12,386.4,333.4,interp,0.28,399.3,540.0,71.3,0.0,656.0,1166.2,1,291.1,1,0,conf_zoom=0.83|speed|edge_zoom=0.942|bounds
