frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1225.6,999.7,centroid,0.30,1206.3,540.0,877.5,0.0,657.5,1168.9,1,169.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1218.3,1000.1,centroid,0.30,1203.0,540.0,874.3,0.0,657.5,1168.9,1,168.8,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1210.1,1000.5,centroid,0.30,1198.7,540.0,870.0,0.0,657.5,1168.9,1,168.4,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1201.1,1001.0,centroid,0.30,1193.4,540.0,864.6,0.0,657.5,1168.9,1,167.9,1,1,flight_commit=0.99|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1191.1,1001.5,centroid,0.30,1187.0,540.0,858.2,0.0,657.5,1168.9,1,167.4,1,1,flight_commit=0.99|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1180.3,1002.1,centroid,0.30,1179.7,540.0,850.9,0.0,657.5,1168.9,1,166.8,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1168.6,1002.7,centroid,0.30,1171.5,540.0,842.8,0.0,657.5,1168.9,1,166.2,1,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1155.9,1003.3,centroid,0.30,1162.6,540.0,833.8,0.0,657.5,1168.9,1,165.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1142.2,1004.0,centroid,0.30,1152.8,540.0,824.0,0.0,657.5,1168.9,1,164.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1127.6,1004.7,centroid,0.30,1142.1,540.0,813.4,0.0,657.5,1168.9,1,164.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1111.9,1005.4,centroid,0.30,1130.7,540.0,802.0,0.0,657.5,1168.9,1,163.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1095.3,1006.1,centroid,0.30,1118.5,540.0,789.8,0.0,657.5,1168.9,1,162.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1077.6,1006.9,centroid,0.30,1105.5,540.0,776.8,0.0,657.5,1168.9,1,162.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1058.9,1007.7,centroid,0.30,1091.8,540.0,763.0,0.0,657.5,1168.9,1,161.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1039.2,1008.5,centroid,0.30,1077.2,540.0,748.4,0.0,657.5,1168.9,1,160.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1018.4,1009.3,centroid,0.30,1061.9,540.0,733.2,0.0,657.5,1168.9,1,159.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,996.7,1010.1,centroid,0.30,1045.9,540.0,717.2,0.0,657.5,1168.9,1,158.8,1,1,accel_zoom=0.943|shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
