frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,,,none,0.00,1500.7,540.0,1172.0,0.0,657.5,1168.9,,,1,0,conf_zoom=0.60|edge_zoom=0.750|bounds|final_speed
1,,,none,0.00,1487.3,540.0,1158.5,0.0,657.5,1168.9,,,0,0,accel_zoom=0.780|conf_zoom=0.60|edge_zoom=0.984|bounds
2,,,none,0.00,1469.5,540.0,1140.7,0.0,657.5,1168.9,,,1,0,accel_zoom=0.780|conf_zoom=0.60|speed|bounds
3,,,none,0.00,1448.6,540.0,1119.9,0.0,657.5,1168.9,,,0,0,shot_pb=0.00|conf_zoom=0.60|bounds
4,,,none,0.00,1426.3,540.0,1097.6,0.0,657.5,1168.9,,,0,0,shot_pb=0.20|conf_zoom=0.60|bounds
5,,,none,0.00,1404.1,540.0,1075.4,0.0,657.5,1168.9,,,0,0,shot_pb=0.40|conf_zoom=0.60|bounds
6,,,none,0.00,1383.4,540.0,1054.6,0.0,657.5,1168.9,,,0,0,shot_pb=0.60|conf_zoom=0.60|bounds
7,,,none,0.00,1365.3,540.0,1036.6,0.0,657.5,1168.9,,,0,0,accel_zoom=0.842|shot_pb=0.80|conf_zoom=0.60|bounds
8,,,none,0.00,1351.0,540.0,1022.2,0.0,657.5,1168.9,,,0,0,accel_zoom=0.842|shot_pb=1.00|conf_zoom=0.60|bounds
9,,,none,0.00,1341.3,540.0,1012.5,0.0,657.5,1168.9,,,0,0,accel_zoom=0.842|shot_pb=1.00|conf_zoom=0.60|bounds
10,,,none,0.00,1336.7,540.0,1008.0,0.0,657.5,1168.9,,,0,0,accel_zoom=0.842|shot_pb=1.00|conf_zoom=0.60|bounds
11,,,none,0.00,1337.8,540.0,1009.0,0.0,657.5,1168.9,,,0,0,accel_zoom=0.842|shot_pb=1.00|conf_zoom=0.60|bounds
12,,,none,0.00,1344.3,540.0,1015.5,0.0,657.5,1168.9,,,0,1,accel_zoom=0.842|shot_pb=1.00|conf_zoom=0.60|keepin_prop=0.00|keepin_zoom=1.300|bounds
13,,,none,0.00,1356.0,540.0,1027.2,0.0,657.5,1168.9,,,1,0,accel_zoom=0.842|shot_pb=1.00|conf_zoom=0.60|speed|bounds
14,,,none,0.00,1372.1,540.0,1043.3,0.0,657.5,1168.9,,,1,0,accel_zoom=0.826|shot_pb=1.00|conf_zoom=0.60|speed|bounds
15,,,none,0.00,1391.7,540.0,1063.0,0.0,657.5,1168.9,,,1,0,accel_zoom=0.806|shot_pb=1.00|conf_zoom=0.60|speed|bounds
