frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,549.0,410.6,hold,0.30,555.6,540.0,234.2,0.0,642.7,1142.6,1,297.4,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.771|bounds|final_speed
1,549.1,410.6,hold,0.30,556.1,540.0,236.4,0.0,639.5,1136.8,1,297.0,0,0,flight_commit=0.83|edge_zoom=0.974|bounds
2,549.2,410.7,hold,0.30,556.8,540.0,238.9,0.0,635.9,1130.4,1,296.4,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.977|bounds
3,549.3,410.8,hold,0.30,557.6,540.0,241.6,0.0,631.9,1123.4,1,295.7,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.981|bounds
4,549.5,410.8,hold,0.30,558.3,540.0,244.5,0.0,627.7,1115.9,1,295.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,549.7,410.9,hold,0.30,559.0,540.0,247.5,0.0,623.1,1107.7,1,294.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,549.9,411.0,hold,0.30,559.7,540.0,250.5,0.0,618.2,1099.1,1,294.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,550.1,411.1,hold,0.30,560.2,540.0,253.7,0.0,613.0,1089.9,1,293.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,550.4,411.3,hold,0.30,560.7,540.0,256.9,0.0,607.6,1080.2,1,293.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,550.7,411.4,hold,0.30,561.0,540.0,260.1,4.9,602.0,1070.1,1,293.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,551.1,411.6,hold,0.30,561.3,540.0,263.3,10.1,596.1,1059.8,1,293.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,551.5,411.8,hold,0.30,561.6,540.0,266.5,15.3,590.3,1049.3,1,293.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,552.0,412.0,hold,0.30,561.8,540.0,269.6,20.5,584.4,1038.9,1,294.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,552.5,412.2,yolo,0.40,562.0,540.0,272.7,25.6,578.7,1028.7,1,294.5,0,0,conf_zoom=0.74|conf_speed=0.86|bounds
14,552.9,412.6,yolo,0.39,562.2,540.0,275.6,30.5,573.2,1019.0,1,294.7,0,0,conf_zoom=0.75|conf_speed=0.87|bounds
15,553.3,413.0,yolo,0.36,562.5,540.0,278.5,35.0,568.1,1010.0,1,294.8,0,0,conf_zoom=0.76|conf_speed=0.87|bounds
16,554.2,413.3,interp,0.38,562.9,540.0,281.2,39.1,563.5,1001.8,1,295.3,0,0,conf_zoom=0.77|conf_speed=0.87|bounds
17,555.3,413.6,interp,0.38,563.5,540.0,283.7,42.6,559.6,994.9,1,295.8,0,0,conf_zoom=0.77|conf_speed=0.88|bounds
18,556.7,413.9,interp,0.38,564.3,540.0,286.0,45.4,556.4,989.2,1,296.4,0,0,conf_zoom=0.78|conf_speed=0.88|bounds
19,558.4,414.1,interp,0.38,565.3,540.0,288.3,47.6,553.9,984.8,1,297.1,0,0,conf_zoom=0.78|conf_speed=0.88|bounds
20,560.5,414.4,interp,0.38,566.7,540.0,290.6,49.1,552.2,981.7,1,297.8,0,0,conf_zoom=0.78|conf_speed=0.88|bounds
21,563.0,414.6,interp,0.38,568.4,540.0,292.9,50.1,551.2,979.9,1,298.6,0,0,conf_zoom=0.79|conf_speed=0.88|bounds
