frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,536.4,405.7,hold,0.30,527.4,573.7,204.7,0.0,645.4,1147.4,1,295.0,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.762|bounds|final_speed
1,536.0,405.8,hold,0.30,526.9,571.2,205.6,0.0,642.6,1142.3,1,294.9,0,0,flight_commit=0.85|edge_zoom=0.968|bounds
2,535.4,406.0,hold,0.30,526.2,568.3,206.6,0.0,639.4,1136.6,1,294.8,0,0,flight_commit=0.33|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.971|bounds
3,534.8,406.2,hold,0.30,525.5,565.2,207.6,0.0,635.9,1130.4,1,294.7,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.975|bounds
4,534.1,406.4,hold,0.30,524.7,561.9,208.6,0.0,632.1,1123.7,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,533.2,406.7,hold,0.30,523.8,558.4,209.7,0.0,628.2,1116.7,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,532.3,406.9,hold,0.30,522.9,554.8,210.8,0.0,624.1,1109.6,1,294.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,531.3,407.3,hold,0.30,522.0,551.2,212.0,0.0,620.1,1102.4,1,294.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,530.1,407.6,hold,0.30,521.1,547.7,213.0,0.0,616.2,1095.4,1,295.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,528.7,408.0,hold,0.30,520.2,544.4,214.0,0.0,612.4,1088.7,1,295.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,527.2,408.5,hold,0.30,519.1,541.2,214.7,0.0,608.8,1082.3,1,295.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,525.4,409.0,hold,0.30,517.9,540.0,215.2,1.8,605.4,1076.3,1,296.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,523.4,409.6,hold,0.30,516.5,540.0,215.4,4.7,602.2,1070.6,1,297.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
