frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1407.1,440.9,yolo,0.36,1412.2,554.6,1100.2,0.0,624.0,1109.3,1,298.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.827|bounds|final_speed
1,1407.6,440.7,yolo,0.46,1412.5,547.0,1104.8,0.0,615.3,1093.9,1,299.1,0,0,flight_commit=0.86|person_ctx=3|edge_zoom=0.985|bounds
2,1408.2,440.3,yolo,0.46,1412.8,540.0,1109.8,1.4,605.9,1077.2,1,299.4,0,0,flight_commit=0.34|person_ctx=3|edge_zoom=0.989|bounds
3,1408.8,439.9,yolo,0.49,1413.0,540.0,1115.0,10.1,596.1,1059.7,1,299.8,0,0,conf_zoom=0.83|conf_speed=0.90|edge_zoom=0.992|bounds
4,1409.5,439.5,yolo,0.47,1413.3,540.0,1120.2,18.9,586.2,1042.1,1,300.2,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
5,1410.2,439.1,yolo,0.49,1413.5,540.0,1125.2,27.5,576.6,1025.0,1,300.7,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
6,1410.7,438.8,yolo,0.42,1413.5,540.0,1129.7,35.4,567.6,1009.1,1,301.2,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
7,1410.9,438.6,yolo,0.41,1413.3,540.0,1133.4,42.5,559.7,995.0,1,301.6,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
8,1410.8,438.4,interp,0.38,1412.7,540.0,1136.3,48.5,553.0,983.1,1,302.1,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
9,1410.3,438.1,yolo,0.48,1411.9,540.0,1138.0,53.2,547.7,973.7,1,302.4,0,0,conf_zoom=0.84|conf_speed=0.92|bounds
10,1409.6,437.8,yolo,0.45,1410.5,540.0,1138.6,56.5,543.9,966.9,1,303.1,0,0,conf_zoom=0.85|conf_speed=0.92|bounds
11,1408.1,437.4,interp,0.38,1408.7,540.0,1137.9,58.6,541.6,962.8,1,303.4,0,0,conf_zoom=0.84|conf_speed=0.91|bounds
12,1406.1,436.9,yolo,0.39,1406.2,540.0,1135.8,59.4,540.7,961.2,1,303.9,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
13,1403.1,436.5,interp,0.38,1402.9,540.0,1132.4,59.1,541.0,961.8,1,303.8,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
14,1399.4,436.0,interp,0.38,1398.8,540.0,1127.6,57.8,542.4,964.3,1,303.4,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
15,1395.1,435.5,interp,0.38,1393.7,540.0,1121.4,55.8,544.7,968.4,1,302.6,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
16,1390.1,435.0,interp,0.38,1387.6,540.0,1113.7,53.1,547.8,973.8,1,301.5,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.992|bounds
17,1384.4,434.5,interp,0.38,1380.3,540.0,1104.6,49.9,551.4,980.3,1,299.9,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.986|bounds
18,1378.0,433.9,interp,0.38,1371.9,540.0,1094.1,46.2,555.6,987.7,1,297.9,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.984|bounds
19,1370.7,433.3,interp,0.38,1362.1,540.0,1082.0,42.0,560.2,996.0,1,295.4,0,0,flight_commit=0.13|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.980|bounds
20,1362.6,432.7,interp,0.38,1351.0,540.0,1068.3,37.4,565.4,1005.2,1,292.4,0,0,flight_commit=0.28|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.978|bounds
21,1353.6,432.1,interp,0.38,1338.7,540.0,1053.1,32.3,571.2,1015.4,1,289.1,0,0,flight_commit=0.44|edge_zoom=0.977|bounds
22,1343.6,431.4,interp,0.38,1325.1,540.0,1036.4,26.7,577.5,1026.6,1,285.5,0,0,flight_commit=0.61|edge_zoom=0.976|bounds
23,1332.4,430.6,yolo,0.40,1310.3,540.0,1018.2,20.6,584.3,1038.8,1,281.9,0,0,flight_commit=0.80|edge_zoom=0.974|bounds
24,1317.3,429.5,yolo,0.40,1294.4,540.0,998.6,14.1,591.6,1051.7,1,281.1,0,0,flight_commit=1.00|edge_zoom=0.970|bounds
25,1303.6,428.8,interp,0.38,1277.5,540.0,977.9,7.4,599.2,1065.3,1,277.9,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.971|bounds
26,1289.1,428.0,interp,0.38,1259.8,540.0,956.3,0.5,607.0,1079.1,1,274.7,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.970|bounds
27,1273.9,427.3,interp,0.38,1241.4,546.3,934.1,0.0,614.6,1092.6,1,271.5,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.968|bounds
