frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1479.3,339.8,hold,0.30,1471.5,540.0,1147.0,0.0,649.0,1153.8,1,296.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1479.2,339.8,hold,0.30,1470.8,540.0,1147.8,0.0,646.1,1148.6,1,295.6,0,0,flight_commit=0.82|edge_zoom=0.928|bounds
2,1479.2,339.9,hold,0.30,1470.0,540.0,1148.7,0.0,642.7,1142.5,1,294.8,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.926|bounds
3,1479.2,339.9,hold,0.30,1469.2,540.0,1149.8,0.0,638.8,1135.6,1,294.0,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.982|bounds
4,1479.2,339.9,hold,0.30,1468.3,540.0,1151.1,0.0,634.5,1127.9,1,293.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,1479.2,339.9,hold,0.30,1467.5,540.0,1152.6,0.0,629.9,1119.7,1,292.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,1479.1,339.9,hold,0.30,1466.7,540.0,1154.2,0.0,625.1,1111.3,1,291.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,1479.1,340.0,hold,0.30,1466.1,540.0,1155.9,0.0,620.4,1102.8,1,291.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,1479.1,340.0,hold,0.30,1465.6,540.0,1157.7,0.0,615.7,1094.6,1,290.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,1479.0,340.0,hold,0.30,1465.2,540.0,1159.5,0.0,611.3,1086.7,1,290.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,1479.0,340.1,hold,0.30,1464.9,540.0,1161.3,0.4,607.1,1079.3,1,289.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,1479.0,340.1,hold,0.30,1464.6,540.0,1163.0,3.7,603.3,1072.5,1,289.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,1478.9,340.1,hold,0.30,1464.4,540.0,1164.5,6.8,599.8,1066.4,1,289.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,1478.8,340.2,hold,0.30,1464.3,540.0,1166.0,9.6,596.7,1060.9,1,289.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,1478.8,340.3,hold,0.30,1464.2,540.0,1167.3,12.0,594.0,1055.9,1,289.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,1478.7,340.3,hold,0.30,1464.2,540.0,1168.4,14.2,591.5,1051.6,1,289.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,1478.6,340.4,hold,0.30,1464.2,540.0,1169.5,16.1,589.3,1047.7,1,289.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,1478.5,340.5,hold,0.30,1464.1,540.0,1170.4,17.8,587.4,1044.3,1,289.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,1478.4,340.6,hold,0.30,1464.1,540.0,1171.3,19.4,585.7,1041.3,1,289.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,1478.3,340.7,hold,0.30,1464.1,540.0,1172.0,20.7,584.2,1038.6,1,289.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,1478.1,340.9,hold,0.30,1464.1,540.0,1172.7,21.9,582.8,1036.2,1,290.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,1477.9,341.0,hold,0.30,1464.1,540.0,1173.3,23.0,581.6,1034.0,1,290.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,1477.7,341.2,hold,0.30,1464.1,540.0,1173.8,23.9,580.6,1032.1,1,290.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,1477.5,341.4,hold,0.30,1464.1,540.0,1174.3,24.8,579.6,1030.4,1,290.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
