frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1763.4,534.9,yolo,0.67,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,131.8,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1765.4,534.3,yolo,0.72,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,129.8,0,0,flight_commit=0.95|edge_zoom=0.847|bounds
2,1767.8,533.6,yolo,0.77,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,127.4,0,1,keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.855|bounds
3,1770.7,532.8,yolo,0.80,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,124.5,0,1,keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.852|bounds
4,1773.7,532.0,yolo,0.80,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,121.5,0,1,keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.847|bounds
5,1776.6,531.2,yolo,0.78,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,118.6,0,1,keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.859|bounds
6,1779.4,530.3,yolo,0.77,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,115.8,0,1,keepin_prop=0.25|keepin_zoom=1.350|edge_zoom=0.848|bounds
7,1780.2,528.9,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,115.0,0,1,keepin_prop=0.45|keepin_zoom=1.350|edge_zoom=0.798|bounds
8,1780.5,527.4,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,114.7,0,1,keepin_prop=0.45|keepin_zoom=1.350|edge_zoom=0.796|bounds
9,1780.3,525.7,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,114.9,0,1,conf_zoom=0.98|keepin_prop=0.45|keepin_zoom=1.350|edge_zoom=0.797|bounds
10,1779.6,523.8,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,115.6,0,1,conf_zoom=0.95|keepin_prop=0.44|keepin_zoom=1.350|edge_zoom=0.801|bounds
11,1778.6,521.9,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,116.6,0,1,conf_zoom=0.92|keepin_prop=0.43|keepin_zoom=1.350|edge_zoom=0.808|bounds
12,1777.3,519.9,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,117.9,0,1,conf_zoom=0.90|keepin_prop=0.42|keepin_zoom=1.350|edge_zoom=0.816|bounds
13,1775.7,517.8,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.5,0,1,conf_zoom=0.88|keepin_prop=0.40|keepin_zoom=1.350|edge_zoom=0.825|bounds
14,1773.9,515.6,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,121.3,0,1,conf_zoom=0.86|keepin_prop=0.38|keepin_zoom=1.350|edge_zoom=0.836|bounds
15,1771.8,513.4,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,123.4,0,1,conf_zoom=0.85|keepin_prop=0.36|keepin_zoom=1.350|edge_zoom=0.847|bounds
16,1769.6,511.2,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,125.6,0,1,conf_zoom=0.84|keepin_prop=0.33|keepin_zoom=1.350|edge_zoom=0.859|bounds
17,1767.2,508.9,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,128.0,0,1,conf_zoom=0.83|keepin_prop=0.31|keepin_zoom=1.350|edge_zoom=0.871|bounds
18,1764.7,506.6,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,130.5,0,1,conf_zoom=0.83|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.882|bounds
19,1762.1,504.3,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,133.1,0,1,conf_zoom=0.82|keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.894|bounds
20,1759.4,502.1,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,135.8,0,1,conf_zoom=0.82|keepin_prop=0.24|keepin_zoom=1.350|edge_zoom=0.905|bounds
21,1756.6,499.8,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,138.6,0,1,conf_zoom=0.81|keepin_prop=0.21|keepin_zoom=1.350|edge_zoom=0.916|bounds
22,1753.8,497.6,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,141.4,0,1,conf_zoom=0.81|keepin_prop=0.19|keepin_zoom=1.350|edge_zoom=0.926|bounds
23,1751.0,495.4,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,144.2,0,1,conf_zoom=0.81|keepin_prop=0.17|keepin_zoom=1.350|edge_zoom=0.935|bounds
24,1748.1,493.3,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,147.1,0,1,conf_zoom=0.81|keepin_prop=0.15|keepin_zoom=1.350|edge_zoom=0.944|bounds
25,1745.2,491.2,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,150.0,0,1,conf_zoom=0.81|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.952|bounds
26,1742.4,489.2,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,152.8,0,1,conf_zoom=0.80|keepin_prop=0.11|keepin_zoom=1.350|edge_zoom=0.959|bounds
27,1739.6,487.3,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,155.6,0,1,conf_zoom=0.80|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.966|bounds
28,1736.8,485.6,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,158.4,0,1,conf_zoom=0.80|keepin_prop=0.08|keepin_zoom=1.350|edge_zoom=0.971|bounds
29,1734.1,483.9,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,161.1,0,1,conf_zoom=0.80|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.976|bounds
30,1731.5,482.4,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,163.7,0,1,conf_zoom=0.80|keepin_prop=0.06|keepin_zoom=1.350|edge_zoom=0.981|bounds
31,1729.0,481.1,interp,0.38,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,166.2,0,1,conf_zoom=0.80|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.984|bounds
