frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1833.2,1015.3,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,62.0,1,0,accel_zoom=0.851|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1832.4,1014.8,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,62.8,1,1,flight_commit=0.67|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1831.6,1014.3,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,63.6,1,1,flight_commit=0.30|conf_zoom=0.99|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1830.6,1013.6,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,64.6,1,1,flight_commit=0.04|conf_zoom=0.92|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1829.4,1012.9,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,65.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1828.2,1012.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,67.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1826.7,1011.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,68.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1825.0,1010.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,70.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1823.1,1008.8,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,72.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1821.0,1007.5,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,74.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1818.6,1005.9,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,76.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1815.8,1004.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,79.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1812.6,1002.1,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,82.6,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1809.1,999.8,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,86.1,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1805.0,997.2,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,90.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1800.4,994.2,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,94.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1795.1,990.8,hold,0.30,1591.2,584.5,1262.5,0.0,657.5,1168.9,1,100.1,1,1,shot_pb=0.00|conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
