frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1385.6,492.4,centroid,0.30,1414.4,540.0,1085.7,0.0,657.5,1168.9,1,275.2,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.920|bounds|final_speed
1,1393.1,504.7,centroid,0.30,1419.8,540.0,1091.0,0.0,657.5,1168.9,1,277.3,0,0,conf_zoom=0.82|edge_zoom=0.997|bounds
2,1401.7,518.8,centroid,0.30,1427.1,540.0,1098.4,0.0,657.5,1168.9,1,278.6,0,0,conf_zoom=0.82|edge_zoom=0.992|bounds
3,1411.5,534.7,centroid,0.30,1436.2,540.0,1107.5,0.0,657.5,1168.9,1,279.3,0,0,shot_pb=0.20|conf_zoom=0.82|edge_zoom=0.984|bounds
4,1422.6,552.9,centroid,0.30,1446.7,540.0,1117.9,0.0,657.5,1168.9,1,279.9,0,0,shot_pb=0.40|conf_zoom=0.82|edge_zoom=0.971|bounds
5,1435.3,573.5,centroid,0.30,1458.0,540.0,1129.3,0.0,657.5,1168.9,1,281.3,0,0,shot_pb=0.60|conf_zoom=0.82|edge_zoom=0.958|bounds
6,1449.8,596.9,centroid,0.30,1470.0,540.0,1141.2,0.0,657.5,1168.9,1,283.8,1,0,accel_zoom=0.902|shot_pb=0.80|conf_zoom=0.82|speed|edge_zoom=0.952|bounds
7,1466.4,623.6,centroid,0.30,1482.1,540.0,1153.4,0.0,657.5,1168.9,1,288.3,1,0,accel_zoom=0.902|shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.952|bounds
8,1485.3,653.8,centroid,0.30,1494.2,540.0,1165.4,0.0,657.5,1168.9,1,295.1,1,0,accel_zoom=0.869|shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.951|bounds
9,1529.2,722.7,hold,0.30,1505.8,540.0,1177.0,0.0,657.5,1168.9,1,280.6,1,0,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.913|bounds
10,1548.3,753.0,hold,0.30,1516.7,540.0,1187.9,0.0,657.5,1168.9,1,272.4,1,0,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.951|bounds
11,1565.1,779.7,hold,0.30,1526.7,540.0,1198.0,0.0,657.5,1168.9,1,265.6,1,0,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.951|bounds
12,1579.9,803.1,hold,0.30,1535.8,540.0,1207.0,0.0,657.5,1168.9,1,259.9,1,1,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.00|keepin_zoom=1.300|speed|edge_zoom=0.951|bounds
13,1592.9,823.7,hold,0.30,1543.7,540.0,1215.0,0.0,657.5,1168.9,1,254.8,1,1,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.02|keepin_zoom=1.300|speed|edge_zoom=0.951|bounds
14,1604.4,841.9,hold,0.30,1550.7,540.0,1221.9,0.0,657.5,1168.9,1,250.3,1,1,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.04|keepin_zoom=1.300|speed|edge_zoom=0.951|bounds
15,1614.5,857.9,hold,0.30,1556.7,540.0,1227.9,0.0,657.5,1168.9,1,246.2,1,1,accel_zoom=0.780|shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.07|keepin_zoom=1.300|speed|edge_zoom=0.949|bounds
16,1623.4,871.9,hold,0.30,1561.8,540.0,1233.1,0.0,657.5,1168.9,1,242.4,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.10|keepin_zoom=1.300|speed|edge_zoom=0.947|bounds
17,1631.2,884.3,hold,0.30,1566.3,540.0,1237.5,0.0,657.5,1168.9,1,239.1,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.13|keepin_zoom=1.300|speed|edge_zoom=0.944|bounds
18,1638.0,895.2,hold,0.30,1570.1,540.0,1241.3,0.0,657.5,1168.9,1,236.1,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.16|keepin_zoom=1.300|speed|edge_zoom=0.941|bounds
19,1644.1,904.8,hold,0.30,1573.4,540.0,1244.7,0.0,657.5,1168.9,1,233.3,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.19|keepin_zoom=1.300|speed|edge_zoom=0.938|bounds
20,1649.4,913.2,hold,0.30,1576.4,540.0,1247.6,0.0,657.5,1168.9,1,231.0,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.22|keepin_zoom=1.300|speed|edge_zoom=0.936|bounds
21,1654.1,920.6,hold,0.30,1578.9,540.0,1250.2,0.0,657.5,1168.9,1,228.8,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.25|keepin_zoom=1.300|speed|edge_zoom=0.934|bounds
22,1658.2,927.1,hold,0.30,1581.2,540.0,1252.4,0.0,657.5,1168.9,1,227.0,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.27|keepin_zoom=1.300|speed|edge_zoom=0.931|bounds
23,1661.8,932.8,hold,0.30,1583.2,540.0,1254.4,0.0,657.5,1168.9,1,225.4,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.29|keepin_zoom=1.300|speed|edge_zoom=0.929|bounds
24,1665.0,937.9,hold,0.30,1584.9,540.0,1256.1,0.0,657.5,1168.9,1,223.9,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.32|keepin_zoom=1.300|speed|edge_zoom=0.928|bounds
25,1667.7,942.3,hold,0.30,1586.3,540.0,1257.6,0.0,657.5,1168.9,1,222.6,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.33|keepin_zoom=1.300|speed|edge_zoom=0.926|bounds
26,1670.2,946.2,hold,0.30,1587.5,540.0,1258.8,0.0,657.5,1168.9,1,221.3,1,1,shot_pb=1.00|conf_zoom=0.82|keepin_prop=0.35|keepin_zoom=1.300|speed|edge_zoom=0.924|bounds
