frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1676.7,344.9,yolo,0.50,1596.5,554.0,1284.9,0.0,623.2,1107.9,1,223.8,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1676.6,345.0,yolo,0.49,1596.8,546.8,1289.2,0.0,615.2,1093.6,1,224.2,0,0,flight_commit=0.83|edge_zoom=0.931|bounds
2,1676.6,345.2,yolo,0.51,1597.0,540.0,1293.6,0.6,606.9,1078.9,1,224.4,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.970|bounds
3,1676.5,345.4,yolo,0.47,1597.2,540.0,1297.8,7.7,598.8,1064.6,1,224.7,0,0,conf_zoom=0.90|conf_speed=0.95|bounds
4,1676.3,345.5,yolo,0.41,1597.3,540.0,1301.5,14.2,591.5,1051.6,1,225.0,0,0,conf_zoom=0.89|conf_speed=0.94|bounds
5,1675.6,345.4,yolo,0.40,1597.1,540.0,1304.4,19.6,585.4,1040.7,1,225.5,0,0,conf_zoom=0.88|conf_speed=0.93|bounds
6,1674.3,345.3,yolo,0.49,1596.6,540.0,1306.1,23.7,580.9,1032.7,1,226.3,0,0,conf_zoom=0.88|conf_speed=0.93|bounds
7,1672.1,345.1,yolo,0.48,1595.6,540.0,1306.5,26.0,578.2,1028.0,1,227.5,0,0,conf_zoom=0.88|conf_speed=0.94|bounds
8,1669.1,344.9,yolo,0.47,1594.0,540.0,1305.2,26.6,577.6,1026.8,1,228.9,0,0,conf_zoom=0.88|conf_speed=0.93|bounds
9,1664.9,344.6,interp,0.38,1591.7,540.0,1302.2,25.4,579.0,1029.3,1,230.8,0,0,conf_zoom=0.87|conf_speed=0.93|bounds
10,1659.8,344.2,yolo,0.43,1588.6,540.0,1297.5,22.5,582.2,1035.1,1,232.8,0,0,conf_zoom=0.86|conf_speed=0.92|edge_zoom=0.980|bounds
11,1653.3,343.8,interp,0.38,1584.6,540.0,1291.0,18.1,587.1,1043.8,1,235.3,0,0,conf_zoom=0.85|conf_speed=0.92|edge_zoom=0.925|bounds
12,1645.8,343.3,yolo,0.45,1579.5,540.0,1282.9,12.6,593.3,1054.8,1,237.7,0,0,flight_commit=0.08|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.924|bounds
13,1636.6,342.8,yolo,0.39,1573.4,540.0,1273.2,6.3,600.4,1067.4,1,240.8,0,0,flight_commit=0.31|conf_zoom=0.99|conf_speed=1.00|edge_zoom=0.923|bounds
14,1626.3,342.2,yolo,0.41,1566.3,540.4,1262.3,0.0,608.0,1080.9,1,244.0,0,0,flight_commit=0.54|edge_zoom=0.923|bounds
15,1614.8,341.5,yolo,0.47,1558.0,547.2,1250.2,0.0,615.6,1094.4,1,247.2,0,0,flight_commit=0.77|edge_zoom=0.923|bounds
16,1602.0,340.8,yolo,0.46,1548.7,553.7,1237.3,0.0,622.9,1107.3,1,250.7,0,0,flight_commit=1.00|edge_zoom=0.922|bounds
17,1588.4,339.9,yolo,0.45,1538.5,559.6,1223.7,0.0,629.6,1119.2,1,254.1,0,0,flight_commit=1.00|edge_zoom=0.922|bounds
18,1574.4,339.1,interp,0.38,1527.4,564.9,1209.6,0.0,635.5,1129.8,1,257.0,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.922|bounds
19,1559.8,338.3,yolo,0.39,1515.6,569.5,1195.3,0.0,640.7,1139.0,1,259.8,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.921|bounds
20,1543.4,337.4,yolo,0.35,1503.3,573.3,1180.8,0.0,644.9,1146.5,1,263.9,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.921|bounds
21,1527.4,336.4,interp,0.38,1490.5,576.3,1166.3,0.0,648.4,1152.6,1,267.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.920|bounds
22,1511.2,335.5,interp,0.38,1477.5,578.7,1152.0,0.0,651.0,1157.4,1,270.3,0,0,accel_zoom=0.944|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.919|bounds
23,1494.8,334.5,interp,0.38,1464.5,580.5,1137.9,0.0,653.1,1161.1,1,273.7,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.921|bounds
24,1478.4,333.5,interp,0.38,1451.5,581.9,1124.2,0.0,654.6,1163.7,1,277.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.918|bounds
25,1462.1,332.5,interp,0.38,1438.7,582.8,1110.8,0.0,655.7,1165.6,1,280.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.916|bounds
26,1446.0,331.6,interp,0.38,1426.1,583.5,1097.9,0.0,656.4,1166.9,1,284.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.917|bounds
27,1430.1,330.6,interp,0.38,1413.9,583.9,1085.5,0.0,656.8,1167.7,1,287.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.913|bounds
28,1414.7,329.7,interp,0.38,1402.0,584.1,1073.5,0.0,657.1,1168.2,1,291.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.917|bounds
