frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1669.7,344.3,yolo,0.50,1591.2,540.0,1262.6,0.0,657.4,1168.6,1,225.5,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1668.6,344.3,yolo,0.49,1591.2,540.0,1262.5,0.0,657.3,1168.5,1,226.6,1,0,flight_commit=0.67|speed|edge_zoom=0.939|bounds
2,1667.6,344.4,yolo,0.51,1591.1,540.0,1262.5,0.0,657.2,1168.4,1,227.5,1,0,flight_commit=0.31|speed|edge_zoom=0.939|bounds
3,1665.9,344.3,interp,0.28,1590.9,540.0,1262.3,0.0,657.1,1168.3,1,229.0,1,0,flight_commit=0.07|conf_zoom=0.98|speed|edge_zoom=0.939|bounds
4,1663.8,344.2,interp,0.28,1590.6,540.0,1262.0,0.0,657.0,1168.0,1,230.8,1,0,conf_zoom=0.92|speed|edge_zoom=0.940|bounds
5,1661.4,344.1,interp,0.28,1590.1,540.0,1261.6,0.0,656.8,1167.7,1,232.7,1,0,conf_zoom=0.90|speed|edge_zoom=0.940|bounds
6,1658.6,344.0,interp,0.28,1589.3,540.0,1261.0,0.0,656.6,1167.3,1,234.7,1,0,conf_zoom=0.89|speed|edge_zoom=0.940|bounds
7,1655.3,343.8,interp,0.28,1588.3,540.0,1260.1,0.0,656.2,1166.6,1,237.0,1,0,conf_zoom=0.87|speed|edge_zoom=0.941|bounds
8,1651.5,343.5,interp,0.28,1586.7,540.0,1258.9,0.0,655.8,1165.8,1,239.2,1,0,conf_zoom=0.86|speed|edge_zoom=0.941|bounds
9,1647.1,343.3,interp,0.28,1584.7,540.0,1257.0,0.0,655.2,1164.8,1,241.6,1,0,conf_zoom=0.85|speed|edge_zoom=0.941|bounds
10,1642.0,342.9,interp,0.28,1581.9,540.0,1254.6,0.0,654.6,1163.7,1,243.9,1,0,conf_zoom=0.85|speed|edge_zoom=0.942|bounds
11,1636.1,342.6,interp,0.28,1578.2,540.0,1251.2,0.0,653.9,1162.5,1,246.1,1,0,conf_zoom=0.84|speed|edge_zoom=0.942|bounds
12,1629.4,342.2,interp,0.28,1573.5,540.0,1246.9,0.0,653.2,1161.2,1,248.1,1,0,shot_pb=0.00|conf_zoom=0.83|speed|edge_zoom=0.942|bounds
13,1621.7,341.7,interp,0.28,1567.6,540.0,1241.4,0.0,652.5,1160.1,1,249.9,1,0,shot_pb=0.00|conf_zoom=0.83|speed|edge_zoom=0.942|bounds
14,1612.9,341.1,yolo,0.41,1560.5,540.0,1234.5,0.0,652.0,1159.1,1,251.6,1,0,conf_zoom=0.84|speed|edge_zoom=0.942|bounds
