frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,682.2,367.0,hold,0.22,696.1,540.0,367.3,0.0,657.5,1168.9,1,290.1,1,0,accel_zoom=0.852|conf_zoom=0.76|edge_zoom=0.750|bounds|final_speed
1,684.2,368.1,hold,0.22,698.1,540.0,369.3,0.0,657.5,1168.9,1,290.1,0,0,conf_zoom=0.76|edge_zoom=0.951|bounds
2,686.5,369.4,yolo,0.28,700.8,540.0,372.0,0.0,657.5,1168.9,1,289.7,0,0,conf_zoom=0.77|edge_zoom=0.953|bounds
3,689.1,370.9,interp,0.28,704.1,540.0,375.3,0.0,657.5,1168.9,1,289.0,0,0,conf_zoom=0.77|edge_zoom=0.954|bounds
4,692.1,372.6,yolo,0.31,708.0,540.0,379.2,0.0,657.5,1168.9,1,288.1,0,0,conf_zoom=0.78|edge_zoom=0.956|bounds
5,695.3,374.5,yolo,0.33,712.3,540.0,383.6,0.0,657.5,1168.9,1,287.0,0,0,conf_zoom=0.79|edge_zoom=0.957|bounds
6,699.3,376.7,interp,0.28,717.3,540.0,388.5,0.0,657.5,1168.9,1,286.0,0,0,conf_zoom=0.79|edge_zoom=0.959|bounds
7,703.8,379.2,interp,0.28,722.8,540.0,394.1,0.0,657.5,1168.9,1,285.0,0,0,conf_zoom=0.79|edge_zoom=0.961|bounds
8,708.9,382.0,interp,0.28,729.1,540.0,400.4,0.0,657.5,1168.9,1,283.8,0,0,conf_zoom=0.79|edge_zoom=0.963|bounds
9,714.9,385.1,interp,0.28,736.3,540.0,407.5,0.0,657.5,1168.9,1,282.6,0,0,conf_zoom=0.80|edge_zoom=0.966|bounds
10,721.6,388.7,yolo,0.30,744.5,540.0,415.7,0.0,657.5,1168.9,1,281.1,0,0,conf_zoom=0.80|edge_zoom=0.968|bounds
11,729.5,392.8,yolo,0.33,753.9,540.0,425.2,0.0,657.5,1168.9,1,279.6,0,0,conf_zoom=0.81|edge_zoom=0.971|bounds
12,738.4,397.5,yolo,0.37,764.7,540.0,435.9,0.0,657.5,1168.9,1,277.7,0,0,conf_zoom=0.82|edge_zoom=0.973|bounds
13,748.5,402.7,interp,0.28,776.8,540.0,448.1,0.0,657.5,1168.9,1,275.7,0,0,conf_zoom=0.81|edge_zoom=0.976|bounds
14,759.9,408.6,interp,0.28,790.5,540.0,461.8,0.0,657.5,1168.9,1,273.4,0,0,shot_pb=0.40|conf_zoom=0.81|edge_zoom=0.977|bounds
15,772.7,415.3,yolo,0.35,805.8,540.0,477.0,0.0,657.5,1168.9,1,270.9,0,0,shot_pb=0.60|conf_zoom=0.82|edge_zoom=0.978|bounds
16,788.6,423.8,interp,0.28,822.4,540.0,493.6,0.0,657.5,1168.9,1,270.2,0,0,shot_pb=0.80|conf_zoom=0.82|edge_zoom=0.979|bounds
17,805.8,433.1,interp,0.28,840.3,540.0,511.5,0.0,657.5,1168.9,1,269.5,0,0,accel_zoom=0.939|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.979|bounds
18,824.2,443.1,interp,0.28,859.2,540.0,530.4,0.0,657.5,1168.9,1,269.0,0,0,accel_zoom=0.922|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.982|bounds
19,843.6,453.7,interp,0.28,878.8,540.0,550.0,0.0,657.5,1168.9,1,268.8,0,0,accel_zoom=0.921|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.987|bounds
20,863.9,464.8,interp,0.28,898.7,540.0,569.9,0.0,657.5,1168.9,1,269.2,0,0,accel_zoom=0.920|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.993|bounds
21,885.0,476.4,interp,0.28,918.6,540.0,589.8,0.0,657.5,1168.9,1,270.4,0,0,accel_zoom=0.919|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.997|bounds
22,906.8,488.3,yolo,0.32,938.0,540.0,609.3,0.0,657.5,1168.9,1,272.8,0,0,accel_zoom=0.918|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.999|bounds
23,940.4,507.1,yolo,0.30,956.7,540.0,627.9,0.0,657.5,1168.9,1,287.7,0,0,accel_zoom=0.872|shot_pb=1.00|conf_zoom=0.81|edge_zoom=0.993|bounds
24,958.6,517.1,none,0.15,974.2,540.0,645.4,0.0,657.5,1168.9,1,288.4,0,0,accel_zoom=0.872|shot_pb=1.00|conf_zoom=0.80|edge_zoom=0.991|bounds
25,974.5,526.0,none,0.15,990.4,540.0,661.6,0.0,657.5,1168.9,1,288.1,0,0,accel_zoom=0.872|shot_pb=1.00|conf_zoom=0.78|edge_zoom=0.990|bounds
26,988.5,533.7,none,0.15,1005.2,540.0,676.4,0.0,657.5,1168.9,1,287.3,0,0,shot_pb=1.00|conf_zoom=0.77|edge_zoom=0.989|bounds
27,1000.9,540.6,none,0.15,1018.4,540.0,689.6,0.0,657.5,1168.9,1,286.5,0,1,shot_pb=1.00|conf_zoom=0.76|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.997|bounds
28,1011.7,546.6,none,0.15,1030.1,540.0,701.3,0.0,657.5,1168.9,1,285.6,0,0,shot_pb=1.00|conf_zoom=0.75|edge_zoom=0.981|bounds
29,1021.3,551.9,none,0.15,1040.4,540.0,711.6,0.0,657.5,1168.9,1,284.9,0,1,shot_pb=1.00|conf_zoom=0.75|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.994|bounds
30,1029.7,556.5,none,0.15,1049.3,540.0,720.5,0.0,657.5,1168.9,1,284.4,0,0,shot_pb=1.00|conf_zoom=0.74|edge_zoom=0.977|bounds
31,1037.1,560.6,none,0.15,1057.0,540.0,728.2,0.0,657.5,1168.9,1,284.1,0,0,shot_pb=1.00|conf_zoom=0.74|edge_zoom=0.979|bounds
32,1043.6,564.2,none,0.15,1063.6,540.0,734.9,0.0,657.5,1168.9,1,284.0,0,1,shot_pb=1.00|conf_zoom=0.73|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.991|bounds
33,1049.4,567.4,none,0.15,1069.3,540.0,740.6,0.0,657.5,1168.9,1,284.1,0,0,shot_pb=1.00|conf_zoom=0.73|edge_zoom=0.974|bounds
34,1054.4,570.2,none,0.15,1074.2,540.0,745.5,0.0,657.5,1168.9,1,284.2,0,1,shot_pb=1.00|conf_zoom=0.73|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.989|bounds
35,1058.9,572.6,none,0.15,1078.5,540.0,749.7,0.0,657.5,1168.9,1,284.4,0,0,shot_pb=1.00|conf_zoom=0.72|edge_zoom=0.972|bounds
36,1062.8,574.8,none,0.15,1082.1,540.0,753.4,0.0,657.5,1168.9,1,284.7,0,1,shot_pb=1.00|conf_zoom=0.72|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.987|bounds
37,1066.2,576.7,none,0.15,1085.3,540.0,756.6,0.0,657.5,1168.9,1,284.9,0,0,shot_pb=1.00|conf_zoom=0.72|edge_zoom=0.971|bounds
38,1069.2,578.4,none,0.15,1088.2,540.0,759.4,0.0,657.5,1168.9,1,285.0,0,1,shot_pb=1.00|conf_zoom=0.72|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.986|bounds
39,1071.9,579.8,none,0.15,1090.7,540.0,761.9,0.0,657.5,1168.9,1,285.2,0,0,shot_pb=1.00|conf_zoom=0.72|edge_zoom=0.970|bounds
40,1074.3,581.1,none,0.15,1092.9,540.0,764.1,0.0,657.5,1168.9,1,285.4,0,1,shot_pb=1.00|conf_zoom=0.72|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.985|bounds
41,1076.3,582.3,none,0.15,1094.9,540.0,766.2,0.0,657.5,1168.9,1,285.4,0,0,shot_pb=1.00|conf_zoom=0.71|edge_zoom=0.969|bounds
42,1078.1,583.3,none,0.15,1096.8,540.0,768.0,0.0,657.5,1168.9,1,285.3,0,1,shot_pb=1.00|conf_zoom=0.71|keepin_prop=0.00|keepin_zoom=1.300|edge_zoom=0.984|bounds
43,1079.7,584.2,none,0.15,1098.5,540.0,769.7,0.0,657.5,1168.9,1,285.2,0,0,shot_pb=1.00|conf_zoom=0.71|edge_zoom=0.969|bounds
44,1081.1,584.9,none,0.15,1100.0,540.0,771.3,0.0,657.5,1168.9,1,285.1,0,1,shot_pb=1.00|conf_zoom=0.71|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.984|bounds
45,1082.4,585.6,none,0.15,1101.5,540.0,772.7,0.0,657.5,1168.9,1,284.9,0,0,shot_pb=1.00|conf_zoom=0.71|edge_zoom=0.968|bounds
46,1083.5,586.2,none,0.15,1102.8,540.0,774.0,0.0,657.5,1168.9,1,284.7,0,1,shot_pb=1.00|conf_zoom=0.71|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.984|bounds
47,1084.4,586.8,none,0.15,1104.0,540.0,775.2,0.0,657.5,1168.9,1,284.4,0,0,shot_pb=1.00|conf_zoom=0.71|edge_zoom=0.968|bounds
48,1085.3,587.2,none,0.15,1105.1,540.0,776.4,0.0,657.5,1168.9,1,284.2,0,1,shot_pb=1.00|conf_zoom=0.71|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.983|bounds
49,1086.0,587.6,none,0.15,1106.2,540.0,777.4,0.0,657.5,1168.9,1,283.8,0,0,shot_pb=1.00|conf_zoom=0.71|edge_zoom=0.968|bounds
50,1086.7,588.0,none,0.15,1107.1,540.0,778.4,0.0,657.5,1168.9,1,283.6,0,1,shot_pb=1.00|conf_zoom=0.71|keepin_prop=0.01|keepin_zoom=1.300|edge_zoom=0.983|bounds
51,1087.2,588.3,none,0.15,1108.0,540.0,779.2,0.0,657.5,1168.9,1,283.2,0,0,shot_pb=1.00|conf_zoom=0.71|edge_zoom=0.967|bounds
