frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,358.6,992.6,centroid,0.30,363.5,584.5,34.7,0.0,657.5,1168.9,1,176.3,1,0,accel_zoom=0.851|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,359.8,992.9,centroid,0.30,364.1,584.5,35.4,0.0,657.5,1168.9,1,176.0,1,1,flight_commit=0.68|keepin_prop=0.97|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,361.1,993.1,centroid,0.30,365.0,584.5,36.3,0.0,657.5,1168.9,1,175.8,1,1,flight_commit=0.33|conf_zoom=1.00|keepin_prop=0.98|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,362.5,993.4,centroid,0.30,366.2,584.5,37.4,0.0,657.5,1168.9,1,175.5,1,1,flight_commit=0.07|conf_zoom=0.93|keepin_prop=0.98|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,364.1,993.7,centroid,0.30,367.6,584.5,38.8,0.0,657.5,1168.9,1,175.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,365.9,994.0,centroid,0.30,369.2,584.5,40.4,0.0,657.5,1168.9,1,174.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,367.8,994.4,centroid,0.30,371.1,584.5,42.3,0.0,657.5,1168.9,1,174.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,369.9,994.7,centroid,0.30,373.2,584.5,44.4,0.0,657.5,1168.9,1,174.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,372.2,995.1,centroid,0.30,375.5,584.5,46.8,0.0,657.5,1168.9,1,173.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,374.7,995.5,centroid,0.30,378.1,584.5,49.4,0.0,657.5,1168.9,1,173.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,377.4,996.0,centroid,0.30,381.0,584.5,52.2,0.0,657.5,1168.9,1,172.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
