frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,269.4,407.9,hold,0.30,318.5,566.2,0.0,0.0,637.0,1132.4,1,254.9,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.764|bounds|final_speed
1,268.8,415.7,blended,0.72,316.5,562.7,0.0,0.0,633.1,1125.4,1,256.3,0,0,flight_commit=1.00|edge_zoom=0.987|bounds
2,266.5,416.7,blended,0.72,315.3,559.2,0.7,0.0,629.1,1118.5,1,255.2,0,0,flight_commit=0.63|edge_zoom=0.970|bounds
3,262.1,410.9,interp,0.38,314.4,556.0,1.7,0.0,625.5,1111.9,1,251.7,0,0,flight_commit=0.59|edge_zoom=0.943|bounds
4,258.6,411.1,interp,0.38,313.5,553.0,2.4,0.0,622.2,1106.1,1,249.1,0,0,flight_commit=0.37|edge_zoom=0.935|bounds
5,254.9,411.6,interp,0.38,312.6,550.6,2.9,0.0,619.4,1101.2,1,246.3,0,0,flight_commit=0.21|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.932|bounds
6,251.1,412.4,interp,0.38,311.9,548.6,3.2,0.0,617.2,1097.3,1,243.2,0,0,flight_commit=0.10|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.937|bounds
7,247.2,413.5,interp,0.38,311.2,547.2,3.4,0.0,615.6,1094.5,1,240.0,0,0,flight_commit=0.03|conf_zoom=0.92|conf_speed=0.95|edge_zoom=0.941|bounds
8,244.9,420.4,blended,0.72,310.7,546.3,3.5,0.0,614.6,1092.5,1,238.2,0,0,flight_commit=0.14|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.965|bounds
9,238.4,420.6,blended,0.72,310.4,545.7,3.5,0.0,613.9,1091.3,1,232.0,0,0,flight_commit=0.18|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.922|bounds
10,232.5,414.7,interp,0.38,310.2,545.2,3.5,0.0,613.4,1090.4,1,226.3,0,0,flight_commit=0.30|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.923|bounds
11,229.2,414.4,interp,0.38,310.1,544.8,3.6,0.0,612.9,1089.5,1,223.1,0,0,flight_commit=0.14|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.918|bounds
12,226.2,414.3,interp,0.38,310.0,544.1,3.9,0.0,612.1,1088.2,1,220.2,0,0,flight_commit=0.00|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.940|bounds
13,217.1,414.3,interp,0.38,309.9,543.1,4.4,0.0,611.0,1086.1,1,211.2,0,0,flight_commit=0.21|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.925|bounds
14,214.9,414.6,interp,0.38,309.8,541.6,5.1,0.0,609.3,1083.1,1,209.1,0,0,flight_commit=0.02|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.943|bounds
15,214.8,415.2,interp,0.38,309.6,540.0,6.1,0.5,607.0,1079.1,1,209.2,0,1,conf_zoom=0.83|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.91|edge_zoom=0.958|bounds
16,227.4,416.3,interp,0.38,309.3,540.0,7.3,3.0,604.1,1074.0,1,222.1,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.977|bounds
17,231.0,417.3,interp,0.38,309.0,540.0,8.6,5.9,600.9,1068.2,1,226.0,0,0,flight_commit=0.10|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.978|bounds
18,234.6,418.3,interp,0.38,308.6,540.0,9.9,9.0,597.3,1061.9,1,230.0,0,0,flight_commit=0.02|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.979|bounds
19,238.3,419.5,interp,0.38,308.2,540.0,11.4,12.3,593.6,1055.3,1,234.1,0,0,conf_zoom=0.82|conf_speed=0.90|edge_zoom=0.980|bounds
20,242.0,420.8,interp,0.38,307.7,540.0,12.7,15.6,589.9,1048.8,1,238.3,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.981|bounds
21,245.8,422.2,interp,0.38,307.3,540.0,14.1,18.8,586.4,1042.5,1,242.5,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.982|bounds
22,249.7,423.6,interp,0.38,306.9,540.0,15.3,21.7,583.1,1036.6,1,246.8,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.984|bounds
23,253.6,425.1,interp,0.38,306.5,540.0,16.5,24.5,580.0,1031.0,1,251.1,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.986|bounds
24,257.6,426.7,interp,0.38,306.3,540.0,17.8,27.1,577.0,1025.8,1,255.3,0,0,conf_zoom=0.81|conf_speed=0.89|edge_zoom=0.987|bounds
25,261.7,428.3,interp,0.38,306.2,540.0,19.2,29.7,574.1,1020.6,1,259.5,0,0,conf_zoom=0.81|conf_speed=0.89|edge_zoom=0.989|bounds
26,265.9,430.0,interp,0.38,306.3,540.0,20.7,32.3,571.1,1015.4,1,263.6,0,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.990|bounds
27,270.2,431.8,interp,0.38,306.6,540.0,22.6,35.1,568.0,1009.7,1,267.6,0,0,shot_pb=0.00|conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.991|bounds
