frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,996.2,873.2,centroid,0.30,967.1,540.0,638.3,0.0,657.5,1168.9,1,274.9,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,983.0,873.0,centroid,0.30,962.3,540.0,633.5,0.0,657.5,1168.9,1,283.3,1,1,flight_commit=1.00|keepin_prop=0.66|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,968.5,872.7,centroid,0.30,955.9,540.0,627.1,0.0,657.5,1168.9,1,291.4,1,1,flight_commit=1.00|keepin_prop=0.66|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,952.8,872.5,centroid,0.30,948.0,540.0,619.2,0.0,657.5,1168.9,1,296.4,1,1,shot_pb=0.20|flight_commit=1.00|keepin_prop=0.66|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,935.8,872.2,centroid,0.30,938.7,540.0,609.9,0.0,657.5,1168.9,1,296.7,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,917.9,872.0,centroid,0.30,928.2,540.0,599.4,0.0,657.5,1168.9,1,293.7,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,898.9,871.9,centroid,0.30,916.6,540.0,587.8,0.0,657.5,1168.9,1,286.3,1,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,879.0,871.8,centroid,0.30,904.1,540.0,575.3,0.0,657.5,1168.9,1,278.9,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,858.3,871.7,centroid,0.30,890.7,540.0,561.9,0.0,657.5,1168.9,1,271.6,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,836.9,871.7,centroid,0.30,876.5,540.0,547.8,0.0,657.5,1168.9,1,264.4,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,814.8,871.8,centroid,0.30,861.7,540.0,532.9,0.0,657.5,1168.9,1,257.1,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,792.1,872.1,centroid,0.30,846.2,540.0,517.4,0.0,657.5,1168.9,1,249.9,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,768.9,872.4,centroid,0.30,830.2,540.0,501.4,0.0,657.5,1168.9,1,242.7,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,745.3,872.8,centroid,0.30,813.7,540.0,485.0,0.0,657.5,1168.9,1,235.6,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,721.4,873.4,centroid,0.30,796.9,540.0,468.2,0.0,657.5,1168.9,1,228.5,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.66|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,697.3,874.1,centroid,0.30,779.8,540.0,451.1,0.0,657.5,1168.9,1,221.5,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.66|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,673.1,875.0,centroid,0.30,762.6,540.0,433.8,0.0,657.5,1168.9,1,214.5,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.67|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,648.9,876.0,centroid,0.30,745.2,540.0,416.4,0.0,657.5,1168.9,1,207.7,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.67|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,624.9,877.2,centroid,0.30,727.8,540.0,399.1,0.0,657.5,1168.9,1,201.1,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.68|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,601.2,878.5,centroid,0.30,710.6,540.0,381.8,0.0,657.5,1168.9,1,194.6,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.68|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,577.8,880.0,centroid,0.30,693.4,540.0,364.7,0.0,657.5,1168.9,1,188.4,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.69|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
21,555.0,881.7,centroid,0.30,676.6,540.0,347.8,0.0,657.5,1168.9,1,182.4,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.70|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
22,532.7,883.6,centroid,0.30,660.1,540.0,331.3,0.0,657.5,1168.9,1,176.6,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.71|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
23,511.3,885.6,centroid,0.30,644.0,540.0,315.2,0.0,657.5,1168.9,1,171.3,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.72|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
24,490.6,887.7,centroid,0.30,628.4,540.0,299.6,0.0,657.5,1168.9,1,166.2,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.73|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
25,470.9,890.0,centroid,0.30,613.4,540.0,284.6,0.0,657.5,1168.9,1,161.5,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.75|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
26,452.2,892.5,centroid,0.30,599.0,540.0,270.3,0.0,657.5,1168.9,1,157.2,1,1,accel_zoom=0.910|shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.76|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
27,434.6,895.0,centroid,0.30,585.4,540.0,256.6,0.0,657.5,1168.9,1,153.2,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.77|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
28,418.2,897.7,centroid,0.30,572.5,540.0,243.7,0.0,657.5,1168.9,1,149.7,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.79|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
29,402.9,900.4,centroid,0.30,560.4,540.0,231.6,0.0,657.5,1168.9,1,146.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.81|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
30,389.0,903.2,centroid,0.30,549.2,540.0,220.4,0.0,657.5,1168.9,1,143.8,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.82|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
31,376.4,906.0,centroid,0.30,538.9,540.0,210.1,0.0,657.5,1168.9,1,141.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.84|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
32,365.0,908.9,centroid,0.30,529.5,540.0,200.7,0.0,657.5,1168.9,1,139.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.85|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
33,355.1,911.7,centroid,0.30,521.1,540.0,192.3,0.0,657.5,1168.9,1,138.0,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.87|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
34,346.4,914.4,centroid,0.30,513.6,540.0,184.9,0.0,657.5,1168.9,1,136.8,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.88|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
35,339.1,917.2,centroid,0.30,507.2,540.0,178.4,0.0,657.5,1168.9,1,135.9,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.89|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
36,333.2,919.8,centroid,0.30,501.7,540.0,172.9,0.0,657.5,1168.9,1,135.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.90|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
37,328.5,922.3,centroid,0.30,497.2,540.0,168.5,0.0,657.5,1168.9,1,135.3,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.90|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
38,325.1,924.7,centroid,0.30,493.8,540.0,165.0,0.0,657.5,1168.9,1,135.3,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.90|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
39,323.1,927.0,centroid,0.30,491.3,540.0,162.5,0.0,657.5,1168.9,1,135.8,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.89|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
40,322.3,929.1,centroid,0.30,489.8,540.0,161.0,0.0,657.5,1168.9,1,136.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.87|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
41,322.7,931.0,centroid,0.30,489.3,540.0,160.5,0.0,657.5,1168.9,1,137.4,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.88|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
42,324.4,932.8,centroid,0.30,489.7,540.0,161.0,0.0,657.5,1168.9,1,138.7,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.93|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
43,327.2,934.4,centroid,0.30,491.1,540.0,162.4,0.0,657.5,1168.9,1,140.1,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.99|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
44,331.2,935.8,centroid,0.30,493.4,540.0,164.7,0.0,657.5,1168.9,1,141.8,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
45,336.3,937.0,centroid,0.30,496.7,540.0,167.9,0.0,657.5,1168.9,1,143.6,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
46,342.6,937.9,centroid,0.30,500.8,540.0,172.1,0.0,657.5,1168.9,1,145.8,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
47,349.9,938.7,centroid,0.30,505.9,540.0,177.1,0.0,657.5,1168.9,1,148.0,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
48,358.3,939.3,centroid,0.30,511.8,540.0,183.0,0.0,657.5,1168.9,1,150.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
49,367.8,939.6,centroid,0.30,518.5,540.0,189.8,0.0,657.5,1168.9,1,153.3,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
50,378.3,939.7,centroid,0.30,526.1,540.0,197.4,0.0,657.5,1168.9,1,156.2,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
51,390.0,939.6,centroid,0.30,534.5,540.0,205.8,0.0,657.5,1168.9,1,159.5,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
52,402.7,939.2,centroid,0.30,543.7,540.0,215.0,0.0,657.5,1168.9,1,163.0,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
53,417.7,938.4,centroid,0.30,553.7,540.0,225.0,0.0,657.5,1168.9,1,168.0,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
54,432.8,937.6,centroid,0.30,564.5,540.0,235.7,0.0,657.5,1168.9,1,172.3,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
