frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1124.4,728.8,yolo,0.31,1136.8,540.0,808.1,0.0,657.5,1168.9,1,291.6,1,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1125.8,728.8,yolo,0.31,1137.9,540.0,809.1,0.0,657.5,1168.9,1,291.9,0,0,flight_commit=0.69|edge_zoom=0.905|bounds
2,1127.5,728.9,yolo,0.37,1139.1,540.0,810.4,0.0,657.5,1168.9,1,292.4,0,0,flight_commit=0.35|edge_zoom=0.905|bounds
3,1129.5,729.0,yolo,0.40,1140.6,540.0,811.8,0.0,657.5,1168.9,1,292.9,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.905|bounds
4,1131.8,729.1,yolo,0.48,1142.0,540.0,813.2,0.0,657.5,1168.9,1,293.8,1,0,conf_zoom=0.78|conf_speed=0.88|speed|edge_zoom=0.907|bounds
5,1134.2,729.2,yolo,0.53,1143.4,540.0,814.6,0.0,657.5,1168.9,1,294.8,0,1,conf_zoom=0.80|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.89|edge_zoom=0.943|bounds
6,1136.8,729.3,yolo,0.56,1144.7,540.0,815.9,0.0,657.5,1168.9,1,296.1,0,1,conf_zoom=0.83|keepin_prop=0.02|keepin_zoom=1.350|conf_speed=0.90|edge_zoom=0.970|bounds
7,1139.5,729.4,yolo,0.54,1145.9,540.0,817.1,0.0,657.5,1168.9,1,297.6,0,1,conf_zoom=0.84|keepin_prop=0.03|keepin_zoom=1.350|edge_zoom=0.982|bounds
8,1142.5,729.6,yolo,0.56,1147.0,540.0,818.2,0.0,657.5,1168.9,1,299.5,0,1,conf_zoom=0.86|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.987|bounds
9,1145.6,729.8,yolo,0.57,1148.0,540.0,819.2,0.0,657.5,1168.9,1,301.6,0,1,conf_zoom=0.88|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.987|bounds
10,1148.9,729.9,yolo,0.58,1149.0,540.0,820.2,0.0,657.5,1168.9,1,303.9,0,1,conf_zoom=0.89|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.987|bounds
11,1152.3,730.1,yolo,0.58,1150.0,540.0,821.2,0.0,657.5,1168.9,1,301.7,0,1,conf_zoom=0.91|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.986|bounds
