frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1191.7,531.0,hold,0.30,1183.6,540.0,878.5,0.0,610.2,1084.7,1,295.9,0,0,accel_zoom=0.852|flight_commit=1.00|person_ctx=4|edge_zoom=0.992|bounds
1,1189.4,531.0,hold,0.30,1182.2,540.0,880.1,2.9,604.2,1074.2,1,296.8,0,0,flight_commit=0.74|edge_zoom=0.994|bounds
2,1186.8,531.0,hold,0.30,1180.4,540.0,881.2,8.1,598.4,1063.8,1,297.6,0,0,flight_commit=0.43|edge_zoom=0.996|bounds
3,1183.8,530.9,hold,0.30,1178.1,540.0,881.6,13.0,592.9,1054.1,1,298.3,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.997|bounds
4,1180.4,530.8,hold,0.30,1175.2,540.0,881.2,17.3,588.0,1045.3,1,298.8,0,0,flight_commit=0.09|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.999|bounds
5,1176.5,530.8,hold,0.30,1171.8,540.0,879.9,21.0,583.8,1037.9,1,299.3,0,0,flight_commit=0.01|conf_zoom=0.91|conf_speed=0.95|bounds
6,1172.2,530.7,hold,0.30,1167.8,540.0,877.5,24.0,580.5,1032.1,1,299.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,1167.2,530.6,hold,0.30,1163.3,540.0,874.1,25.9,578.3,1028.2,1,300.1,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.999|bounds
8,1161.5,530.5,hold,0.30,1158.1,540.0,869.5,26.8,577.3,1026.3,1,300.6,0,0,flight_commit=0.02|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.997|bounds
9,1155.1,530.4,hold,0.30,1152.5,540.0,863.7,26.6,577.5,1026.7,1,301.4,0,0,flight_commit=0.09|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.996|bounds
10,1147.8,530.2,hold,0.30,1146.4,540.0,856.9,25.3,579.1,1029.5,1,302.6,0,0,shot_pb=0.00|flight_commit=0.18|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.994|bounds
11,1139.5,530.1,hold,0.30,1140.1,540.0,849.1,22.7,581.9,1034.5,1,303.4,0,0,flight_commit=0.30|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.993|bounds
12,1130.1,529.9,hold,0.30,1133.6,540.0,840.6,19.1,586.0,1041.7,1,300.5,0,0,flight_commit=0.45|edge_zoom=0.992|bounds
13,1119.3,529.7,hold,0.30,1127.3,540.0,831.8,14.6,591.0,1050.7,1,296.0,0,0,flight_commit=0.62|edge_zoom=0.991|bounds
14,1089.8,531.3,centroid,0.30,1121.3,540.0,822.9,9.5,596.8,1061.0,1,272.5,0,0,accel_zoom=0.926|shot_pb=0.20|flight_commit=1.00|edge_zoom=0.985|bounds
15,1081.3,530.2,centroid,0.30,1115.8,540.0,814.4,4.0,603.0,1071.9,1,269.5,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.991|bounds
16,1075.2,528.6,centroid,0.30,1111.2,540.0,806.6,0.0,609.1,1082.9,1,268.0,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.996|bounds
17,1071.1,526.8,centroid,0.30,1107.4,540.0,799.9,0.0,615.0,1093.2,1,267.7,0,0,shot_pb=0.80|flight_commit=1.00|person_ctx=4|bounds
18,1068.8,524.7,centroid,0.30,1104.7,540.0,794.6,0.0,620.2,1102.6,1,268.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.999|bounds
19,1067.9,522.5,centroid,0.30,1103.1,540.0,790.7,0.0,624.7,1110.6,1,268.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
20,1068.2,520.2,centroid,0.30,1102.5,540.0,788.3,0.0,628.3,1117.0,1,269.7,0,0,shot_pb=1.00|flight_commit=1.00|bounds
21,1069.6,518.0,centroid,0.30,1102.9,540.0,787.3,0.0,631.1,1121.9,1,270.7,0,0,shot_pb=1.00|flight_commit=1.00|bounds
22,1071.7,515.7,centroid,0.30,1104.1,540.0,787.5,0.0,633.1,1125.5,1,271.6,0,0,shot_pb=1.00|flight_commit=1.00|bounds
23,1074.4,513.5,centroid,0.30,1106.0,540.0,788.7,0.0,634.6,1128.2,1,272.4,0,0,shot_pb=1.00|flight_commit=1.00|bounds
24,1077.6,511.5,centroid,0.30,1108.5,540.0,790.7,0.0,635.6,1130.0,1,273.1,0,0,shot_pb=1.00|flight_commit=1.00|bounds
25,1081.2,509.6,centroid,0.30,1111.3,540.0,793.2,0.0,636.2,1131.1,1,273.9,0,0,shot_pb=1.00|flight_commit=1.00|bounds
26,1085.0,507.9,centroid,0.30,1114.2,540.0,796.0,0.0,636.5,1131.5,1,274.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
27,1088.9,506.3,centroid,0.30,1117.2,540.0,799.1,0.0,636.2,1131.1,1,275.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|bounds
28,1092.9,505.0,centroid,0.30,1120.0,540.0,802.2,0.0,635.5,1129.8,1,276.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|bounds
29,1096.8,503.9,centroid,0.30,1122.6,540.0,805.5,0.0,634.3,1127.6,1,278.2,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|bounds
30,1100.7,503.1,centroid,0.30,1124.9,540.0,808.7,0.0,632.4,1124.3,1,279.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|bounds
31,1104.5,502.5,centroid,0.30,1127.0,540.0,811.9,0.0,630.1,1120.2,1,281.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|bounds
32,1108.1,502.1,centroid,0.30,1128.6,540.0,815.0,0.0,627.4,1115.3,1,283.5,0,0,shot_pb=1.00|flight_commit=0.89|person_ctx=3|bounds
33,1111.6,502.0,centroid,0.30,1130.0,540.0,817.9,0.0,624.3,1109.9,1,285.6,0,0,flight_commit=0.79|person_ctx=4|bounds
34,1114.8,502.2,centroid,0.30,1131.1,540.0,820.6,0.0,621.0,1104.0,1,287.7,0,0,flight_commit=0.50|person_ctx=4|bounds
35,1117.8,502.5,centroid,0.30,1131.9,540.0,823.1,0.0,617.7,1098.0,1,289.9,0,0,flight_commit=0.28|conf_zoom=0.99|conf_speed=0.99|bounds
36,1120.6,503.1,centroid,0.30,1132.6,540.0,825.4,0.0,614.3,1092.1,1,292.0,0,0,flight_commit=0.10|conf_zoom=0.94|conf_speed=0.97|bounds
37,1123.2,504.0,centroid,0.30,1133.0,540.0,827.5,0.0,611.1,1086.4,1,294.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
38,1125.5,505.1,centroid,0.30,1133.3,540.0,829.3,0.0,608.1,1081.0,1,296.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
39,1127.7,506.3,centroid,0.30,1133.5,540.0,830.9,2.0,605.3,1076.1,1,298.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
40,1129.5,507.9,centroid,0.30,1133.7,540.0,832.3,4.2,602.8,1071.6,1,299.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
41,1131.2,509.6,centroid,0.30,1133.7,540.0,833.5,6.2,600.5,1067.6,1,301.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
42,1132.7,511.5,centroid,0.30,1133.8,540.0,834.5,8.0,598.5,1064.1,1,302.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
43,1133.9,513.6,centroid,0.30,1133.8,540.0,835.4,9.5,596.9,1061.1,1,303.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
44,1135.0,515.9,centroid,0.30,1133.8,540.0,836.0,10.7,595.5,1058.7,1,302.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
45,1135.9,518.4,centroid,0.30,1133.8,540.0,836.5,11.6,594.5,1056.9,1,301.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
46,1136.5,521.1,centroid,0.30,1133.7,540.0,836.8,12.2,593.8,1055.6,1,301.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
47,1137.0,523.9,centroid,0.30,1133.7,540.0,837.0,12.6,593.3,1054.8,1,300.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
48,1137.2,526.8,centroid,0.30,1133.5,540.0,836.9,12.7,593.2,1054.6,1,300.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
49,1137.3,530.0,centroid,0.30,1133.4,540.0,836.8,12.7,593.2,1054.5,1,300.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
50,1137.1,533.2,centroid,0.30,1133.1,540.0,836.4,12.6,593.3,1054.8,1,300.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
51,1136.8,536.6,centroid,0.30,1132.7,540.0,836.0,12.5,593.5,1055.1,1,299.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
52,1136.2,540.1,centroid,0.30,1132.2,540.0,835.4,12.4,593.6,1055.3,1,300.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
53,1135.4,543.7,centroid,0.30,1131.5,540.0,834.8,12.4,593.5,1055.2,1,300.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
54,1134.4,547.4,centroid,0.30,1130.7,540.0,834.0,12.7,593.2,1054.6,1,300.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
55,1133.2,551.1,centroid,0.30,1129.5,540.0,833.3,13.3,592.5,1053.3,1,300.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
56,1131.7,555.0,centroid,0.30,1128.1,540.0,832.4,14.4,591.3,1051.2,1,300.4,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.998|bounds
57,1132.9,557.7,blended,0.67,1126.3,540.0,831.5,15.9,589.6,1048.2,1,297.4,0,0,conf_zoom=0.78|conf_speed=0.88|bounds
58,1127.2,563.1,centroid,0.30,1124.1,540.0,830.5,17.9,587.3,1044.1,1,300.9,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.988|bounds
59,1124.3,567.3,centroid,0.30,1121.6,540.0,829.3,20.4,584.5,1039.2,1,301.3,0,0,shot_pb=0.00|conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.985|bounds
60,1121.1,571.5,centroid,0.30,1118.6,540.0,828.0,23.3,581.3,1033.4,1,301.5,0,0,shot_pb=0.00|conf_zoom=0.76|conf_speed=0.87|edge_zoom=0.982|bounds
61,1117.7,575.8,centroid,0.30,1115.2,540.0,826.3,26.4,577.8,1027.3,1,301.5,0,0,shot_pb=0.00|flight_commit=0.00|conf_zoom=0.91|conf_speed=0.95|edge_zoom=0.979|bounds
62,1114.1,580.0,centroid,0.30,1111.3,540.0,824.1,29.5,574.3,1020.9,1,301.2,0,0,shot_pb=0.00|flight_commit=0.03|conf_zoom=0.92|conf_speed=0.95|edge_zoom=0.975|bounds
63,1110.2,584.1,centroid,0.30,1106.9,540.0,821.5,32.6,570.8,1014.8,1,300.7,0,0,shot_pb=0.00|flight_commit=0.06|conf_zoom=0.92|conf_speed=0.96|edge_zoom=0.971|bounds
64,1106.2,588.2,centroid,0.30,1102.0,540.0,818.1,35.4,567.7,1009.2,1,299.8,0,0,shot_pb=0.00|flight_commit=0.08|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.968|bounds
65,1102.0,592.2,centroid,0.30,1096.5,540.0,814.0,37.7,565.1,1004.7,1,298.5,0,0,shot_pb=0.00|flight_commit=0.10|conf_zoom=0.94|conf_speed=0.96|edge_zoom=0.964|bounds
66,1097.6,596.1,centroid,0.30,1090.5,540.0,808.9,39.3,563.3,1001.4,1,296.9,0,0,shot_pb=0.00|flight_commit=0.12|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.961|bounds
67,1093.1,599.9,centroid,0.30,1084.0,540.0,802.8,40.1,562.3,999.7,1,294.9,0,0,shot_pb=0.00|flight_commit=0.13|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.957|bounds
68,1090.8,601.8,centroid,0.25,1076.9,540.0,795.7,40.1,562.4,999.8,1,290.1,0,0,shot_pb=0.00|conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.959|bounds
69,1085.5,605.7,centroid,0.25,1069.1,540.0,787.3,39.0,563.6,1001.9,1,287.6,0,0,shot_pb=0.00|flight_commit=0.08|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.954|bounds
70,1079.4,609.8,centroid,0.25,1060.7,540.0,777.8,36.9,566.0,1006.1,1,285.3,0,0,shot_pb=0.00|flight_commit=0.18|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.951|bounds
71,1072.6,614.2,centroid,0.26,1051.7,540.0,767.0,33.8,569.5,1012.5,1,283.1,0,0,flight_commit=0.29|conf_zoom=0.99|person_ctx=3|conf_speed=0.99|edge_zoom=0.949|bounds
72,1065.2,618.9,centroid,0.26,1042.1,540.0,754.9,29.5,574.3,1020.9,1,280.9,0,0,flight_commit=0.41|edge_zoom=0.947|bounds
73,1057.0,623.8,centroid,0.26,1031.8,540.0,741.7,24.3,580.1,1031.4,1,278.8,0,0,flight_commit=0.53|edge_zoom=0.945|bounds
74,1048.2,628.8,centroid,0.27,1020.9,540.0,727.4,18.2,587.0,1043.5,1,276.7,0,0,flight_commit=0.65|edge_zoom=0.942|bounds
75,1038.8,634.1,centroid,0.27,1009.5,540.0,712.2,11.5,594.6,1057.0,1,274.7,0,0,flight_commit=0.78|edge_zoom=0.940|bounds
76,1028.8,639.6,centroid,0.27,997.6,540.0,696.3,4.3,602.6,1071.4,1,272.8,0,0,shot_pb=0.60|flight_commit=0.91|person_ctx=4|edge_zoom=0.939|bounds
77,1018.1,645.2,centroid,0.27,985.4,540.0,680.0,0.0,610.9,1086.0,1,271.3,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.937|bounds
78,1006.9,650.9,centroid,0.28,972.9,540.0,663.4,0.0,619.0,1100.4,1,270.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.935|bounds
79,995.1,656.8,centroid,0.28,960.3,540.0,647.0,0.0,626.6,1113.9,1,269.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.931|bounds
80,982.8,662.7,centroid,0.28,947.6,540.0,630.9,0.0,633.4,1126.0,1,268.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.928|bounds
81,970.1,668.8,centroid,0.28,935.1,540.0,615.4,0.0,639.3,1136.6,1,269.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.925|bounds
82,956.9,674.8,centroid,0.29,922.7,540.0,600.6,0.0,644.2,1145.3,1,269.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.933|bounds
83,943.4,680.9,centroid,0.29,910.8,540.0,586.7,0.0,648.1,1152.2,1,271.4,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.922|bounds
84,929.6,687.0,centroid,0.29,899.2,540.0,573.7,0.0,651.1,1157.5,1,273.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.929|bounds
85,915.6,693.0,centroid,0.29,888.1,540.0,561.5,0.0,653.3,1161.3,1,276.5,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.922|bounds
86,901.4,698.9,centroid,0.30,877.7,540.0,550.3,0.0,654.8,1164.1,1,280.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.925|bounds
87,887.2,704.7,centroid,0.30,867.8,540.0,539.9,0.0,655.9,1166.0,1,284.6,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.922|bounds
88,873.4,710.1,centroid,0.30,858.7,540.0,530.4,0.0,656.6,1167.2,1,289.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.921|bounds
89,859.8,715.3,centroid,0.30,850.4,540.0,521.8,0.0,657.0,1168.0,1,294.6,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.922|bounds
90,846.2,720.4,centroid,0.30,842.8,540.0,514.1,0.0,657.3,1168.5,1,300.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.921|bounds
91,832.8,725.2,centroid,0.30,836.0,540.0,507.3,0.0,657.4,1168.8,1,300.8,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.922|bounds
92,819.6,730.0,centroid,0.30,830.0,540.0,501.2,0.0,657.5,1168.8,1,293.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.920|bounds
93,806.4,734.6,centroid,0.30,824.6,540.0,495.9,0.0,657.5,1168.9,1,285.8,1,0,shot_pb=1.00|flight_commit=1.00|speed|edge_zoom=0.922|bounds
94,793.4,739.0,centroid,0.30,819.9,540.0,491.1,0.0,657.5,1168.9,1,277.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.920|bounds
95,780.5,743.4,centroid,0.30,815.6,540.0,486.9,0.0,657.5,1168.9,1,268.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.922|bounds
96,767.7,747.7,centroid,0.30,811.7,540.0,482.9,0.0,657.5,1168.9,1,260.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.922|bounds
97,755.0,751.9,centroid,0.30,807.8,540.0,479.1,0.0,657.5,1168.9,1,251.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.922|bounds
98,742.2,756.0,centroid,0.30,803.9,540.0,475.2,0.0,657.5,1168.9,1,242.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.921|bounds
99,729.4,760.1,centroid,0.30,799.8,540.0,471.1,0.0,657.5,1168.9,1,233.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.920|bounds
100,716.6,764.2,centroid,0.30,795.3,540.0,466.6,0.0,657.5,1168.9,1,225.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.920|bounds
101,703.6,768.3,centroid,0.30,790.3,540.0,461.6,0.0,657.5,1168.9,1,217.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.919|bounds
102,690.5,772.5,centroid,0.30,784.8,540.0,456.0,0.0,657.5,1168.9,1,209.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.918|bounds
103,677.2,776.6,centroid,0.30,778.5,540.0,449.8,0.0,657.5,1168.9,1,202.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.917|bounds
104,663.8,780.8,centroid,0.30,771.6,540.0,442.9,0.0,657.5,1168.9,1,196.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.915|bounds
105,650.0,785.1,centroid,0.30,764.1,540.0,435.3,0.0,657.5,1168.9,1,189.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.914|bounds
106,636.1,789.4,centroid,0.30,755.9,540.0,427.1,0.0,657.5,1168.9,1,184.2,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.912|bounds
107,621.9,793.8,centroid,0.30,747.1,540.0,418.3,0.0,657.5,1168.9,1,178.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.910|bounds
108,607.4,798.3,centroid,0.30,737.7,540.0,409.0,0.0,657.5,1168.9,1,173.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.05|keepin_zoom=1.350|speed|edge_zoom=0.908|bounds
109,592.7,802.8,centroid,0.30,727.9,540.0,399.1,0.0,657.5,1168.9,1,168.8,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.06|keepin_zoom=1.350|speed|edge_zoom=0.906|bounds
110,577.8,807.4,centroid,0.30,717.7,540.0,388.9,0.0,657.5,1168.9,1,164.1,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.07|keepin_zoom=1.350|speed|edge_zoom=0.904|bounds
111,562.8,812.0,centroid,0.30,707.1,540.0,378.3,0.0,657.5,1168.9,1,159.7,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.08|keepin_zoom=1.350|speed|edge_zoom=0.902|bounds
112,547.5,816.6,centroid,0.30,696.2,540.0,367.5,0.0,657.5,1168.9,1,155.3,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.09|keepin_zoom=1.350|speed|edge_zoom=0.899|bounds
113,532.2,821.2,centroid,0.30,685.2,540.0,356.4,0.0,657.5,1168.9,1,151.0,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.10|keepin_zoom=1.350|speed|edge_zoom=0.896|bounds
114,517.0,825.8,centroid,0.30,673.9,540.0,345.2,0.0,657.5,1168.9,1,147.1,1,1,shot_pb=1.00|flight_commit=1.00|pb_zfit|keepin_prop=0.11|keepin_zoom=1.350|speed|edge_zoom=0.893|bounds
