frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1425.6,545.7,hold,0.30,1420.8,540.0,1105.6,0.0,630.4,1120.7,1,299.2,0,0,accel_zoom=0.852|flight_commit=1.00|edge_zoom=0.981|bounds
1,1425.6,545.7,hold,0.30,1420.4,540.0,1106.6,0.0,627.6,1115.8,1,298.8,0,0,flight_commit=0.62|edge_zoom=0.990|bounds
2,1425.5,545.7,hold,0.30,1419.9,540.0,1107.4,0.0,625.0,1111.2,1,298.4,0,0,flight_commit=0.22|conf_zoom=0.97|conf_speed=0.98|edge_zoom=0.994|bounds
3,1425.4,545.7,hold,0.30,1419.3,540.0,1108.0,0.0,622.7,1107.0,1,297.9,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.997|bounds
4,1425.3,545.7,hold,0.30,1418.8,540.0,1108.5,0.0,620.6,1103.4,1,297.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,1425.1,545.7,hold,0.30,1418.3,540.0,1108.9,0.0,618.8,1100.0,1,297.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,1425.0,545.7,hold,0.30,1417.8,540.0,1109.3,0.0,617.0,1096.9,1,296.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,1424.9,545.7,hold,0.30,1417.4,540.0,1109.8,0.0,615.3,1093.8,1,296.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,1424.7,545.7,hold,0.30,1417.1,540.0,1110.3,0.0,613.5,1090.7,1,296.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,1424.5,545.8,hold,0.30,1416.8,540.0,1110.9,0.0,611.7,1087.5,1,296.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,1424.2,545.8,hold,0.30,1416.6,540.0,1111.7,0.0,609.8,1084.1,1,296.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,1424.0,545.8,hold,0.30,1416.4,540.0,1112.5,0.0,607.8,1080.6,1,296.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,1423.7,545.8,hold,0.30,1416.3,540.0,1113.4,1.5,605.8,1077.0,1,296.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,1423.3,545.8,hold,0.30,1416.2,540.0,1114.4,3.3,603.8,1073.4,1,296.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
