frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,738.3,521.5,centroid,0.30,740.8,540.0,427.9,0.0,625.9,1112.7,1,301.5,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.976|bounds
1,739.0,521.6,centroid,0.30,741.0,540.0,429.0,0.0,624.1,1109.5,1,302.0,0,0,flight_commit=0.86|edge_zoom=0.996|bounds
2,739.7,521.8,centroid,0.30,741.3,540.0,430.1,0.0,622.3,1106.3,1,302.4,0,0,flight_commit=0.35|person_ctx=4|edge_zoom=0.999|bounds
3,740.5,521.9,centroid,0.30,741.5,540.0,431.4,0.0,620.3,1102.8,1,303.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
4,741.4,522.1,centroid,0.30,741.8,540.0,432.7,0.0,618.3,1099.2,1,303.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,742.4,522.3,centroid,0.30,742.1,540.0,434.0,0.0,616.2,1095.4,1,303.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,743.3,522.5,centroid,0.30,742.3,540.0,435.4,0.0,613.9,1091.3,1,303.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,744.4,522.7,centroid,0.30,742.5,540.0,436.8,0.0,611.4,1087.0,1,302.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,745.5,523.0,centroid,0.30,742.7,540.0,438.2,0.0,608.9,1082.5,1,301.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,746.6,523.2,centroid,0.30,742.8,540.0,439.7,1.1,606.3,1077.8,1,300.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,747.7,523.4,centroid,0.30,742.9,540.0,441.1,3.5,603.6,1073.0,1,299.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,748.9,523.6,centroid,0.30,743.0,540.0,442.5,5.9,600.9,1068.3,1,298.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,750.2,523.9,centroid,0.30,743.0,540.0,443.9,8.2,598.3,1063.6,1,296.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,751.4,524.1,centroid,0.30,743.1,540.0,445.2,10.4,595.8,1059.2,1,295.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,752.7,524.3,centroid,0.30,743.1,540.0,446.4,12.5,593.4,1054.9,1,294.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,753.9,524.6,centroid,0.30,743.1,540.0,447.5,14.5,591.2,1051.0,1,293.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,755.2,524.8,centroid,0.30,743.1,540.0,448.5,16.3,589.2,1047.4,1,291.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,756.5,525.0,centroid,0.30,743.1,540.0,449.4,17.9,587.4,1044.2,1,290.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,757.8,525.2,centroid,0.30,743.1,540.0,450.3,19.4,585.7,1041.3,1,289.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,759.0,525.4,centroid,0.30,743.1,540.0,451.0,20.7,584.2,1038.6,1,288.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,760.3,525.6,centroid,0.30,743.1,540.0,451.7,21.9,582.9,1036.2,1,286.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,761.6,525.8,centroid,0.30,743.1,540.0,452.3,23.0,581.6,1034.0,1,285.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,762.8,525.9,centroid,0.30,743.1,540.0,452.9,23.9,580.6,1032.1,1,284.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,764.1,526.1,centroid,0.30,743.1,540.0,453.3,24.8,579.6,1030.4,1,283.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
24,765.4,526.2,centroid,0.30,743.1,540.0,453.8,25.6,578.7,1028.9,1,281.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
25,766.6,526.3,centroid,0.30,743.1,540.0,454.2,26.3,578.0,1027.5,1,280.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
26,767.9,526.4,centroid,0.30,743.1,540.0,454.5,26.9,577.3,1026.2,1,279.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
27,769.1,526.5,centroid,0.30,743.1,540.0,454.8,27.4,576.6,1025.1,1,278.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
