frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,757.0,607.5,yolo,0.73,819.2,540.0,490.4,0.0,657.5,1168.9,1,241.8,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.864|bounds|final_speed
1,770.3,609.5,yolo,0.67,827.7,540.0,499.0,0.0,657.5,1168.9,1,246.6,0,0,flight_commit=1.00|edge_zoom=0.943|bounds
2,785.6,611.7,interp,0.38,838.6,540.0,509.9,0.0,657.5,1168.9,1,251.0,0,0,flight_commit=1.00|edge_zoom=0.941|bounds
3,802.7,614.2,interp,0.38,851.4,540.0,522.6,0.0,657.5,1168.9,1,255.3,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.940|bounds
4,821.9,617.1,interp,0.38,865.3,540.0,536.5,0.0,657.5,1168.9,1,260.6,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.939|bounds
5,843.5,620.4,yolo,0.67,879.6,540.0,550.9,0.0,657.5,1168.9,1,267.9,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.937|bounds
6,872.5,625.6,interp,0.38,893.7,540.0,564.9,0.0,657.4,1168.8,1,282.8,0,0,accel_zoom=0.915|shot_pb=0.80|flight_commit=1.00|edge_zoom=0.934|bounds
7,903.2,631.0,yolo,0.59,906.7,540.0,578.0,0.0,657.3,1168.6,1,300.5,0,0,accel_zoom=0.915|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.931|bounds
8,941.8,638.4,yolo,0.49,918.2,540.0,589.6,0.0,657.2,1168.4,1,280.4,0,1,accel_zoom=0.872|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.933|bounds
9,976.2,644.2,yolo,0.44,927.9,540.0,599.4,0.0,657.0,1168.0,1,255.7,0,0,accel_zoom=0.872|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.926|bounds
10,1001.0,644.7,interp,0.38,935.3,540.0,606.9,0.0,656.7,1167.5,1,238.3,0,1,accel_zoom=0.872|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.931|bounds
11,1021.2,643.7,yolo,0.43,940.5,540.0,612.3,0.0,656.4,1166.9,1,223.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.933|bounds
