frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,986.9,662.0,yolo,0.68,993.2,540.0,664.6,0.0,657.1,1168.3,1,297.7,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.763|bounds|final_speed
1,987.0,662.1,yolo,0.66,993.6,540.0,665.1,0.0,657.0,1168.0,1,297.4,0,0,flight_commit=0.83|edge_zoom=0.913|bounds
2,987.0,662.1,yolo,0.70,994.1,540.0,665.7,0.0,656.9,1167.8,1,296.9,0,0,edge_zoom=0.918|bounds
3,987.0,662.2,yolo,0.72,994.6,540.0,666.3,0.0,656.7,1167.5,1,296.4,0,1,keepin_prop=0.00|keepin_zoom=1.350|bounds
4,990.6,660.7,yolo,0.61,995.1,540.0,666.8,0.0,656.5,1167.2,1,299.5,0,0,edge_zoom=0.954|bounds
5,991.5,660.6,yolo,0.62,995.5,540.0,667.3,0.0,656.4,1166.9,1,300.0,0,1,keepin_prop=0.00|keepin_zoom=1.350|bounds
6,988.7,662.7,yolo,0.64,995.8,540.0,667.7,0.0,656.3,1166.7,1,296.9,0,1,keepin_prop=0.00|keepin_zoom=1.350|bounds
7,985.2,665.3,yolo,0.65,996.1,540.0,668.0,0.0,656.2,1166.6,1,293.1,0,1,keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.988|bounds
8,982.0,668.3,yolo,0.65,996.2,540.0,668.1,0.0,656.2,1166.5,1,289.8,0,0,edge_zoom=0.980|bounds
9,979.1,671.5,yolo,0.71,996.4,540.0,668.3,0.0,656.2,1166.6,1,286.7,0,1,keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.977|bounds
10,976.8,674.9,yolo,0.70,996.6,540.0,668.4,0.0,656.3,1166.7,1,284.2,0,1,keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.982|bounds
11,975.1,678.5,yolo,0.69,996.9,540.0,668.7,0.0,656.4,1166.9,1,282.2,0,1,keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.988|bounds
12,974.1,682.0,yolo,0.73,997.4,540.0,669.1,0.0,656.5,1167.2,1,280.7,0,1,keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.995|bounds
