frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1716.2,483.1,hold,0.30,1583.4,584.5,1254.6,0.0,657.5,1168.9,1,171.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1709.8,496.3,hold,0.30,1582.1,584.5,1253.3,0.0,657.5,1168.9,1,176.3,0,0,flight_commit=1.00|edge_zoom=0.966|bounds
2,1702.6,511.2,yolo,0.28,1580.2,584.5,1251.5,0.0,657.5,1168.9,1,181.6,0,0,flight_commit=1.00|edge_zoom=0.972|bounds
3,1690.1,534.7,blended,0.80,1577.9,584.5,1249.1,0.0,657.5,1168.9,1,191.8,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.982|bounds
4,1681.6,560.9,blended,0.76,1575.1,584.5,1246.3,0.0,657.5,1168.9,1,197.5,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.964|bounds
5,1673.8,583.0,blended,0.74,1571.8,584.5,1243.1,0.0,657.5,1168.9,1,202.0,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.947|bounds
6,1667.8,597.9,interp,0.38,1568.2,584.5,1239.4,0.0,657.5,1168.9,1,204.4,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.939|bounds
7,1656.5,609.0,interp,0.38,1564.3,584.5,1235.5,0.0,657.5,1168.9,1,211.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.946|bounds
8,1640.0,616.4,blended,0.73,1560.1,584.5,1231.3,0.0,657.5,1168.9,1,224.1,0,0,accel_zoom=0.931|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.943|bounds
9,1630.3,623.2,interp,0.38,1555.6,584.5,1226.9,0.0,657.5,1168.9,1,229.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.952|bounds
10,1614.0,626.7,blended,0.75,1551.1,584.5,1222.3,0.0,657.5,1168.9,1,241.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.945|bounds
11,1607.9,634.2,interp,0.38,1546.3,584.5,1217.6,0.0,657.5,1168.9,1,242.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.922|bounds
12,1600.2,640.7,interp,0.38,1541.5,584.5,1212.7,0.0,657.5,1168.9,1,245.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.945|bounds
13,1593.2,646.9,interp,0.38,1536.5,584.4,1207.7,0.0,657.5,1168.9,1,247.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.921|bounds
14,1584.4,651.8,blended,0.75,1531.4,584.4,1202.7,0.0,657.5,1168.9,1,251.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.942|bounds
15,1581.4,660.7,blended,0.74,1526.2,584.4,1197.4,0.0,657.5,1168.8,1,248.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.906|bounds
16,1579.3,668.7,blended,0.74,1520.8,584.3,1192.1,0.0,657.4,1168.7,1,245.5,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.903|bounds
17,1577.4,673.4,interp,0.38,1515.3,584.3,1186.7,0.0,657.3,1168.5,1,241.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.902|bounds
18,1570.4,673.7,interp,0.38,1509.8,584.1,1181.2,0.0,657.1,1168.3,1,243.4,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.932|bounds
19,1562.2,672.1,interp,0.38,1504.2,584.0,1175.7,0.0,656.9,1167.9,1,246.0,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.932|bounds
20,1552.9,668.8,yolo,0.33,1498.7,583.7,1170.4,0.0,656.7,1167.4,1,249.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.947|bounds
21,1538.6,660.2,yolo,0.40,1493.4,583.4,1165.3,0.0,656.3,1166.8,1,258.8,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.939|bounds
22,1524.9,651.7,yolo,0.39,1488.5,583.0,1160.5,0.0,655.9,1166.1,1,267.6,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.960|bounds
23,1513.2,644.6,yolo,0.43,1484.0,582.6,1156.3,0.0,655.4,1165.2,1,274.8,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.962|bounds
24,1503.8,639.5,yolo,0.45,1480.2,582.1,1152.7,0.0,654.9,1164.3,1,280.4,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.951|bounds
25,1502.2,641.6,yolo,0.40,1477.2,581.6,1150.0,0.0,654.3,1163.3,1,279.0,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.918|bounds
26,1504.4,646.8,yolo,0.36,1475.3,581.2,1148.4,0.0,653.8,1162.3,1,274.9,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.912|bounds
27,1498.5,643.4,yolo,0.40,1474.6,580.8,1147.9,0.0,653.4,1161.5,1,280.1,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.962|bounds
28,1487.5,634.3,yolo,0.42,1475.2,580.4,1148.7,0.0,653.0,1160.9,1,291.7,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.972|bounds
