frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1832.5,1021.0,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1832.5,1021.0,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,flight_commit=0.82|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1832.5,1021.0,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,flight_commit=0.27|conf_zoom=0.98|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1832.5,1021.0,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1832.5,1021.0,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1832.5,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1832.5,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1832.5,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1832.4,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1832.4,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1832.4,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1832.4,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1832.4,1020.9,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1832.4,1020.8,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1832.4,1020.8,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1832.4,1020.8,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
16,1832.4,1020.8,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
17,1832.4,1020.7,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
18,1832.4,1020.7,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
19,1832.4,1020.7,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
20,1832.3,1020.6,hold,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,62.9,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
