frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1144.2,1005.8,centroid,0.30,1166.6,540.0,837.8,0.0,657.5,1168.9,1,163.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1154.2,1003.9,centroid,0.30,1169.9,540.0,841.1,0.0,657.5,1168.9,1,165.0,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1165.0,1001.7,centroid,0.30,1174.2,540.0,845.5,0.0,657.5,1168.9,1,167.2,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1176.7,999.3,centroid,0.30,1179.5,540.0,850.7,0.0,657.5,1168.9,1,169.6,1,1,flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1188.9,996.6,centroid,0.30,1185.5,540.0,856.8,0.0,657.5,1168.9,1,172.3,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1201.5,993.5,centroid,0.30,1192.1,540.0,863.3,0.0,657.5,1168.9,1,175.4,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1213.9,989.7,centroid,0.30,1199.1,540.0,870.3,0.0,657.5,1168.9,1,179.2,1,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1226.7,985.9,centroid,0.30,1206.3,540.0,877.5,0.0,657.5,1168.9,1,183.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1239.5,981.8,centroid,0.30,1213.6,540.0,884.8,0.0,657.5,1168.9,1,187.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1252.1,977.5,centroid,0.30,1220.8,540.0,892.0,0.0,657.5,1168.9,1,191.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1264.2,972.8,centroid,0.30,1227.9,540.0,899.1,0.0,657.5,1168.9,1,196.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1275.8,967.8,centroid,0.30,1234.6,540.0,905.9,0.0,657.5,1168.9,1,201.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1286.6,962.5,centroid,0.30,1241.0,540.0,912.2,0.0,657.5,1168.9,1,206.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1296.4,956.9,centroid,0.30,1246.7,540.0,918.0,0.0,657.5,1168.9,1,212.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1305.1,950.9,centroid,0.30,1251.8,540.0,923.1,0.0,657.5,1168.9,1,218.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
