frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1053.7,821.6,yolo,0.85,1052.5,540.0,723.7,0.0,657.5,1168.9,1,302.8,1,0,accel_zoom=0.856|edge_zoom=0.750|bounds|final_speed
1,1053.8,823.1,yolo,0.88,1052.1,540.0,723.3,0.0,657.5,1168.9,1,302.3,0,1,keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.776|bounds
2,1053.9,824.9,yolo,0.88,1051.5,540.0,722.7,0.0,657.5,1168.9,1,301.6,0,1,keepin_prop=0.43|keepin_zoom=1.350|edge_zoom=0.750|bounds
3,1054.0,826.9,yolo,0.88,1050.7,540.0,722.0,0.0,657.5,1168.9,1,300.7,0,1,keepin_prop=0.70|keepin_zoom=1.350|edge_zoom=0.750|bounds
4,1053.9,829.3,yolo,0.86,1049.7,540.0,721.0,0.0,657.5,1168.9,1,299.8,0,1,keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
5,1053.6,831.9,yolo,0.87,1048.5,540.0,719.7,0.0,657.5,1168.9,1,298.9,0,1,keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
6,1053.0,834.8,yolo,0.86,1047.1,540.0,718.3,0.0,657.5,1168.9,1,298.1,0,1,keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
7,1051.8,837.7,yolo,0.87,1045.5,540.0,716.7,0.0,657.5,1168.9,1,297.7,0,1,keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
8,1049.9,840.6,yolo,0.83,1043.8,540.0,715.0,0.0,657.5,1168.9,1,297.9,0,1,keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
9,1047.2,843.5,yolo,0.83,1042.1,540.0,713.3,0.0,657.5,1168.9,1,298.9,0,1,keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
10,1043.6,846.4,yolo,0.78,1040.5,540.0,711.7,0.0,657.5,1168.9,1,300.9,0,1,keepin_prop=0.97|keepin_zoom=1.350|edge_zoom=0.750|bounds
11,1038.9,849.3,yolo,0.68,1039.1,540.0,710.3,0.0,657.5,1168.9,1,303.8,0,1,keepin_prop=0.58|keepin_zoom=1.350|edge_zoom=0.750|bounds
12,1022.3,851.0,yolo,0.57,1038.2,540.0,709.4,0.0,657.5,1168.9,1,288.1,0,1,keepin_prop=0.36|keepin_zoom=1.350|edge_zoom=0.750|bounds
13,1012.8,853.4,yolo,0.53,1037.9,540.0,709.1,0.0,657.5,1168.9,1,278.9,0,1,keepin_prop=0.37|keepin_zoom=1.350|edge_zoom=0.750|bounds
14,1009.7,856.4,interp,0.38,1038.4,540.0,709.7,0.0,657.5,1168.9,1,275.3,0,1,keepin_prop=0.37|keepin_zoom=1.350|edge_zoom=0.750|bounds
15,1008.9,859.7,interp,0.38,1040.0,540.0,711.2,0.0,657.5,1168.9,1,272.9,0,1,keepin_prop=0.60|keepin_zoom=1.350|edge_zoom=0.750|bounds
16,1010.6,863.3,yolo,0.46,1042.7,540.0,713.9,0.0,657.5,1168.9,1,271.9,0,1,conf_zoom=0.98|keepin_prop=0.59|keepin_zoom=1.350|edge_zoom=0.750|bounds
17,1015.8,867.2,interp,0.38,1046.7,540.0,718.0,0.0,657.5,1168.9,1,273.1,0,1,flight_commit=0.16|conf_zoom=0.95|keepin_prop=0.44|keepin_zoom=1.350|edge_zoom=0.750|bounds
18,1023.5,871.4,interp,0.38,1052.1,540.0,723.4,0.0,657.5,1168.9,1,275.4,0,1,flight_commit=0.34|keepin_prop=0.47|keepin_zoom=1.350|edge_zoom=0.750|bounds
19,1033.9,875.9,interp,0.38,1058.9,540.0,730.2,0.0,657.5,1168.9,1,279.0,0,1,flight_commit=0.62|keepin_prop=0.50|keepin_zoom=1.350|edge_zoom=0.750|bounds
20,1047.0,880.7,yolo,0.53,1067.2,540.0,738.4,0.0,657.5,1168.9,1,283.8,0,1,flight_commit=0.97|keepin_prop=0.53|keepin_zoom=1.350|edge_zoom=0.750|bounds
21,1066.5,886.6,yolo,0.53,1076.7,540.0,747.9,0.0,657.5,1168.9,1,282.3,0,1,flight_commit=1.00|keepin_prop=0.57|keepin_zoom=1.350|edge_zoom=0.750|bounds
22,1087.9,892.5,yolo,0.59,1087.5,540.0,758.7,0.0,657.5,1168.9,1,276.4,0,1,shot_pb=0.20|flight_commit=1.00|keepin_prop=0.60|keepin_zoom=1.350|edge_zoom=0.750|bounds
23,1109.9,898.2,yolo,0.65,1099.3,540.0,770.6,0.0,657.5,1168.9,1,270.7,0,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=0.63|keepin_zoom=1.350|edge_zoom=0.750|bounds
24,1132.3,903.8,yolo,0.70,1112.1,540.0,783.3,0.0,657.5,1168.9,1,265.1,0,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.65|keepin_zoom=1.350|edge_zoom=0.750|bounds
25,1154.6,909.2,yolo,0.74,1125.6,540.0,796.8,0.0,657.5,1168.9,1,259.7,0,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=0.67|keepin_zoom=1.350|edge_zoom=0.750|bounds
26,1176.8,914.4,yolo,0.77,1139.7,540.0,810.9,0.0,657.5,1168.9,1,254.5,0,1,accel_zoom=0.938|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.69|keepin_zoom=1.350|edge_zoom=0.750|bounds
27,1198.7,919.6,yolo,0.78,1154.1,540.0,825.4,0.0,657.5,1168.9,1,249.3,0,1,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.71|keepin_zoom=1.350|edge_zoom=0.750|bounds
28,1220.3,924.7,yolo,0.81,1168.8,540.0,840.1,0.0,657.5,1168.9,1,244.2,0,1,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.74|keepin_zoom=1.350|edge_zoom=0.750|bounds
29,1241.4,929.6,yolo,0.84,1183.6,540.0,854.9,0.0,657.5,1168.9,1,239.3,0,1,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.77|keepin_zoom=1.350|edge_zoom=0.750|bounds
30,1262.1,934.6,yolo,0.85,1198.4,540.0,869.6,0.0,657.5,1168.9,1,234.3,0,1,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.80|keepin_zoom=1.350|edge_zoom=0.750|bounds
31,1282.2,939.4,yolo,0.84,1212.9,540.0,884.2,0.0,657.5,1168.9,1,229.5,0,1,accel_zoom=0.922|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.83|keepin_zoom=1.350|edge_zoom=0.750|bounds
32,1301.8,944.2,yolo,0.84,1227.2,540.0,898.4,0.0,657.5,1168.9,1,224.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.86|keepin_zoom=1.350|edge_zoom=0.750|bounds
33,1320.8,948.9,yolo,0.83,1241.0,540.0,912.2,0.0,657.5,1168.9,1,220.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.89|keepin_zoom=1.350|edge_zoom=0.750|bounds
34,1339.0,953.3,yolo,0.83,1254.3,540.0,925.5,0.0,657.5,1168.9,1,215.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.92|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
35,1356.6,957.6,yolo,0.84,1267.0,540.0,938.2,0.0,657.5,1168.9,1,211.3,1,1,shot_pb=1.00|keepin_prop=0.95|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
36,1373.2,961.6,yolo,0.84,1278.9,540.0,950.2,0.0,657.5,1168.9,1,207.3,1,1,shot_pb=1.00|person_ctx=4|keepin_prop=0.98|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
37,1388.9,965.1,yolo,0.85,1290.1,540.0,961.4,0.0,657.5,1168.9,1,203.8,1,1,shot_pb=1.00|person_ctx=4|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
38,1403.4,968.2,yolo,0.82,1300.5,540.0,971.7,0.0,657.5,1168.9,1,200.7,1,1,shot_pb=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
39,1416.8,970.7,yolo,0.80,1309.9,540.0,981.1,0.0,657.5,1168.9,1,197.1,1,1,shot_pb=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
