frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1053.1,821.3,yolo,0.85,1052.1,540.0,723.3,0.0,657.5,1168.9,1,303.0,1,0,accel_zoom=0.852|edge_zoom=0.750|bounds|final_speed
1,1053.0,822.8,yolo,0.88,1051.7,540.0,723.0,0.0,657.5,1168.9,1,302.7,1,1,keepin_prop=0.45|keepin_zoom=1.300|speed|edge_zoom=0.895|bounds
2,1053.1,824.5,yolo,0.88,1051.2,540.0,722.4,0.0,657.5,1168.9,1,302.1,1,1,keepin_prop=0.58|keepin_zoom=1.300|speed|edge_zoom=0.880|bounds
3,1053.1,826.5,yolo,0.88,1050.5,540.0,721.7,0.0,657.5,1168.9,1,301.4,1,1,keepin_prop=0.71|keepin_zoom=1.300|speed|edge_zoom=0.866|bounds
4,1052.9,828.8,yolo,0.86,1049.5,540.0,720.7,0.0,657.5,1168.9,1,300.6,1,1,keepin_prop=0.79|keepin_zoom=1.300|speed|edge_zoom=0.857|bounds
5,1052.4,831.3,yolo,0.87,1048.3,540.0,719.5,0.0,657.5,1168.9,1,299.9,1,1,keepin_prop=0.81|keepin_zoom=1.300|speed|edge_zoom=0.854|bounds
6,1051.6,834.1,yolo,0.86,1046.8,540.0,718.1,0.0,657.5,1168.9,1,299.2,1,1,keepin_prop=0.78|keepin_zoom=1.300|speed|edge_zoom=0.857|bounds
7,1050.2,836.9,yolo,0.87,1045.2,540.0,716.4,0.0,657.5,1168.9,1,299.0,1,1,keepin_prop=0.69|keepin_zoom=1.300|speed|edge_zoom=0.867|bounds
8,1048.1,839.7,yolo,0.83,1043.3,540.0,714.5,0.0,657.5,1168.9,1,299.2,1,1,keepin_prop=0.57|keepin_zoom=1.300|speed|edge_zoom=0.881|bounds
9,1045.2,842.5,yolo,0.83,1041.3,540.0,712.5,0.0,657.5,1168.9,1,300.1,1,1,keepin_prop=0.43|keepin_zoom=1.300|speed|edge_zoom=0.896|bounds
10,1041.3,845.3,yolo,0.78,1039.2,540.0,710.5,0.0,657.5,1168.9,1,301.9,1,1,keepin_prop=0.45|keepin_zoom=1.300|speed|edge_zoom=0.894|bounds
11,1036.3,848.0,yolo,0.68,1037.3,540.0,708.5,0.0,657.5,1168.9,1,303.0,1,1,keepin_prop=0.47|keepin_zoom=1.300|speed|edge_zoom=0.892|bounds
12,1019.3,849.5,yolo,0.57,1035.6,540.0,706.9,0.0,657.5,1168.9,1,287.7,1,1,keepin_prop=0.49|keepin_zoom=1.300|speed|edge_zoom=0.890|bounds
13,1009.4,851.7,yolo,0.53,1034.4,540.0,705.6,0.0,657.5,1168.9,1,279.0,1,1,keepin_prop=0.50|keepin_zoom=1.300|speed|edge_zoom=0.889|bounds
14,1005.8,854.5,interp,0.28,1033.8,540.0,705.0,0.0,657.5,1168.9,1,276.0,1,1,keepin_prop=0.51|keepin_zoom=1.300|speed|edge_zoom=0.888|bounds
15,1004.5,857.5,interp,0.28,1034.1,540.0,705.3,0.0,657.5,1168.9,1,274.4,1,1,keepin_prop=0.52|keepin_zoom=1.300|speed|edge_zoom=0.886|bounds
16,1005.6,860.8,yolo,0.46,1035.3,540.0,706.6,0.0,657.5,1168.9,1,274.3,1,1,keepin_prop=0.70|keepin_zoom=1.300|speed|edge_zoom=0.867|bounds
