frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1617.4,705.9,centroid,0.30,1581.3,584.5,1252.6,0.0,657.5,1168.9,1,267.9,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1613.4,707.9,centroid,0.30,1580.5,584.5,1251.7,0.0,657.5,1168.9,1,271.1,1,0,flight_commit=1.00|speed|edge_zoom=0.893|bounds
2,1609.1,710.1,centroid,0.30,1579.3,584.5,1250.6,0.0,657.5,1168.9,1,274.2,1,0,flight_commit=0.75|speed|edge_zoom=0.894|bounds
3,1604.5,712.6,centroid,0.30,1577.8,584.5,1249.0,0.0,657.5,1168.9,1,277.3,1,0,flight_commit=0.54|speed|edge_zoom=0.895|bounds
4,1599.7,715.4,centroid,0.30,1575.8,584.5,1247.1,0.0,657.5,1168.9,1,280.1,1,0,flight_commit=0.41|speed|edge_zoom=0.895|bounds
5,1594.8,718.5,centroid,0.30,1573.4,584.5,1244.6,0.0,657.5,1168.9,1,282.6,1,0,flight_commit=0.33|conf_zoom=1.00|conf_speed=1.00|speed|edge_zoom=0.896|bounds
6,1590.0,722.1,centroid,0.30,1570.4,584.5,1241.6,0.0,657.5,1168.9,1,284.4,1,1,flight_commit=0.29|conf_zoom=0.99|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.99|speed|edge_zoom=0.897|bounds
7,1585.4,726.0,centroid,0.30,1566.8,584.5,1238.0,0.0,657.5,1168.9,1,285.4,1,1,flight_commit=0.27|conf_zoom=0.98|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.99|speed|edge_zoom=0.898|bounds
8,1597.4,734.6,yolo,0.72,1562.4,584.5,1233.6,0.0,657.5,1168.9,1,269.0,1,1,flight_commit=0.78|keepin_prop=0.00|keepin_zoom=1.350|speed|edge_zoom=0.898|bounds
9,1588.6,738.5,yolo,0.75,1557.1,584.5,1228.4,0.0,657.5,1168.9,1,272.5,1,1,flight_commit=0.82|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.898|bounds
10,1576.2,741.9,yolo,0.78,1550.9,584.5,1222.1,0.0,657.5,1168.9,1,278.7,1,1,flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.899|bounds
11,1560.4,745.0,yolo,0.73,1543.5,584.5,1214.7,0.0,657.5,1168.9,1,287.1,1,1,flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|speed|edge_zoom=0.898|bounds
12,1541.3,747.6,yolo,0.63,1534.9,584.5,1206.1,0.0,657.5,1168.9,1,297.6,1,1,shot_pb=0.40|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.897|bounds
13,1519.3,749.9,yolo,0.63,1525.0,584.5,1196.2,0.0,657.5,1168.9,1,298.3,1,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.897|bounds
14,1494.6,752.0,yolo,0.54,1513.8,584.5,1185.0,0.0,657.5,1168.9,1,284.8,1,1,accel_zoom=0.943|shot_pb=0.80|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.896|bounds
15,1467.6,754.0,yolo,0.48,1501.2,584.5,1172.4,0.0,657.5,1168.9,1,270.4,1,1,accel_zoom=0.926|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.896|bounds
16,1438.8,755.8,yolo,0.55,1487.3,584.5,1158.6,0.0,657.5,1168.9,1,255.5,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.895|bounds
17,1408.8,757.4,yolo,0.61,1472.2,584.5,1143.4,0.0,657.5,1168.9,1,240.6,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.895|bounds
18,1377.7,759.0,yolo,0.56,1455.9,584.5,1127.1,0.0,657.5,1168.9,1,225.8,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|speed|edge_zoom=0.895|bounds
19,1345.9,760.6,yolo,0.62,1438.5,584.5,1109.8,0.0,657.5,1168.9,1,211.4,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.894|bounds
20,1314.1,762.3,yolo,0.67,1420.3,584.5,1091.5,0.0,657.5,1168.9,1,197.8,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.893|bounds
21,1282.3,764.0,yolo,0.68,1401.2,584.5,1072.4,0.0,657.5,1168.9,1,185.1,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.893|bounds
22,1250.9,765.8,yolo,0.70,1381.4,584.5,1052.6,0.0,657.5,1168.9,1,173.5,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.892|bounds
23,1220.0,767.7,yolo,0.70,1361.1,584.5,1032.4,0.0,657.5,1168.9,1,162.9,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.03|keepin_zoom=1.350|speed|edge_zoom=0.891|bounds
24,1189.8,769.6,yolo,0.72,1340.5,584.5,1011.8,0.0,657.5,1168.9,1,153.3,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.890|bounds
25,1160.4,771.5,yolo,0.73,1319.7,584.5,990.9,0.0,657.5,1168.9,1,144.7,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.889|bounds
26,1131.8,773.6,yolo,0.73,1298.8,584.5,970.0,0.0,657.5,1168.9,1,137.0,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.889|bounds
27,1104.0,775.7,yolo,0.71,1277.9,584.5,949.1,0.0,657.5,1168.9,1,130.1,1,1,accel_zoom=0.906|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|speed|edge_zoom=0.888|bounds
