frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1445.8,418.4,centroid,0.30,1444.9,540.0,1116.2,0.0,657.5,1168.9,1,303.1,1,0,accel_zoom=0.852|conf_zoom=0.82|edge_zoom=0.782|bounds|final_speed
1,1444.6,426.1,centroid,0.30,1444.6,540.0,1115.8,0.0,657.5,1168.9,1,304.0,0,0,conf_zoom=0.82|edge_zoom=0.997|bounds
2,1443.3,434.7,centroid,0.30,1444.1,540.0,1115.4,0.0,657.5,1168.9,1,303.2,0,0,conf_zoom=0.82|bounds
3,1441.8,444.3,centroid,0.30,1443.4,540.0,1114.6,0.0,657.5,1168.9,1,302.4,0,0,conf_zoom=0.82|bounds
4,1440.1,454.8,centroid,0.30,1442.4,540.0,1113.6,0.0,657.5,1168.9,1,301.7,0,0,conf_zoom=0.82|bounds
5,1438.3,466.2,centroid,0.30,1441.1,540.0,1112.3,0.0,657.5,1168.9,1,301.2,0,0,shot_pb=0.60|conf_zoom=0.82|bounds
6,1436.3,478.5,centroid,0.30,1439.3,540.0,1110.6,0.0,657.5,1168.9,1,301.0,0,0,shot_pb=0.80|conf_zoom=0.82|bounds
7,1434.3,491.6,centroid,0.30,1437.1,540.0,1108.4,0.0,657.5,1168.9,1,301.2,0,0,shot_pb=1.00|conf_zoom=0.82|bounds
8,1432.1,505.5,centroid,0.30,1434.4,540.0,1105.6,0.0,657.5,1168.9,1,301.7,0,0,shot_pb=1.00|conf_zoom=0.82|bounds
9,1429.7,520.0,centroid,0.30,1431.1,540.0,1102.3,0.0,657.5,1168.9,1,302.6,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.998|bounds
10,1427.3,535.1,centroid,0.30,1427.2,540.0,1098.4,0.0,657.5,1168.9,1,303.9,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.992|bounds
11,1424.8,550.7,centroid,0.30,1422.6,540.0,1093.8,0.0,657.5,1168.9,1,301.8,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.983|bounds
12,1422.0,566.7,centroid,0.30,1417.3,540.0,1088.5,0.0,657.5,1168.9,1,299.3,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.970|bounds
13,1419.2,583.0,centroid,0.30,1411.4,540.0,1082.6,0.0,657.5,1168.9,1,296.2,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.954|bounds
14,1416.1,599.5,centroid,0.30,1404.8,540.0,1076.0,0.0,657.5,1168.9,1,292.7,0,0,shot_pb=1.00|conf_zoom=0.82|edge_zoom=0.947|bounds
15,1412.7,616.1,centroid,0.30,1397.5,540.0,1068.8,0.0,657.5,1168.9,1,288.8,1,0,shot_pb=1.00|conf_zoom=0.82|speed|edge_zoom=0.943|bounds
16,1409.1,632.7,centroid,0.30,1389.7,540.0,1060.9,0.0,657.5,1168.9,1,284.6,1,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=2|speed|edge_zoom=0.943|bounds
17,1405.3,649.1,centroid,0.30,1381.2,540.0,1052.5,0.0,657.5,1168.9,1,279.9,1,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=2|speed|edge_zoom=0.943|bounds
18,1401.1,665.1,centroid,0.30,1372.2,540.0,1043.4,0.0,657.5,1168.9,1,275.1,1,0,shot_pb=1.00|conf_zoom=0.82|person_ctx=2|speed|edge_zoom=0.943|bounds
