frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1418.8,347.6,centroid,0.30,1413.8,540.0,1090.0,0.0,647.6,1151.3,1,299.0,1,0,accel_zoom=0.852|conf_zoom=0.82|person_ctx=3|edge_zoom=0.750|bounds|final_speed
1,1418.6,347.4,centroid,0.30,1413.3,540.0,1091.3,0.0,644.1,1145.0,1,298.7,1,0,conf_zoom=0.82|speed|edge_zoom=0.939|bounds
2,1418.5,347.2,centroid,0.30,1412.7,540.0,1092.9,0.0,639.7,1137.3,1,298.2,1,0,conf_zoom=0.82|speed|edge_zoom=0.939|bounds
3,1418.4,347.0,centroid,0.30,1412.1,540.0,1094.7,0.0,634.8,1128.5,1,297.7,0,0,conf_zoom=0.82|edge_zoom=0.952|bounds
4,1418.2,346.7,centroid,0.30,1411.4,540.0,1096.8,0.0,629.2,1118.6,1,297.2,0,0,conf_zoom=0.82|edge_zoom=0.964|bounds
5,1418.0,346.5,centroid,0.30,1410.7,540.0,1099.1,0.0,623.3,1108.0,1,296.7,0,0,conf_zoom=0.82|edge_zoom=0.980|bounds
6,1417.7,346.3,centroid,0.30,1410.1,540.0,1101.6,0.0,617.1,1097.1,1,296.4,0,0,conf_zoom=0.82|bounds
7,1417.3,346.0,centroid,0.30,1409.6,540.0,1104.1,0.0,611.0,1086.3,1,296.3,0,0,conf_zoom=0.82|bounds
8,1416.9,345.8,centroid,0.30,1409.1,540.0,1106.6,2.1,605.2,1075.8,1,296.2,0,0,conf_zoom=0.82|bounds
9,1416.3,345.6,centroid,0.30,1408.7,540.0,1108.8,6.9,599.7,1066.2,1,296.4,0,0,conf_zoom=0.82|bounds
10,1415.6,345.4,centroid,0.30,1408.3,540.0,1110.8,11.2,594.9,1057.6,1,296.7,0,0,conf_zoom=0.82|bounds
11,1414.8,345.3,centroid,0.30,1407.8,540.0,1112.4,14.8,590.8,1050.4,1,297.0,0,0,conf_zoom=0.82|bounds
12,1413.8,345.3,centroid,0.30,1407.2,540.0,1113.4,17.6,587.7,1044.7,1,297.4,0,0,conf_zoom=0.82|bounds
13,1412.6,345.4,centroid,0.30,1406.5,540.0,1113.7,19.6,585.5,1040.8,1,297.9,0,0,conf_zoom=0.82|bounds
14,1411.3,345.5,centroid,0.30,1405.5,540.0,1113.3,20.6,584.3,1038.7,1,298.2,0,0,conf_zoom=0.82|bounds
15,1409.9,345.9,centroid,0.30,1404.2,540.0,1112.1,20.7,584.2,1038.6,1,298.3,0,0,conf_zoom=0.82|bounds
16,1408.2,346.3,centroid,0.30,1402.5,540.0,1109.9,19.8,585.3,1040.5,1,298.3,0,0,conf_zoom=0.82|bounds
17,1406.2,347.0,centroid,0.30,1400.4,540.0,1106.7,17.9,587.4,1044.3,1,298.2,0,0,conf_zoom=0.82|bounds
18,1403.8,347.7,centroid,0.30,1397.6,540.0,1102.3,15.0,590.6,1050.0,1,297.8,0,0,conf_zoom=0.82|bounds
19,1401.0,348.7,centroid,0.30,1394.2,540.0,1096.8,11.3,594.8,1057.5,1,297.2,0,0,conf_zoom=0.82|edge_zoom=0.993|bounds
20,1397.6,349.8,centroid,0.30,1390.0,540.0,1090.1,6.8,599.9,1066.4,1,296.4,0,0,conf_zoom=0.82|edge_zoom=0.973|bounds
