frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,558.7,546.6,hold,0.30,563.1,540.0,250.1,0.0,626.1,1113.1,1,299.6,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.977|bounds
1,558.7,546.6,hold,0.30,563.5,540.0,251.3,0.0,624.3,1109.9,1,299.2,0,0,flight_commit=0.82|edge_zoom=0.989|bounds
2,558.7,546.6,hold,0.30,563.9,540.0,252.7,0.0,622.4,1106.6,1,298.8,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.993|bounds
3,558.7,546.6,hold,0.30,564.4,540.0,254.2,0.0,620.4,1103.0,1,298.3,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.997|bounds
4,558.7,546.6,hold,0.30,564.9,540.0,255.8,0.0,618.3,1099.2,1,297.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,558.7,546.6,hold,0.30,565.4,540.0,257.4,0.0,616.0,1095.1,1,297.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,558.7,546.6,hold,0.30,565.8,540.0,259.0,0.0,613.6,1090.9,1,296.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,558.7,546.6,hold,0.30,566.2,540.0,260.6,0.0,611.1,1086.5,1,296.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,558.7,546.6,hold,0.30,566.5,540.0,262.2,0.0,608.5,1081.8,1,296.2,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,558.7,546.6,hold,0.30,566.7,540.0,263.8,1.4,605.9,1077.1,1,296.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,558.7,546.6,hold,0.30,566.9,540.0,265.3,3.8,603.2,1072.4,1,295.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,558.7,546.6,hold,0.30,567.1,540.0,266.8,6.2,600.6,1067.7,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,558.8,546.6,hold,0.30,567.2,540.0,268.2,8.5,598.0,1063.1,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,558.8,546.6,hold,0.30,567.2,540.0,269.5,10.6,595.5,1058.7,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,558.8,546.6,hold,0.30,567.3,540.0,270.7,12.7,593.2,1054.6,1,295.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,558.8,546.6,hold,0.30,567.3,540.0,271.8,14.6,591.1,1050.8,1,295.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,558.8,546.6,hold,0.30,567.3,540.0,272.8,16.4,589.1,1047.3,1,295.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,558.9,546.6,hold,0.30,567.3,540.0,273.7,18.0,587.3,1044.1,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,558.9,546.6,hold,0.30,567.3,540.0,274.5,19.4,585.7,1041.2,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,558.9,546.6,hold,0.30,567.3,540.0,275.3,20.7,584.2,1038.6,1,295.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,559.0,546.6,hold,0.30,567.3,540.0,275.9,21.9,582.8,1036.2,1,295.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,559.0,546.6,hold,0.30,567.3,540.0,276.5,23.0,581.6,1034.0,1,295.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,559.0,546.6,hold,0.30,567.3,540.0,277.1,23.9,580.6,1032.1,1,295.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,559.1,546.6,hold,0.30,567.3,540.0,277.5,24.8,579.6,1030.4,1,295.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
24,559.2,546.6,hold,0.30,567.3,540.0,278.0,25.6,578.7,1028.9,1,295.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
