frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1775.1,975.4,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,120.1,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.750|bounds|final_speed
1,1775.3,974.2,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.9,1,1,flight_commit=0.90|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
2,1775.4,972.7,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.8,1,1,flight_commit=0.41|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
3,1775.6,971.1,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.6,1,1,flight_commit=0.08|conf_zoom=0.93|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
4,1775.8,969.4,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
5,1776.0,967.4,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
6,1776.2,965.3,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,119.0,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
7,1776.5,962.9,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,118.7,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
8,1776.8,960.4,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,118.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
9,1777.0,957.7,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,118.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
10,1777.4,954.7,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,117.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
11,1777.7,951.6,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,117.5,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
12,1778.0,948.1,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,117.2,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
13,1778.4,944.5,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,116.8,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
14,1778.8,940.6,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,116.4,1,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
15,1779.2,936.5,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,116.0,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
16,1779.7,932.0,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,115.5,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
17,1780.2,927.4,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,115.0,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
18,1780.6,922.5,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,114.6,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
19,1781.1,917.3,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,114.1,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
20,1781.7,911.9,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,113.5,0,1,conf_zoom=0.73|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
21,1782.2,906.2,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,113.0,0,1,flight_commit=0.02|conf_zoom=0.91|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
22,1782.7,900.4,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,112.5,0,1,flight_commit=0.07|conf_zoom=0.93|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
23,1783.2,894.3,centroid,0.30,1591.2,540.0,1262.5,0.0,657.5,1168.9,1,112.0,0,1,flight_commit=0.12|conf_zoom=0.94|keepin_prop=1.00|keepin_zoom=1.350|edge_zoom=0.750|bounds
