frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,486.2,446.4,hold,0.30,489.7,540.0,171.3,0.0,636.6,1131.8,1,300.5,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.837|bounds|final_speed
1,486.3,446.4,hold,0.30,489.9,540.0,173.4,0.0,633.0,1125.4,1,300.4,0,0,flight_commit=0.82|edge_zoom=0.992|bounds
2,486.3,446.4,hold,0.30,490.3,540.0,175.6,0.0,629.4,1119.0,1,300.0,0,0,flight_commit=0.28|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.995|bounds
3,486.4,446.4,hold,0.30,490.7,540.0,177.7,0.0,625.8,1112.6,1,299.7,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.997|bounds
4,486.4,446.4,hold,0.30,491.1,540.0,179.9,0.0,622.3,1106.4,1,299.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
5,486.5,446.5,hold,0.30,491.4,540.0,182.0,0.0,618.9,1100.3,1,299.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
6,486.6,446.5,hold,0.30,491.7,540.0,183.9,0.0,615.6,1094.5,1,298.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
7,486.7,446.5,hold,0.30,492.0,540.0,185.8,0.0,612.4,1088.8,1,298.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
8,486.8,446.6,hold,0.30,492.3,540.0,187.6,0.0,609.4,1083.3,1,298.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
9,486.9,446.6,hold,0.30,492.5,540.0,189.3,1.0,606.4,1078.0,1,298.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
10,487.0,446.7,hold,0.30,492.6,540.0,190.9,3.6,603.5,1072.8,1,298.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
11,487.2,446.7,hold,0.30,492.7,540.0,192.4,6.1,600.7,1067.9,1,298.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
12,487.3,446.8,hold,0.30,492.8,540.0,193.8,8.4,598.0,1063.2,1,298.5,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
13,487.5,446.8,hold,0.30,492.8,540.0,195.1,10.6,595.5,1058.7,1,298.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
14,487.7,446.9,hold,0.30,492.9,540.0,196.3,12.7,593.2,1054.6,1,298.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
15,488.0,447.0,hold,0.30,492.9,540.0,197.4,14.6,591.1,1050.8,1,299.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
16,488.2,447.1,hold,0.30,492.9,540.0,198.4,16.4,589.1,1047.2,1,299.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
17,488.6,447.2,hold,0.30,492.9,540.0,199.3,18.0,587.3,1044.1,1,299.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
18,488.9,447.4,hold,0.30,492.9,540.0,200.1,19.4,585.7,1041.2,1,300.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
19,489.3,447.5,hold,0.30,492.9,540.0,200.8,20.7,584.2,1038.6,1,300.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
20,489.8,447.7,hold,0.30,492.9,540.0,201.5,21.9,582.9,1036.2,1,300.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
21,490.3,447.9,hold,0.30,492.9,540.0,202.1,22.9,581.7,1034.1,1,301.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
22,490.9,448.1,hold,0.30,492.9,540.0,202.6,23.8,580.7,1032.3,1,302.0,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
23,491.6,448.4,hold,0.30,492.9,540.0,203.0,24.6,579.8,1030.8,1,302.7,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
24,492.4,448.7,hold,0.30,493.0,540.0,203.4,25.2,579.1,1029.6,1,303.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
25,493.2,449.0,hold,0.30,493.0,540.0,203.7,25.6,578.7,1028.7,1,303.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
26,494.2,449.4,hold,0.30,493.1,540.0,203.9,25.9,578.4,1028.2,1,302.9,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
27,495.4,449.8,hold,0.30,493.2,540.0,204.0,25.9,578.3,1028.1,1,301.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
28,496.6,450.3,hold,0.30,493.4,540.0,204.1,25.7,578.5,1028.5,1,300.8,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
29,498.1,450.8,hold,0.30,493.7,540.0,204.2,25.3,579.0,1029.3,1,299.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
30,499.8,451.5,hold,0.30,494.2,540.0,204.3,24.7,579.8,1030.7,1,298.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
31,501.6,452.2,hold,0.30,494.9,540.0,204.5,23.7,580.8,1032.5,1,297.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
32,503.8,453.0,hold,0.30,495.9,540.0,204.8,22.6,582.1,1034.8,1,296.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
33,506.2,453.9,hold,0.30,497.3,540.0,205.5,21.4,583.5,1037.3,1,295.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
34,509.0,455.0,hold,0.30,499.1,540.0,206.7,20.1,584.9,1039.8,1,294.1,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
35,512.1,456.1,hold,0.30,501.7,540.0,208.6,18.9,586.2,1042.1,1,293.6,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
36,515.7,457.5,hold,0.30,505.0,540.0,211.4,18.0,587.2,1044.0,1,293.3,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
37,519.8,459.0,hold,0.30,509.2,540.0,215.3,17.4,587.9,1045.2,1,293.4,0,0,conf_zoom=0.73|conf_speed=0.85|bounds
38,524.4,460.8,hold,0.30,514.6,540.0,220.5,17.1,588.2,1045.7,1,294.2,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.997|bounds
39,529.6,462.7,hold,0.30,521.3,540.0,227.2,17.2,588.2,1045.6,1,295.7,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.997|bounds
40,535.6,465.0,hold,0.30,529.4,540.0,235.5,17.4,587.9,1045.2,1,297.8,0,0,conf_zoom=0.73|conf_speed=0.85|edge_zoom=0.996|bounds
41,542.3,467.5,hold,0.30,539.2,540.0,245.3,17.6,587.7,1044.8,1,300.9,0,0,flight_commit=0.13|conf_zoom=0.94|person_ctx=4|conf_speed=0.97|edge_zoom=0.994|bounds
42,550.0,470.5,hold,0.30,550.7,540.0,256.8,17.6,587.7,1044.9,1,303.3,0,0,flight_commit=0.29|conf_zoom=0.99|person_ctx=4|conf_speed=0.99|edge_zoom=0.994|bounds
43,558.8,473.8,hold,0.30,564.1,540.0,270.0,17.0,588.4,1046.0,1,298.7,0,0,flight_commit=0.46|edge_zoom=0.995|bounds
44,568.7,477.5,hold,0.30,579.6,540.0,284.7,15.7,589.8,1048.6,1,293.1,0,0,flight_commit=0.66|edge_zoom=0.996|bounds
45,580.0,481.8,hold,0.30,597.0,540.0,300.9,13.5,592.3,1053.0,1,287.0,0,0,flight_commit=0.89|edge_zoom=0.997|bounds
46,592.8,486.6,hold,0.30,616.5,540.0,318.6,10.3,595.9,1059.3,1,280.3,0,0,flight_commit=1.00|edge_zoom=0.999|bounds
47,607.4,492.1,hold,0.30,637.9,540.0,337.7,6.3,600.5,1067.5,1,273.5,0,0,shot_pb=0.20|flight_commit=1.00|bounds
48,623.9,498.4,hold,0.30,661.1,540.0,358.2,1.4,605.9,1077.2,1,266.8,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.996|bounds
49,642.7,505.5,hold,0.30,685.9,540.0,379.9,0.0,612.1,1088.1,1,260.8,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.992|bounds
50,664.1,513.5,hold,0.30,711.9,540.0,402.6,0.0,618.5,1099.6,1,256.2,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.988|bounds
51,688.4,522.7,hold,0.30,738.8,540.0,426.3,0.0,625.0,1111.0,1,253.6,0,0,accel_zoom=0.928|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.983|bounds
52,716.0,533.2,hold,0.30,766.2,540.0,450.7,0.0,631.1,1122.0,1,253.8,0,0,accel_zoom=0.903|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.976|bounds
53,747.4,545.0,hold,0.30,793.7,540.0,475.3,0.0,636.8,1132.0,1,257.7,0,0,accel_zoom=0.897|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.972|bounds
54,801.2,565.2,blended,0.66,820.9,540.0,500.1,0.0,641.7,1140.8,1,284.3,0,0,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.964|bounds
55,850.4,583.7,centroid,0.22,847.4,540.0,524.5,0.0,645.8,1148.1,1,301.0,0,0,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|edge_zoom=0.957|bounds
56,885.1,596.9,centroid,0.23,872.8,540.0,548.2,0.0,649.1,1154.0,1,291.7,0,0,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|flight_boost=1.02|edge_zoom=0.952|bounds
57,917.4,609.3,centroid,0.23,896.9,540.0,571.0,0.0,651.7,1158.6,1,283.5,0,1,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|flight_boost=1.06|edge_zoom=0.959|bounds
58,947.3,620.8,centroid,0.23,919.4,540.0,592.5,0.0,653.7,1162.1,1,276.1,0,0,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|flight_boost=1.07|edge_zoom=0.942|bounds
59,975.0,631.5,centroid,0.24,940.1,540.0,612.6,0.0,655.1,1164.6,1,269.1,0,0,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|flight_boost=1.06|edge_zoom=0.938|bounds
60,1000.4,641.4,centroid,0.24,959.1,540.0,631.1,0.0,656.1,1166.3,1,262.7,0,1,accel_zoom=0.823|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.947|bounds
61,1023.6,650.5,centroid,0.24,976.3,540.0,647.9,0.0,656.7,1167.4,1,256.7,0,0,accel_zoom=0.823|shot_pb=1.00|conf_zoom=0.70|conf_speed=0.83|edge_zoom=0.931|bounds
62,1044.5,658.9,centroid,0.25,991.7,540.0,663.2,0.0,657.1,1168.1,1,251.2,0,0,shot_pb=1.00|conf_zoom=0.69|conf_speed=0.83|edge_zoom=0.927|bounds
63,1063.1,666.5,centroid,0.25,1005.6,540.0,677.0,0.0,657.3,1168.5,1,246.5,0,1,shot_pb=1.00|conf_zoom=0.69|keepin_prop=0.01|keepin_zoom=1.350|conf_speed=0.83|edge_zoom=0.936|bounds
64,1079.2,673.2,centroid,0.25,1018.2,540.0,689.5,0.0,657.4,1168.7,1,243.0,0,0,shot_pb=1.00|conf_zoom=0.69|conf_speed=0.83|edge_zoom=0.921|bounds
65,1092.7,678.9,centroid,0.26,1029.7,540.0,700.9,0.0,657.5,1168.9,1,241.0,0,1,shot_pb=1.00|conf_zoom=0.69|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.83|edge_zoom=0.932|bounds
