frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,286.6,578.4,hold,0.30,328.4,551.5,18.2,0.0,620.4,1102.9,1,262.2,0,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.918|bounds
1,288.0,578.6,hold,0.30,328.4,544.1,22.3,0.0,612.1,1088.2,1,263.6,0,0,flight_commit=0.91|edge_zoom=0.977|bounds
2,289.6,578.8,hold,0.30,328.3,540.0,26.5,3.6,603.4,1072.8,1,265.3,0,0,flight_commit=0.43|edge_zoom=0.977|bounds
3,291.5,579.0,hold,0.30,328.2,540.0,30.8,11.3,594.8,1057.5,1,267.3,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.977|bounds
4,296.9,580.3,blended,0.77,328.1,540.0,34.8,18.6,586.6,1042.8,1,272.8,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.975|bounds
5,298.4,580.3,blended,0.77,328.0,540.0,38.5,25.3,579.1,1029.4,1,274.4,0,0,conf_zoom=0.87|conf_speed=0.93|edge_zoom=0.978|bounds
6,299.4,580.1,blended,0.77,328.0,540.0,41.8,31.1,572.6,1017.9,1,275.4,0,0,conf_zoom=0.92|conf_speed=0.96|bounds
7,296.8,578.5,interp,0.38,328.2,540.0,44.5,35.7,567.3,1008.6,1,272.6,0,0,conf_zoom=0.90|conf_speed=0.95|bounds
8,297.7,578.1,yolo,0.27,328.4,540.0,46.7,39.2,563.5,1001.7,1,273.3,0,0,conf_zoom=0.86|conf_speed=0.93|bounds
9,298.9,577.7,yolo,0.26,328.9,540.0,48.4,41.3,561.0,997.4,1,274.0,0,0,conf_zoom=0.83|conf_speed=0.91|bounds
10,300.4,577.4,interp,0.38,329.7,540.0,49.7,42.3,560.0,995.5,1,274.7,0,0,conf_zoom=0.82|conf_speed=0.90|bounds
11,302.3,577.1,yolo,0.24,330.9,540.0,50.8,42.1,560.1,995.7,1,275.4,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
12,305.5,577.0,interp,0.38,332.5,540.0,51.9,41.1,561.2,997.7,1,277.0,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
13,309.2,576.9,yolo,0.25,334.7,540.0,53.2,39.5,563.0,1000.9,1,278.5,0,0,conf_zoom=0.77|conf_speed=0.88|bounds
14,312.5,576.7,yolo,0.24,337.5,540.0,54.9,37.6,565.2,1004.9,1,279.0,0,0,conf_zoom=0.76|conf_speed=0.87|bounds
15,316.3,576.0,interp,0.38,341.2,540.0,57.4,35.4,567.7,1009.2,1,279.1,0,0,conf_zoom=0.76|conf_speed=0.87|bounds
16,320.6,575.4,interp,0.38,345.8,540.0,60.8,33.2,570.1,1013.5,1,278.8,0,0,conf_zoom=0.77|conf_speed=0.87|edge_zoom=0.993|bounds
17,325.6,574.7,interp,0.38,351.4,540.0,65.1,31.1,572.6,1017.9,1,278.2,0,0,conf_zoom=0.77|conf_speed=0.88|edge_zoom=0.981|bounds
18,331.3,574.2,interp,0.38,358.1,540.0,70.6,28.8,575.0,1022.3,1,277.2,0,0,conf_zoom=0.78|conf_speed=0.88|edge_zoom=0.981|bounds
19,337.9,573.7,interp,0.38,366.0,540.0,77.1,26.5,577.7,1027.0,1,275.9,0,0,flight_commit=0.03|conf_zoom=0.92|conf_speed=0.95|edge_zoom=0.979|bounds
20,347.4,574.1,blended,0.79,375.0,540.0,84.6,23.9,580.7,1032.3,1,276.4,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.974|bounds
21,354.1,572.2,yolo,0.26,385.0,540.0,92.9,20.7,584.2,1038.5,1,273.1,0,0,flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.978|bounds
22,362.9,572.1,interp,0.38,396.1,540.0,101.9,17.0,588.3,1045.9,1,270.8,0,0,flight_commit=0.45|edge_zoom=0.975|bounds
23,373.4,572.8,yolo,0.24,407.9,540.0,111.3,12.7,593.2,1054.6,1,269.5,0,0,flight_commit=0.65|edge_zoom=0.972|bounds
24,386.8,574.3,blended,0.80,420.3,540.0,120.9,7.8,598.7,1064.4,1,270.5,0,0,flight_commit=0.97|edge_zoom=0.966|bounds
25,408.6,579.7,interp,0.38,432.9,540.0,130.5,2.4,604.8,1075.2,1,279.7,0,0,flight_commit=1.00|edge_zoom=0.956|bounds
26,432.2,585.9,yolo,0.25,445.4,543.2,139.9,0.0,611.1,1086.5,1,290.8,0,0,shot_pb=0.20|flight_commit=1.00|edge_zoom=0.952|bounds
27,451.2,590.8,interp,0.38,457.4,548.8,148.7,0.0,617.4,1097.7,1,297.8,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.950|bounds
28,469.4,595.6,interp,0.38,468.6,554.1,156.9,0.0,623.4,1108.2,1,303.2,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.948|bounds
29,486.6,600.2,interp,0.38,478.4,558.8,164.1,0.0,628.6,1117.6,1,295.8,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.946|bounds
30,502.4,604.3,interp,0.38,486.6,562.7,170.1,0.0,633.0,1125.3,1,288.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.944|bounds
31,516.2,607.8,yolo,0.24,492.9,565.7,174.7,0.0,636.4,1131.3,1,280.7,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.949|bounds
32,525.1,609.5,interp,0.38,497.0,567.7,177.6,0.0,638.7,1135.5,1,275.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.942|bounds
33,531.8,610.5,interp,0.38,498.8,568.9,178.8,0.0,640.0,1137.8,1,271.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.07|keepin_zoom=1.350|edge_zoom=0.943|bounds
34,536.6,610.8,interp,0.38,498.2,569.3,178.0,0.0,640.4,1138.5,1,265.6,0,1,shot_pb=1.00|flight_commit=1.00|person_ctx=4|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.948|bounds
35,539.6,610.4,interp,0.38,495.4,569.0,175.3,0.0,640.1,1138.0,1,259.8,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.952|bounds
36,541.0,609.5,interp,0.38,490.5,568.3,170.9,0.0,639.3,1136.5,1,253.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.945|bounds
37,540.8,607.9,interp,0.38,483.7,567.1,164.7,0.0,638.0,1134.3,1,246.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.988|bounds
38,539.1,605.8,interp,0.38,475.5,565.8,157.2,0.0,636.5,1131.5,1,240.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.977|bounds
39,536.1,603.0,interp,0.38,466.0,564.2,148.7,0.0,634.7,1128.3,1,233.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.973|bounds
40,531.6,599.7,interp,0.38,455.8,562.4,139.4,0.0,632.7,1124.8,1,228.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.971|bounds
41,525.7,595.7,interp,0.38,445.1,560.5,129.8,0.0,630.6,1121.0,1,223.4,0,0,shot_pb=1.00|flight_commit=1.00|person_ctx=4|edge_zoom=0.975|bounds
42,518.4,591.1,interp,0.38,434.3,558.6,120.1,0.0,628.4,1117.2,1,219.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.969|bounds
43,509.6,585.7,yolo,0.25,423.6,556.7,110.5,0.0,626.3,1113.4,1,218.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.976|bounds
44,497.5,578.7,interp,0.38,413.4,554.8,101.3,0.0,624.2,1109.7,1,219.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.984|bounds
45,484.1,571.0,yolo,0.27,403.6,553.1,92.5,0.0,622.2,1106.1,1,223.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.989|bounds
46,473.1,563.9,interp,0.50,394.5,551.5,84.3,0.0,620.4,1103.0,1,225.4,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
47,454.9,554.7,interp,0.50,386.0,550.2,76.6,0.0,619.0,1100.4,1,235.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.994|bounds
48,439.7,546.3,interp,0.50,378.2,549.2,69.3,0.0,617.9,1098.5,1,242.5,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
49,424.8,538.1,interp,0.50,371.1,548.7,62.5,0.0,617.3,1097.4,1,250.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
50,410.4,530.1,interp,0.50,364.6,548.6,56.0,0.0,617.2,1097.3,1,258.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
51,396.4,522.3,interp,0.50,358.7,549.1,49.8,0.0,617.7,1098.2,1,266.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
52,383.1,514.8,interp,0.50,353.4,550.0,44.0,0.0,618.8,1100.0,1,274.3,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
53,370.5,507.7,interp,0.50,348.7,551.4,38.6,0.0,620.3,1102.8,1,282.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.998|bounds
54,358.7,500.9,interp,0.50,344.7,553.2,33.5,0.0,622.4,1106.4,1,290.0,0,0,shot_pb=1.00|flight_commit=1.00|bounds
55,347.7,494.5,interp,0.50,341.3,555.3,29.0,0.0,624.7,1110.6,1,297.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.998|bounds
56,337.6,488.4,interp,0.50,338.6,557.5,25.0,0.0,627.2,1115.1,1,303.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.969|bounds
57,328.4,482.8,interp,0.50,336.7,559.8,21.8,0.0,629.8,1119.6,1,295.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.946|bounds
