frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,659.4,628.8,centroid,0.30,676.2,540.0,347.8,0.0,656.8,1167.6,1,287.2,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.825|bounds|final_speed
1,664.5,621.0,centroid,0.30,677.8,540.0,349.6,0.0,656.4,1166.9,1,290.7,0,0,flight_commit=1.00|edge_zoom=0.955|bounds
2,670.4,612.2,centroid,0.30,679.6,540.0,351.7,0.0,655.8,1165.8,1,294.8,0,0,flight_commit=1.00|edge_zoom=0.964|bounds
3,677.1,602.0,centroid,0.30,681.6,540.0,354.1,0.0,655.0,1164.5,1,299.5,0,0,flight_commit=1.00|edge_zoom=0.973|bounds
4,694.9,579.6,blended,0.76,683.3,540.0,356.3,0.0,654.1,1162.8,1,292.4,0,0,accel_zoom=0.895|shot_pb=0.40|flight_commit=1.00|edge_zoom=0.980|bounds
5,702.6,568.0,interp,0.38,684.7,540.0,358.2,0.0,652.9,1160.7,1,286.1,0,0,shot_pb=0.60|flight_commit=1.00|edge_zoom=0.989|bounds
6,707.8,558.7,interp,0.38,685.3,540.0,359.6,0.0,651.5,1158.2,1,281.5,0,0,shot_pb=0.80|flight_commit=1.00|edge_zoom=0.995|bounds
7,711.7,550.4,interp,0.38,685.0,540.0,360.1,0.0,649.9,1155.3,1,277.3,0,0,shot_pb=1.00|flight_commit=1.00|bounds
8,714.2,543.0,interp,0.38,683.8,540.0,359.7,0.0,648.1,1152.2,1,273.6,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.999|bounds
9,715.6,536.4,interp,0.38,681.4,540.0,358.2,0.0,646.2,1148.9,1,269.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
10,715.9,530.5,interp,0.38,677.8,540.0,355.6,0.0,644.3,1145.5,1,265.9,0,0,shot_pb=1.00|flight_commit=1.00|bounds
11,715.2,525.2,interp,0.38,673.1,540.0,351.9,0.0,642.5,1142.3,1,261.9,0,0,shot_pb=1.00|flight_commit=1.00|bounds
12,713.6,520.5,interp,0.38,667.4,540.0,347.0,0.0,640.9,1139.4,1,257.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
13,711.1,516.2,interp,0.38,660.9,540.0,341.1,0.0,639.5,1136.9,1,253.8,0,0,shot_pb=1.00|flight_commit=1.00|bounds
14,707.9,512.3,interp,0.38,653.6,540.0,334.4,0.0,638.4,1134.9,1,249.7,0,0,shot_pb=1.00|flight_commit=1.00|bounds
15,703.8,508.8,interp,0.38,645.9,540.0,327.1,0.0,637.6,1133.5,1,246.1,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.999|bounds
16,699.2,505.6,interp,0.38,637.9,540.0,319.3,0.0,637.2,1132.7,1,242.7,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.998|bounds
17,693.9,502.6,interp,0.38,629.9,540.0,311.3,0.0,637.1,1132.6,1,240.0,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
18,688.1,500.0,interp,0.38,622.0,540.0,303.4,0.0,637.2,1132.9,1,237.9,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.997|bounds
19,681.8,497.5,interp,0.38,614.4,540.0,295.6,0.0,637.6,1133.5,1,236.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.991|bounds
20,675.0,495.2,interp,0.38,607.2,540.0,288.1,0.0,638.1,1134.5,1,236.2,0,0,shot_pb=1.00|flight_commit=1.00|edge_zoom=0.996|bounds
