frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,1210.2,640.5,yolo,0.42,1199.6,540.0,876.8,0.0,645.7,1147.9,1,293.4,1,0,accel_zoom=0.856|flight_commit=1.00|edge_zoom=0.803|bounds|final_speed
1,1209.1,641.4,yolo,0.42,1198.6,540.0,877.5,0.0,642.1,1141.5,1,293.5,0,0,flight_commit=0.91|edge_zoom=0.923|bounds
2,1207.7,642.4,yolo,0.38,1197.2,540.0,878.2,0.0,638.0,1134.3,1,293.5,0,0,flight_commit=0.43|edge_zoom=0.924|bounds
3,1206.3,643.5,yolo,0.33,1195.6,540.0,878.7,0.0,633.8,1126.8,1,293.3,0,0,flight_commit=0.11|conf_zoom=0.94|conf_speed=0.97|edge_zoom=0.925|bounds
4,1204.6,644.8,interp,0.38,1193.8,540.0,878.9,0.0,629.7,1119.4,1,293.2,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.964|bounds
5,1202.7,646.2,interp,0.38,1191.8,540.0,878.8,0.0,625.9,1112.8,1,293.1,0,0,conf_zoom=0.81|conf_speed=0.90|edge_zoom=0.992|bounds
6,1200.6,647.8,interp,0.38,1189.7,540.0,878.2,0.0,622.9,1107.3,1,293.1,0,0,conf_zoom=0.81|conf_speed=0.89|bounds
7,1198.3,649.7,interp,0.38,1187.3,540.0,876.9,0.0,620.8,1103.6,1,293.0,0,0,conf_zoom=0.81|conf_speed=0.89|bounds
8,1195.6,651.9,interp,0.38,1184.8,540.0,874.9,0.0,619.8,1101.9,1,293.2,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
9,1192.7,654.3,interp,0.38,1182.0,540.0,871.9,0.0,620.1,1102.4,1,293.3,0,0,conf_zoom=0.80|conf_speed=0.89|bounds
10,1189.5,657.2,interp,0.38,1178.9,540.0,868.1,0.0,621.6,1105.0,1,293.4,0,0,conf_zoom=0.80|conf_speed=0.89|edge_zoom=0.986|bounds
11,1185.9,660.4,yolo,0.32,1175.5,540.0,863.5,0.0,624.1,1109.6,1,293.6,0,0,conf_zoom=0.79|conf_speed=0.89|edge_zoom=0.968|bounds
12,1181.2,664.7,interp,0.38,1171.9,540.0,858.1,0.0,627.5,1115.6,1,294.7,0,0,conf_zoom=0.79|conf_speed=0.89|edge_zoom=0.922|bounds
13,1176.2,669.3,interp,0.38,1168.0,540.0,852.3,0.0,631.5,1122.7,1,295.8,0,0,flight_commit=0.08|conf_zoom=0.93|conf_speed=0.96|edge_zoom=0.912|bounds
14,1171.0,674.3,interp,0.38,1164.0,540.0,846.1,0.0,635.7,1130.2,1,297.0,0,0,flight_commit=0.18|conf_zoom=0.96|conf_speed=0.98|edge_zoom=0.909|bounds
15,1165.7,679.4,interp,0.38,1159.8,540.0,839.8,0.0,639.9,1137.6,1,298.1,0,0,flight_commit=0.27|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.906|bounds
16,1160.4,684.7,interp,0.38,1155.6,540.0,833.7,0.0,643.8,1144.5,1,299.2,0,0,flight_commit=0.34|edge_zoom=0.903|bounds
17,1155.2,690.0,interp,0.38,1151.6,540.0,828.0,0.0,647.2,1150.6,1,300.4,0,0,flight_commit=0.38|edge_zoom=0.900|bounds
18,1150.3,695.3,interp,0.38,1147.8,540.0,822.8,0.0,650.1,1155.7,1,301.5,0,0,flight_commit=0.40|edge_zoom=0.897|bounds
19,1145.7,700.5,interp,0.38,1144.4,540.0,818.2,0.0,652.3,1159.7,1,302.7,0,0,flight_commit=0.40|edge_zoom=0.895|bounds
20,1141.5,705.6,interp,0.38,1141.4,540.0,814.4,0.0,654.0,1162.7,1,303.9,0,0,flight_commit=0.37|edge_zoom=0.892|bounds
21,1137.9,710.4,interp,0.38,1139.0,540.0,811.4,0.0,655.3,1164.9,1,302.9,0,0,flight_commit=0.32|conf_zoom=1.00|conf_speed=1.00|edge_zoom=0.890|bounds
22,1135.0,714.9,interp,0.38,1137.3,540.0,809.2,0.0,656.1,1166.5,1,301.7,0,0,flight_commit=0.25|conf_zoom=0.98|conf_speed=0.99|edge_zoom=0.887|bounds
23,1133.0,719.0,interp,0.38,1136.3,540.0,807.9,0.0,656.7,1167.5,1,300.7,0,0,flight_commit=0.15|conf_zoom=0.95|conf_speed=0.97|edge_zoom=0.886|bounds
24,1131.9,722.6,interp,0.38,1136.0,540.0,807.5,0.0,657.1,1168.2,1,299.9,0,1,flight_commit=0.03|conf_zoom=0.92|keepin_prop=0.05|keepin_zoom=1.350|edge_zoom=0.938|bounds
25,1137.1,726.6,blended,0.70,1136.6,540.0,807.9,0.0,657.3,1168.6,1,303.5,0,1,flight_commit=0.11|conf_zoom=0.94|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.97|edge_zoom=0.886|bounds
26,1138.0,728.1,blended,0.70,1138.0,540.0,809.2,0.0,657.5,1168.8,1,304.0,0,1,conf_zoom=0.90|keepin_prop=0.12|keepin_zoom=1.350|edge_zoom=0.941|bounds
27,1134.1,727.2,interp,0.38,1140.2,540.0,811.4,0.0,657.5,1168.9,1,297.9,0,1,conf_zoom=0.88|keepin_prop=0.04|keepin_zoom=1.350|edge_zoom=0.923|bounds
28,1136.7,726.8,interp,0.38,1143.3,540.0,814.5,0.0,657.5,1168.9,1,297.4,0,1,conf_zoom=0.86|keepin_prop=0.13|keepin_zoom=1.350|edge_zoom=0.943|bounds
29,1140.6,725.8,interp,0.38,1147.2,540.0,818.4,0.0,657.5,1168.9,1,297.4,0,1,conf_zoom=0.85|keepin_prop=0.09|keepin_zoom=1.350|edge_zoom=0.941|bounds
30,1150.4,725.7,blended,0.70,1151.9,540.0,823.2,0.0,657.5,1168.9,1,302.5,0,1,flight_commit=0.13|conf_zoom=0.94|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.97|edge_zoom=0.887|bounds
31,1156.4,722.7,blended,0.70,1157.5,540.0,828.7,0.0,657.5,1168.9,1,302.9,0,1,flight_commit=0.19|conf_zoom=0.96|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.98|edge_zoom=0.888|bounds
32,1160.4,721.5,interp,0.50,1163.8,540.0,835.1,0.0,657.5,1168.9,1,300.6,0,1,flight_commit=0.09|conf_zoom=0.93|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.96|edge_zoom=0.889|bounds
33,1163.5,714.6,interp,0.50,1170.8,540.0,842.0,0.0,657.5,1168.9,1,296.7,0,1,flight_commit=0.22|conf_zoom=0.97|keepin_prop=0.00|keepin_zoom=1.350|conf_speed=0.98|edge_zoom=0.892|bounds
34,1170.1,711.6,interp,0.50,1178.4,540.0,849.6,0.0,657.5,1168.9,1,295.7,0,0,flight_commit=0.29|conf_zoom=0.99|conf_speed=0.99|edge_zoom=0.896|bounds
35,1177.4,709.4,interp,0.50,1186.4,540.0,857.7,0.0,657.5,1168.9,1,295.0,0,0,flight_commit=0.36|edge_zoom=0.897|bounds
36,1185.4,708.2,interp,0.50,1194.9,540.0,866.1,0.0,657.5,1168.9,1,294.5,0,0,flight_commit=0.44|edge_zoom=0.897|bounds
37,1194.2,707.9,interp,0.50,1203.5,540.0,874.8,0.0,657.5,1168.9,1,294.7,0,0,flight_commit=0.53|edge_zoom=0.896|bounds
38,1203.6,709.0,interp,0.50,1212.4,540.0,883.6,0.0,657.5,1168.9,1,295.2,0,0,flight_commit=0.64|edge_zoom=0.894|bounds
39,1213.9,711.4,interp,0.50,1221.3,540.0,892.6,0.0,657.5,1168.9,1,296.6,0,0,flight_commit=0.78|edge_zoom=0.892|bounds
40,1224.9,715.3,interp,0.50,1230.3,540.0,901.5,0.0,657.5,1168.9,1,298.6,0,0,flight_commit=0.95|edge_zoom=0.889|bounds
41,1236.9,721.0,interp,0.50,1239.3,540.0,910.5,0.0,657.5,1168.9,1,301.6,0,0,shot_pb=0.40|flight_commit=1.00|edge_zoom=0.885|bounds
42,1250.0,728.7,interp,0.50,1248.2,540.0,919.4,0.0,657.5,1168.9,1,302.2,0,1,shot_pb=0.60|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.887|bounds
43,1264.2,738.5,interp,0.50,1257.1,540.0,928.4,0.0,657.5,1168.9,1,296.9,0,1,shot_pb=0.80|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.883|bounds
44,1279.8,750.7,interp,0.50,1266.0,540.0,937.3,0.0,657.5,1168.9,1,290.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.00|keepin_zoom=1.350|edge_zoom=0.878|bounds
45,1297.0,765.5,interp,0.50,1274.9,540.0,946.2,0.0,657.5,1168.9,1,281.9,0,1,accel_zoom=0.927|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.01|keepin_zoom=1.350|edge_zoom=0.871|bounds
46,1316.0,783.4,interp,0.50,1283.8,540.0,955.0,0.0,657.5,1168.9,1,271.8,0,1,accel_zoom=0.921|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.02|keepin_zoom=1.350|edge_zoom=0.861|bounds
47,1360.0,833.0,yolo,0.28,1292.5,540.0,963.8,0.0,657.5,1168.9,1,236.5,0,1,accel_zoom=0.794|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.10|keepin_zoom=1.350|edge_zoom=0.822|bounds
48,1377.3,850.5,yolo,0.32,1301.1,540.0,972.3,0.0,657.5,1168.9,1,227.8,0,1,accel_zoom=0.794|shot_pb=1.00|flight_commit=1.00|keepin_prop=0.14|keepin_zoom=1.350|edge_zoom=0.801|bounds
49,1391.2,864.3,yolo,0.32,1309.4,540.0,980.6,0.0,657.5,1168.9,1,222.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.18|keepin_zoom=1.350|edge_zoom=0.783|bounds
50,1402.2,875.1,yolo,0.30,1317.3,540.0,988.5,0.0,657.5,1168.9,1,219.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.21|keepin_zoom=1.350|edge_zoom=0.767|bounds
51,1409.3,884.5,interp,0.38,1324.7,540.0,996.0,0.0,657.5,1168.9,1,219.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.23|keepin_zoom=1.350|edge_zoom=0.755|bounds
52,1414.2,892.0,interp,0.38,1331.5,540.0,1002.7,0.0,657.5,1168.9,1,221.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.26|keepin_zoom=1.350|edge_zoom=0.750|bounds
53,1417.2,897.8,yolo,0.28,1337.5,540.0,1008.7,0.0,657.5,1168.9,1,224.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.27|keepin_zoom=1.350|edge_zoom=0.750|bounds
54,1419.3,902.1,interp,0.38,1342.7,540.0,1013.9,0.0,657.5,1168.9,1,227.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.750|bounds
55,1420.2,905.1,interp,0.38,1347.0,540.0,1018.3,0.0,657.5,1168.9,1,230.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.29|keepin_zoom=1.350|edge_zoom=0.750|bounds
56,1420.0,907.1,interp,0.38,1350.4,540.0,1021.7,0.0,657.5,1168.9,1,234.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.29|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
57,1419.0,908.2,yolo,0.31,1352.9,540.0,1024.2,0.0,657.5,1168.9,1,237.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.33|keepin_zoom=1.350|edge_zoom=0.750|bounds
58,1417.6,907.3,yolo,0.43,1354.5,540.0,1025.8,0.0,657.5,1168.9,1,240.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.51|keepin_zoom=1.350|edge_zoom=0.750|bounds
59,1416.1,906.6,yolo,0.53,1355.3,540.0,1026.6,0.0,657.5,1168.9,1,243.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.750|bounds
60,1413.9,906.3,yolo,0.60,1355.3,540.0,1026.5,0.0,657.5,1168.9,1,245.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.44|keepin_zoom=1.350|edge_zoom=0.750|bounds
61,1410.8,906.7,yolo,0.66,1354.6,540.0,1025.8,0.0,657.5,1168.9,1,247.8,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.41|keepin_zoom=1.350|edge_zoom=0.750|bounds
62,1406.9,907.9,yolo,0.72,1353.2,540.0,1024.4,0.0,657.5,1168.9,1,250.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.39|keepin_zoom=1.350|edge_zoom=0.750|bounds
63,1402.3,909.9,yolo,0.74,1351.2,540.0,1022.4,0.0,657.5,1168.9,1,252.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.38|keepin_zoom=1.350|edge_zoom=0.750|bounds
64,1397.1,912.7,yolo,0.76,1348.7,540.0,1019.9,0.0,657.5,1168.9,1,255.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.38|keepin_zoom=1.350|edge_zoom=0.750|bounds
65,1391.3,916.3,yolo,0.74,1345.7,540.0,1016.9,0.0,657.5,1168.9,1,252.6,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.39|keepin_zoom=1.350|edge_zoom=0.750|bounds
66,1385.2,920.6,yolo,0.75,1342.3,540.0,1013.6,0.0,657.5,1168.9,1,248.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.40|keepin_zoom=1.350|edge_zoom=0.750|bounds
67,1378.8,925.4,yolo,0.69,1338.6,540.0,1009.8,0.0,657.5,1168.9,1,243.5,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.42|keepin_zoom=1.350|edge_zoom=0.750|bounds
68,1372.2,930.7,yolo,0.70,1334.6,540.0,1005.8,0.0,657.5,1168.9,1,238.2,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.44|keepin_zoom=1.350|edge_zoom=0.750|bounds
69,1365.7,935.8,yolo,0.69,1330.3,540.0,1001.5,0.0,657.5,1168.9,1,233.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.47|keepin_zoom=1.350|edge_zoom=0.750|bounds
70,1359.7,940.6,interp,0.38,1325.7,540.0,997.0,0.0,657.5,1168.9,1,228.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.49|keepin_zoom=1.350|edge_zoom=0.750|bounds
71,1353.7,945.6,yolo,0.70,1321.0,540.0,992.2,0.0,657.5,1168.9,1,223.3,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.51|keepin_zoom=1.350|edge_zoom=0.750|bounds
72,1347.7,950.8,yolo,0.72,1316.1,540.0,987.3,0.0,657.5,1168.9,1,218.1,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.54|keepin_zoom=1.350|edge_zoom=0.750|bounds
73,1341.8,955.9,yolo,0.68,1311.0,540.0,982.2,0.0,657.5,1168.9,1,213.0,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.56|keepin_zoom=1.350|edge_zoom=0.750|bounds
74,1335.9,961.2,yolo,0.58,1305.8,540.0,977.0,0.0,657.5,1168.9,1,207.7,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.59|keepin_zoom=1.350|edge_zoom=0.750|bounds
75,1329.6,966.5,yolo,0.61,1300.4,540.0,971.6,0.0,657.5,1168.9,1,202.4,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.62|keepin_zoom=1.350|edge_zoom=0.750|bounds
76,1322.9,972.0,yolo,0.57,1294.8,540.0,966.0,0.0,657.5,1168.9,1,196.9,0,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.66|keepin_zoom=1.350|edge_zoom=0.750|bounds
77,1315.7,977.4,yolo,0.59,1289.1,540.0,960.3,0.0,657.5,1168.9,1,191.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.69|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
78,1308.1,982.9,yolo,0.63,1283.2,540.0,954.4,0.0,657.5,1168.9,1,186.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.73|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
79,1300.3,988.5,yolo,0.70,1277.1,540.0,948.4,0.0,657.5,1168.9,1,180.4,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.76|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
80,1292.2,993.9,yolo,0.75,1271.0,540.0,942.2,0.0,657.5,1168.9,1,175.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.80|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
81,1283.9,999.1,yolo,0.77,1264.6,540.0,935.8,0.0,657.5,1168.9,1,169.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.84|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
82,1275.5,1004.2,yolo,0.81,1258.1,540.0,929.3,0.0,657.5,1168.9,1,164.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.87|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
83,1267.0,1009.2,yolo,0.79,1251.5,540.0,922.7,0.0,657.5,1168.9,1,159.7,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.91|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
84,1258.4,1014.1,yolo,0.79,1244.7,540.0,915.9,0.0,657.5,1168.9,1,154.8,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.95|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
85,1249.6,1018.6,yolo,0.76,1237.8,540.0,909.0,0.0,657.5,1168.9,1,150.3,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=0.98|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
86,1240.7,1022.9,yolo,0.69,1230.8,540.0,902.0,0.0,657.5,1168.9,1,146.0,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
87,1231.6,1026.8,yolo,0.60,1223.7,540.0,894.9,0.0,657.5,1168.9,1,142.1,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
88,1222.3,1030.4,yolo,0.51,1216.4,540.0,887.7,0.0,657.5,1168.9,1,138.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
89,1212.0,1033.3,interp,0.38,1209.1,540.0,880.4,0.0,657.5,1168.9,1,135.6,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
90,1201.6,1036.0,interp,0.38,1201.8,540.0,873.0,0.0,657.5,1168.9,1,132.9,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
91,1191.1,1038.4,interp,0.38,1194.3,540.0,865.5,0.0,657.5,1168.9,1,130.5,1,1,shot_pb=1.00|flight_commit=1.00|keepin_prop=1.00|keepin_zoom=1.350|speed|edge_zoom=0.750|bounds
